event,slug,start,end,tagline,Location,City,timezone
Green:Net 2009,greennet-2009,3/24/09,3/24/09,Where Green and Networks Meet,Golden Gate Club,San Francisco,America/Los_Angeles
Green:Net 2010,greennet-2010,4/29/10,4/29/10,Where Green and Networks Meet,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Green:Net 2011,greennet-2011,4/21/11,4/21/11,The Year of Digital Energy,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2008,mobilize-2008,9/18/08,9/18/08,Mobile Web Today and Tomorrow,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2009,mobilize-2009,9/10/09,9/10/09,The Future of the Mobile Web,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2010,mobilize-2010,9/30/10,9/30/10,The Next-Generation Mobile Conference,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2011,mobilize-2011,9/26/11,9/27/11,Mobile is Everywhere.  Opportunity is Everywhere,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2012,mobilize-2012,9/20/12,9/21/12,Defining the Mobile First World,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Mobilize 2013,mobilize-2013,10/16/13,10/17/13,Everything Connected,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Network 2010,network-2010,12/9/10,12/9/10,The Future of Work,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Network 2011,network-2011,12/8/11,12/8/11,"Tweets, Tablets and No Travel: How Work Is Being Transformed",Mission Bay Conference Center,San Francisco,America/Los_Angeles
NewTeeVee:Live 2007,newteeveelive-2007,,,,,,
NewTeeVee:Live 2008,newteeveelive-2008,11/13/08,11/13/08,Television Reinvented,Mission Bay Conference Center,San Francisco,America/Los_Angeles
NewTeeVee:Live 2009,newteeveelive-2009,11/12/09,11/12/09,Television Reinvented,Mission Bay Conference Center,San Francisco,America/Los_Angeles
NewTeeVee:Live 2010,newteeveelive-2010,11/10/10,11/10/10,TV Is Everywhere,Mission Bay Conference Center,San Francisco,America/Los_Angeles
NewTeeVee:Live 2011,newteeveelive-2011,,,,Mission Bay Conference Center,San Francisco,America/Los_Angeles
RoadMap 2011,roadmap-2011,11/10/11,11/10/11,"How Technologies will influence the way we live, create, consume and earn.",Mission Bay Conference Center,San Francisco,America/Los_Angeles
RoadMap 2012,roadmap-2012,11/5/12,11/5/12,The Future of Connectivity,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2008,structure-2008,6/25/08,6/25/08,Put Cloud Computing to Work,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2009,structure-2009,6/25/09,6/25/09,Put Cloud Computing to Work,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2010,structure-2010,6/23/10,6/24/10,Put Cloud Computing to Work,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2011,structure-2011,6/22/11,6/23/11,Rolling Out Thunder,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2012,structure-2012,6/20/12,6/21/12,Cloud Finds its Structure,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure 2013,structure-2013,6/19/13,6/20/13,Cloud Finds its Structure,Mission Bay Conference Center,San Francisco,America/Los_Angeles
Structure Big Data 2011,structure-bigdata-2011,3/23/11,3/23/11,,The Chelsea Piers,New York,America/New_York
Structure:Data 2012,structuredata-2012,3/21/12,3/22/12,The Big Picture for Big Data,The Chelsea Piers,New York,America/New_York
Structure:Europe 2012,structureeurope-2012,10/16/12,10/17/12,The Future of Cloud Computing,Hotel Okura Amsterdam,Amsterdam,Europe/Amsterdam
Structure:Europe 2013,structureeurope-2013,9/18/13,9/19/13,Building the Global Cloud,The Grange Tower Bridge Hotel,London,Europe/London
