Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/greennet/sponsors/media-partners/
yes,yes,fatspaniel,Fat Spaniel Technologies,,,showtime,http://fatspaniel.com/,,
yes,yes,csrware,CSRware,,,showtime,http://csrware.com/,,
yes,yes,mayfield,Mayfield Fund,,,showtime,http://www.mayfield.com/,,
yes,yes,claremont,Claremont Creek Ventures,,,showtime,http://www.claremontvc.com,,
yes,yes,fenwick,Fenwick & West LLP,,,showtime,http://www.fenwick.com,,
yes,yes,joyent,Joyent,,,showtime,http://www.joyent.com,,
yes,yes,nokeena,Nokeena Networks,,,showtime,http://www.nokeena.com,,
yes,yes,regen,REGEN Energy,,,showtime,http://www.regenenergy.com,,
yes,yes,somo,Sonoma Mountain Village Zero Carbon Data Center,,,showtime,http://www.californiagreendatacenter.com,,
yes,yes,terrapass,TerraPass,,,showtime,http://www.terrapass.com,,
yes,yes,terrabyte,Green IT Tools,,,showtime,http://www.terrabytesconsulting.com,,
yes,yes,visibleenergy,Visible Energy,,,showtime,http://www.visibleenergy.com,,
yes,yes,automattic,Automattic,,,primetime,http://www.automattic.com,,
yes,yes,ibm,IBM,,,primetime,http://www.ibm.com,,
yes,yes,sun,Sun Microsystems,,,primetime,http://www.sun.com,,
yes,yes,churchill,Churchill Club,,,mediapartner,http://www.churchillclub.org/,"is the valley’s premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. For more information, visit www.churchhillclub.org",
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),,,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",
yes,yes,ecotuesday,EcoTuesday,,,mediapartner,,,
yes,yes,greentechmedia,greentechmedia,,,mediapartner,,,
yes,yes,inhabitat,Inhabitat,,,mediapartner,,,
yes,yes,presidio,Presidio School of Management,,,mediapartner,,,
yes,yes,sustainable,Sustainable Industries,,,mediapartner,,,
yes,yes,tie,TiE,,,mediapartner,,,
yes,yes,triplepundit,triplepundit,,,mediapartner,,,
yes,yes,uptime,Uptime Institute,,,mediapartner,,,
yes,yes,women20,Women 2.0,,,mediapartner,,,
yes,yes,cleantechopen,Clean Tech Open,,,mediapartner,,,
