Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
7:30 AM,Registration and Breakfast,,,,,,,,,
8:30 AM,Opening Remarks,,,Emcee - Chris Albrecht,Editor GigaOM TV,GigaOM,Om Malik,Founder,GigaOM,
,,,,,,,Katie Fehrenbacher,Editor Earth2Tech,GigaOM,
"8:35 AM
",How Can IT Fight Climate Change?: A Breakdown From the Climate Group,,"The author of The Climate Group's seminal Smart2020 report shows us the hard numbers as to how information technology can fight climate change. It might surprise you, but IT can reduce global greenhouse gas emissions significantly across sectors by 2020.",,,,Molly Webb,Head of Strategic Engagement,The Climate Group,
"8:50 AM
",So the Smart Grid Will Be Huge – Now What?,,"The smart grid market is forecast to grow to $210 billion over the next five years, and the U.S. government has funneled close to $4 billion into smart grid utility projects so far in this year alone. What will be the infrastructure used to deliver the efficient grid services that utilities need? Is the infrastructure debate over? What characteristics does the industry need to promote innovation?",Clint  Wheelock,Managing Director,Pike Research ,Eric Dresselhuys,EVP,Silver Spring Networks,
,,,,,,,Brian Huey,"Business Development - M2M Smart Grid, Utilities
",Sprint Nextel,
,,,,,,,Laura Ipsen,"SVP and GM, Smart Grid",Cisco,
,,,,,,,Scott Propp,Energy and Utility Principal,Motorola,
,,,,,,,Allan Schurr,VP Strategy and Development,IBM,
"9:30 AM
",Greentech and the California Economy,,"Gubernatorial candidate and former Oakland Mayor Jerry Brown has been a longtime supporter of clean power and energy efficiency since his first stint as California's Governor. Now the lifetime politician will continue to support the greentech industry not just as a way to nurture new technologies and help the environment, but also for the future of the state's economy.",,,,Jerry Brown,Attorney General,State of California,
"10:00 AM
",Progressive Utilities and Grid-Connected Cars ,,"Utilities are getting ready for the coming influx of electric vehicles that will reshape the power grid and the relationship with customers. Meanwhile entrepreneurs, startups and investors are building the next-generation of technology for electric vehicle charging. Come hear what opportunities excite NRG Energy's VP of Electric Vehicle Services, Michael Harrigan and Southern California Edison's EVP of Power Operations, Pedro Pizarro and how these utility leaders are getting ready for the electric vehicle boom.",Todd Woody,Environmental Journalist,,Michael Harrigan,VP of Electric Vehicle Services,NRG Energy,
,,,,,,,Pedro Pizarro,"EVP, Power Operations",Southern California Edison,
10:20 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,Silver Spring Networks Workshop – Room 1,Connecting with the Consumer: Notes from the Field,"Silver Spring Networks, utility customers Pacific Gas & Electric and Oklahoma Gas & Electric and technology partner, Tendril, will discuss the build out of consumer-focused applications for the smart grid, including demand response, electric vehicle charging and home energy management. PG&E and OG&E will share what they've learned through their own rollouts of the Silver Spring Smart Home solution. What is working? What are the challenges? What is still needed?",Katie Fehrenbacher,Editor Earth2Tech,GigaOM,Eric Dresselhuys,EVP,Silver Spring Networks,
,,,,,,,Sandra Longcrier,Marketing and Message Management ,Oklahoma Gas and Electric Company ,
,,,,,,,Adrian Tuck,CEO,Tendril,
,,,,,,,Saul Zambrano,"Director, Integrated Demand-side Management Core Products",Pacific Gas and Electric Company,
,Greenpeace International Workshop – Room 2,Climate Leadership In The IT Industry  ,"A discussion of how major IT companies are driving solutions and advocating for strong climate policies. Greenpeace International will release Version 3 of its CoolIT Leaderboard, an analysis of the IT sector’s contributions to achieving global greenhouse gas emissions reductions of 15 percent by 2020.",,,,Gary Cook,Greenpeace Climate and Energy Campaigner,Greenpeace International,
,,,,,,,Casey Harrell ,IT Analyst ,Greenpeace International,
11:00 AM,The Future of Greentech From the Viewpoint of an IT Pioneer,,"From the investor that brought you Hotmail, Interwoven and Kana during the dotcom boom, Steve Jurvetson, Managing Director of Draper Fisher Jurvetson, is now leading DFJ to become one of the most active – and aggressive – investors in cleantech with foreward-thinking investments in electric vehicle firm Tesla and genetics and biofuel designer Synthetic Genomics.",,,,Steve Jurvetson,Managing Director,Draper Fisher Jurvetson,
11:25AM,How the Internet Giants are Getting Into Energy Management,,"Both Google and Microsoft are moving into the energy industry, investigating ways that they can have an effect on the utility business. The ideas are still early but indicative of things to come – Google is even looking at how it can buy and sell wholesale energy on the market as a way to help with its carbon footprint.",Katie Fehrenbacher,Editor Earth2Tech,GigaOM,Troy Batterberry,"Product Unit Manager, Microsoft Hohm ",Microsoft,
,,,,,,,Edward Lu,Program Manager in Advanced Projects,Google,
11:50 AM,Software and Computing Will Deliver Low Cost Renewable Energy,,Lifelong entrepreneur Bill Gross delivered pioneers of the Internet boom through his incubator Idealab in the mid-90s. Now Gross believes that cheap computation can be the key driver in low cost renewable energy and he’ll explain how and why. ,,,,Bill Gross,CEO ,Idealab,
