Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,yes,yes,yes,M,Tom,Baruch,Founder and Managing Director,CMEA Capital,"Founder and Managing Director, CMEA Capital",,,2010 Speaker,yes,"Tom Baruch is the Founder and Managing Director of CMEA Capital. Tom heads up the firm's energy & materials investments. He serves as Chairman of the Board of materials and energy companies including: Codexis, Inc., Intermolecular and Wildcat Discovery Technologies. Tom also serves on the boards of  Entropic Communications and Solyndra. Tom holds an engineering degree from Rensselaer Polytechnic Institute and a Juris Doctor degree from Capital University. He is a registered patent attorney and also a member of the Board of Trustees of Rensselaer Polytechnic Institute. Tom is also both a member of the Executive Committee of the Council of Competitiveness and a member of the Steering Committee of the ESIS Initiative (Energy, Security, Innovation and Sustainability) of the Council of Competitiveness.",1267571262
y,yes,yes,yes,M,Troy,Batterberry,Product Unit Manager,Microsoft,"Product Unit Manager, Microsoft Hohm",,,2010 Speaker,yes,"Batterberry leads the company's effort to develop and deliver products and services that enable consumers to better manage and ultimately reduce their home energy consumption. As a 12 year veteran of Microsoft, Troy has served in various leadership roles creating and delivering dozens of various Windows Media products and services used by hundreds of millions of people. Before joining Microsoft in 1997, Troy worked as a systems engineer at Sony Corp. designing advanced interactive digital television systems for commercial aircraft. Troy holds numerous patents, has a Bachelor’s Degree in Electronic Engineering from North Dakota State University, and a Master’s Degree in Information Systems Management from the University of Southern California.",1263574943
y,yes,yes,yes,M,"Tom 
",Blaisdell,General Partner,DCM,"General Partner, DCM",,,2010 Speaker,yes,"With a focus on cleantech, software and digital media, Tom Blaisdell helps DCM portfolio companies create high-growth marketing strategies, structure successful strategic partnerships and build strong management teams. Prior to DCM, Tom worked at two Internet start-ups, Encanto Networks and Fatbrain.com. Tom also spent six years at Intuit where his last position was General Manager of the QuickBooks Group. Tom put his mechanical engineering degree to work at Acurex where he worked to evaluate alternative-fueled vehicle trials, including ethanol, methanol and compressed natural gas cars and buses. Tom holds a B.S. in Mechanical Engineering with distinction from Stanford University and an M.B.A. with high distinction from Dartmouth, where he was an Edward Tuck Scholar.",
,yes,yes,yes,M,Jerry,Brown,"Attorney General, running for Governor",State of California,"Attorney General, State of California",1,,2010 Speaker,yes,"Edmund Gerald ""Jerry"" Brown, Jr. is an American politician. He served as the 34th Governor of the State of California and is the current Attorney General. Brown has had a lengthy political career spanning terms on the Los Angeles Community College Board of Trustees (1969–1971), as California Secretary of State (1971–1975), as Governor of California (1975–1983), as chair of the California Democratic Party (1989–1991), the Mayor of Oakland (1998–2006), and the Attorney General of California (2007–present). He unsuccessfully sought the Democratic nominations for president in 1976, 1980, and 1992, and was an unsuccessful Democratic nominee for the United States Senate in 1982. Since Brown's terms in office are not covered by the term limits that came into effect in 1990, he is not barred from running for Governor again. He is a candidate for Governor of California in the November 2010 election. Jerry Brown is the son of former California governor Pat Brown, who served from 1959 to 1967.",
y,yes,yes,yes,M,Lee,Burrows,Partner ,"VantagePoint Venture Partners
","Partner, VantagePoint Venture Partners",,,2010 Speaker,yes,"Lee Burrows joined VantagePoint Venture Partners in 2002, bringing with him 15 years of broad semiconductor technology expertise, specifically in the areas of semiconductor processing, advanced materials, power storage and management, and battery, lighting, and smart grid technologies. Previously, he founded an optical component company that was subsequently acquired by New Focus, a leading photonics solutions provider. Lee holds six patents, with two additional patents pending in optical networking and device manufacturing. He graduated with honors from the California Institute of Technology (BS, MS) and is also a candidate for a PhD in Applied Physics.",1266603198
y,yes,yes,yes,M,Navin,Chaddha,Managing Director,Mayfield Fund,"Managing Director, Mayfield Fund",,,2010 Speaker,yes,"Navin Chaddha was ranked on the Forbes Midas List of top 15 dealmakers in 2008 and 2009. Chaddha invests in the Cleantech, Internet, Enterprise and Telecom industries in the US and India. He has made over 30 investments in the past, of which nine have had IPOs and eight have been acquired. Prior to becoming a VC, Chaddha was founder and Chief Technical Operator of VXtreme that was acquired by Microsoft and became Windows Media. He was also the co-founder of iBeam Broadcasting (NASDAQ IPO) and Chief Executive Officer of Rivio (acquired by CPA2Biz). Chaddha holds an MS degree in electrical engineering from Stanford University and a B. Tech degree in electrical engineering from IIT Delhi and holds over 35 patents.",1268434461
y,yes,yes,yes,"M
",Anirban,Chakrabarti,SVP of SAP Carbon Impact,SAP,"SVP of SAP Carbon Impact, SAP",,,2010 Speaker,yes,"Anirban Chakrabarti or ""AC"" has been an executive in the enterprise software space for well over a decade from large organizations to venture backed start-up firms. At SAP, ""AC"" is the SVP and General Manager of SAP's Carbon Impact business unit. Previously, he was the President and Co-Founder of a cleantech venture backed start-up called Clear Standards that offered the leading on-demand software solution for carbon management and green compliance, where companies can use a single platform to assess their footprint, analyze impact, and act on green initiatives. Clear Standards was acquired by SAP in June 2009. Prior to Clear Standards, AC was an executive at Siebel Systems, Inc. and a management consultant at Pricewaterhouse Coopers",1265995589
,yes,yes,yes,m,Michael,Copeland,Senior Writer,Fortune,"Senior Writer, Fortune",,,2010 Speaker,yes,"Michael V. Copeland joined Fortune Magazine in September 2007. Prior, he had been a senior writer at Business 2.0 since April 2003 and covered the venture capital community, new technology, and startups. Along with Andrew Tilin, his story ""The New Instant Companies"" was recognized by the World Leadership Forum as the best business story in a magazine in the 2006 Business Journalist of the Year competition. Copeland was most recently a senior writer for Red Herring and authored features on venture capital, emerging technology, and management issues. Copeland was most recently a senior writer for Red Herring and authored features on venture capital, emerging technology, and management issues. Along with Lee Bruno, Om Malik, and Chris Locke, he was recognized by the American Society of Business Publication Editors in the Single News Article category for a Sept. 1, 2001, piece titled ""Enron's Burnout."" Before that, Copeland served as a senior editor at the Venture Capital Journal. and worked on the national desk at the Washington Post. He has been a reporter for the Oakland Tribune, Orange County Register, and Philadelphia Inquirer, and he has freelanced for several San Francisco Bay Area and national publications. Copeland has also developed environmental stories for television and radio.",
y,yes,yes,yes,"M
",Eric,Dresselhuys,EVP,"Silver Spring Networks
","EVP, Silver Spring Networks",,,2010 Speaker,yes,"Eric has been with Silver Spring since it was founded in 2002. Eric has more than ten years of experience in advanced metering and communications sales and marketing. He has held various roles in customer development, new product development and product introductions. Eric has presented a number of technical and commercial papers related to advanced metering and smart grid technologies and was a founder of OpenAMI. He currently serves on the board of directors of the DRSG Coalition (Demand Response and Smart Grid) and has served on the Automatic Meter Reading Association’s (AMRA) Marketing and Development Committee. Eric previously spent nine years at Procter & Gamble in various sales and marketing roles. He holds a B.S. in economics from the University of Wisconsin, Madison. Last summer Eric installed solar-powered lights around his home.",
y,yes,yes,yes,F,Josie,Garthwaite,Staff Writer Earth2Tech,GigaOM,"Staff Writer Earth2Tech, GigaOM",,,2010 Speaker,yes,"Josie has covered green business and consumer trends for the last five years, most recently on the vehicle technology beat for Earth2Tech. She has previously been a writer and editor for Martha Stewart Living Omnimedia and Sierra Magazine, where her content was also syndicated to the Huffington Post. Josie has an MA from the Graduate Program in Journalism at Stanford University, where she studied business reporting and analyzed media coverage of electric cars and the cleantech boom.",
