,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,Chris,Albrecht,Creative Director,GigaOM,"Creative Director, GigaOM",,,speaker,y,"Chris Albrecht is Creative Director of GigaOM, tasked with creating and developing new, monetizable products for the company. He's been with GigaOM for more than three years and has served as a writer and Co-Editor for NewTeeVee, and building GigaOM TV, the company's online video efforts. Prior to joining GigaOM, Chris was Director of Programming for Atom.com, an online brand of Comedy Central. He holds a Masters in Digital Media from the University of Washington. ",,,,
y,y,y,y,m,Lauren,Anderson,Innovation Strategist and Project Manager,CC Labs,"Innovation Strategist and Project Manager, CC Labs",,,speaker,y,"Lauren is an Innovation strategist and project manager for CC Lab. She played an instrumental role in building the Collaborative Consumption brand and the growing movement. She has a talent for juggling a million project pieces and coming up with deceptively simple solutions to complex problems. If you want to make a Collaborative Consumption idea happen, ask Lauren! Lauren has worked with a range of cutting-edge organizations in the Social Innovation sector, including the Australian Social Innovation Exchange, Project Australia and the Brightest Young Minds Foundation. Most recently, she worked with Vibewire Enterprise Hub, where she developed new product offerings and built its coworking community. Prior to CC Lab, Lauren developed the strategy and implemented large-scale training and development rollouts for national firm BVN Architecture, coordinated marketing and sponsorship activities for Brisbane Riverfestival, and worked in corporate training and development with Performance Frontiers. Lauren is a confident workshop facilitator and public speaker who has delivered keynote presentations for organizations such as CPA Australia and the Brightest Young Minds Summit. She also writes on how people are using Collaborative Consumption to enhance their daily lives and about hot startups in the space. Her work has appeared on Shareable.net, Plywood People and In:genius.
",,http://www.facebook.com/ljanderson84,@socialadvoc8,http://au.linkedin.com/in/laurenjanderson
y,y,y,y,m,Carl,Bass,President and CEO,Autodesk,"President and CEO, Autodesk",,,speaker,y,"Carl Bass is president and chief executive officer of Autodesk, Inc. Autodesk products serve the manufacturing, building, infrastructure, and media and entertainment industries. Formerly he was Autodesk’s chief operating officer, responsible for worldwide sales, marketing, and product development. Earlier roles included chief strategy officer and executive vice president of emerging business, looking broadly across the entire Autodesk organization at strategy and growth opportunities. He also served as chief technology officer (CTO) and vice president of the AECAD group, responsible for the design and development of AutoCAD and AEC products. When Autodesk spun off its Buzzsaw division as a separate start-up, Bass left to be its chairman, CEO and president. He returned to Autodesk when Buzzsaw was acquired by the company. Bass co-founded Ithaca Software, the developers of HOOPS, which was acquired by Autodesk in 1993. Bass serves on the Board of Directors of Autodesk, McAfee, and iRise and is a member of the Executive Advisory Boards of Cornell Computing and Information Science. He holds a bachelor's degree in mathematics from Cornell University.
",x,,,
y,y,y,y,m,Rob,Bernard,Chief Environmental Strategist ,"Microsoft
","Chief Environmental Strategist, Microsoft",,,speaker,y,"Rob Bernard is the Chief Environmental Strategist for Microsoft and is responsible for defining and implementing the global strategy for the company's environmental efforts. In this role he will assess the company's environmental impact at all levels including: working with product groups to create innovations in software and hardware that can help enable customers to minimize their impact on the environment. In addition, Bernard also worked on Microsoft's project with the Clinton Foundation focused on measuring and tracking greenhouse gas emissions for the C40 cities, a tool that will be used by cities around the globe to measure and track their greenhouse gas emissions. He attended the Wharton School of Business where he earned his MBA. He holds a Bachelor of Arts in English Literature from Columbia University.",x,,,
y,y,y,y,m,Chris,Campbell,"VP of Business Development, Energy Solutions Group",A123 Systems,"VP of Business Development, Energy Solutions Group, A123 Systems",,,speaker,y,"Chris Campbell is responsible for A123’s global go-to-market strategy for the Energy Solutions Group business unit. He is defining and developing the worldwide markets for A123's energy storage solutions, exploiting a rapidly expanding smartgrid and renewable energy marketplace around the globe. Prior to joining A123, Campbell was the Chief Strategy Officer for BPL Global where he was responsible for developing and implementing the corporate strategy for rollout of BPLG’s integrated smart grid platform for distributed energy resources. Before that, he was CEO of Connected Energy Corp, a company he founded in 1997 that developed solutions to network distributed energy resources to enable real-time Internet based command, control and monitoring. Campbell holds a degree in mechanical engineering from Rutgers University.",,,,
y,,,,m,Andres,Carvallo,Former CIO and Chief Architect,Austin Energy,"Former CIO and Chief Architect, Austin Energy",,,speaker,y,"Andres is a well known technologist, author, speaker, and operations expert in the energy, wireless, computer, and software industries.  Andres is a key advisor to the UTC, UT, KU, and UCLA. His coming book is titled ""The Advanced Smart Grid"". As CIO and Chief Architect at Austin Energy, Andres led a total enterprise transformation in seven years and built the first smart grid in the US. Andres received a BS in Mechanical Engineering with a concentration in robotics and control systems at KU.  Andres has also completed executive programs at Idaho, Stanford, and Penn.",,,"@ciomaster 
",http://www.linkedin.com/in/andrescarvallo
y,y,y,y,m,Shelby ,Clark,Founder and CEO,RelayRides,"Founder and CEO, RelayRides",,,speaker,y,"Shelby first tried carsharing when his car died after a cross-country move to California. He loved living a car-free life, but thought carsharing would work better and grow faster if it was ""for the people, by the people"", a neighbor-to-neighbor experience. So he founded RelayRides. Shelby obtained his MBA from Harvard, where he cultivated his passion for entrepreneurship and social impact. Before Harvard, Shelby helped launch three socially focused startups. He was an early employee at Kiva.org, one of the fastest-growing nonprofits in history, where Shelby provided strategic direction while building internal systems to scale the organization. Previously, Shelby worked at Oliver Wyman as a management consultant, advising Fortune 500 companies on strategy and operations. Prior to Harvard, Shelby graduated with a degree in Biomedical Engineering from Northwestern.",,,@shelbyclark,http://www.linkedin.com/in/shelbytclark
y,y,y,y,m,David,Crane,President and CEO,NRG Energy,"President and CEO, NRG Energy",,,speaker,y,"David Crane has been the President and CEO of NRG Energy, a Fortune 500 wholesale power generation company, since December 2003. He is outspoken on the need to advance clean energy resources and technologies critical to our transition to a low carbon society. As part of Crane’s commitment to low and no carbon generation, NRG Energy has initiated a wide range of investments in emerging technologies in solar, wind and nuclear power and is working to electrify the transportation infrastructure in Houston with the nation’s first privately funded, comprehensive electric vehicle ecosystem. Crane holds a Bachelor of Arts degree from Princeton University’s Woodrow Wilson School of Public and International Affairs and a Juris Doctor degree from Harvard Law School.",,http://www.facebook.com/pages/NRG-Energy/68784278588?ref=ts,@nrgenergy,http://www.linkedin.com/company/7136?trk=srch_hero_comp_name
y,y,y,y,m,Kevin,Dasso,Sr. Director of Smart Grid and Technology Integration,PG&E,"Sr. Director of Smart Grid and Technology Integration, PG&E",,,speaker,y,"Kevin Dasso is Senior Director of Smart Grid and Technology Integration at Pacific Gas and Electric Company. Kevin has over 29 years of experience in the gas and electric utility business including engineering, operations, construction and asset management. Kevin is currently responsible for developing strategy and policies for the utility related to the Smart Grid and transmission and distribution technology integration. He reports to PG&E’s lead senior officer responsible for Smart Grid and leads the company’s Smart Grid team involving the Transmission and Distribution, Customer Care, Energy Procurement and Information Systems and Technology Services departments. Kevin is a member of the Advisory Board for the California Energy Commission’s Public Interest Energy Research program. He is a member of the Western Electricity Coordinating Council’s Reliability Policy Issues Committee, and is a former chair of the North American Electric Reliability Council (NERC) Planning Committee Reliability Assessment Subcommittee. Kevin received a B.S. in Electrical Engineering at Iowa State University and a M.S. in Electric Engineering at Santa Clara University. He is a Registered Professional Engineer in California and is a member of the IEEE Power Engineering Society.",,,,
y,y,y,y,m,Marthin ,De Beer,"SVP, TelePresence, Emerging Technologies and Consumer Business",Cisco,"SVP, TelePresence, Emerging Technologies and Consumer Business, Cisco",,,speaker,y,"As the Senior Vice President of Cisco’s TelePresence, Emerging Technologies & Consumer Business, De Beer is responsible for the company’s efforts around business and consumer video, telepresence, and energy. As the leader of Cisco’s Emerging Technologies Group, De Beer is instrumental in incubating a steady stream of new businesses that can generate $1 billion worth of revenue. Under De Beer’s leadership, Cisco’s TelePresence business has grown from an emerging technology to become the market leader. De Beer is also responsible for Cisco’s consumer strategy to deliver the next-generation consumer experiences in video entertainment and communications. De Beer holds a bachelor’s degree in engineering from the University of Pretoria, South Africa, and is also the holder of several technology patents.",,,http://twitter.com/MarthinDeBeer,http://www.linkedin.com/pub/marthin-de-beer/5/a11/921
