Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL,,,,,,,Order
,,,,,,,,,http://event.gigaom.com/greennet/sponsors/media-partners/,,,,,,,
yes,yes,silverspring,Silver Spring Networks,,,headline,http://www.silverspringnet.com/,,,,,,,,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,,,,,,,,
yes,yes,cicc,The California Israel Chamber of Commerce (CICC) ,1,,mediapartner,http://www.www.ca-israelchamber.org,"is a not-for-profit, industry-supported organization dedicated to strengthening business, investment, technology and trade relations between California and Israel. CICC has a network of over 9000 key players engaged in cross-border opportunities between the two states. Over the years CICC has helped hundreds of Israeli technology companies launch successfully abroad while assisting US Investors and technology giants identify unique ventures and collaborative partners in Israel. www.ca-israelchamber.org",,,,,,,,
yes,yes,cleanedge,Clean Edge,2,,mediapartner,http://www.cleanedge.com,", the world's first research and advisory firm devoted to the clean-tech sector, delivers comprehensive clean-tech insights to corporations, investors, governments, entrepreneurs, and other key stakeholders. The company integrates timely clean-tech data from dozens of sources with expert analysis to provide critical insights to its clients and subscribers. The firm’s offerings include industry-leading sponsored reports, events, stock indices, jobs board, and the U.S. Clean Energy Leadership Index and related consulting services.  For more information visit www.cleanedge.comforward.",,,,,,,,
yes,yes,ctsi,Clean Technology & Sustainable Industries Organization (CTSI),3,,mediapartner,http://www.ct-si.org/,", a 501c6 non-profit industry association, represents the organizations developing commercializing, and implementing energy, water, and environmental technologies. Clean technologies offer much needed solutions to growing resource security and sustainability concerns and are critical to maintaining economic competitiveness. CTSI brings together global leaders for advocacy, community development, networking, and information sharing to help bring these needed technologies to market more rapidly. Visit www.ct-si.org for more information. For more information, visit www.ct-si.org",,,,,,,,4
yes,yes,dat,DESIGN about TOWN,4,,mediapartner,http://designabouttown.com,"is a web design and graphic design firm in San Francisco, California. Since our opening in 2005 we have focused exclusively on providing top-notch branding execution, web design and  graphic design for our clients. ",,,,,,,,5
yes,yes,earthtechling,EarthTechling,5,,mediapartner,http://www.earthtechling.com/,"is an online consumer publication focused on all things green technology. From clean energy and electric vehicles to green gadgets and green buildings, our passionate team and readers weigh in on the latest green news, services, and products. Vist us at EarthTechling.com or join the conversation on Facebook. ",,,,,,,,
yes,yes,ecotuesday,EcoTuesday,6,,mediapartner,http://www.ecotuesday.com,"is a networking event for sustainable business. Every event features a 20 minute keynote by an industry thought–leader, followed by the hallmark “Introduction Circle” where all participants have an opportunity to share about their about passion and find like-minded collaborators. Events take place nationwide on the fourth Tuesday of the month. For more information, visit www.ecotuesday.com",,,,,,,,
yes,yes,greenvc,Green VC ,7,,mediapartner,http://www.greenvc.org,"connects entrepreneurs interested in environmental or social responsibility with information and resources to help them succeed. The Green VC website currently features a directory of funding sources, events calendar,  and news on investments in enterprises that focus on environmental or social responsibility.  Additional information is available at http://www.greenvc.org",,,,,,,,
yes,yes,matter,Matter Network ,8,,mediapartner,http://www.matternetwork.com,"is an online news and information company focused on solutions to environmental and social challenges. Matter’s content distribution network is forged from an alliance of 100+ expert publishers, topping comScore’s charts for attracting the most engaged and influential sustainability audience on the Internet.  Now a primary provider to Reuters Green Business News Service, Matter Network is also the leading syndicator of news, videos and web applications on sustainability topics. For more information, visit www.matternetwork.com",,,,,,,,
yes,yes,nethawk,NetHawk Interactive,9,,mediapartner,http://www.nethawk.net,", has provided online B2B lead generation services for leading technology marketers since 1998. Since then, NetHawk has been at the nexus of the technology community offering online media research, planning and management. We are specialists in B2B media buying and online lead generation.",,,,,,,,
yes,yes,ode,Ode Magazine,10,,mediapartner,http://www.odemagazine.com/,"is a print and online publication about positive news, about the people and ideas that are changing our world for the better.",,,,,,,,
yes,yes,ongreen ,OnGreen ,11,,mediapartner,http://www.ongreen.com/,"was formed to take a proactive step to build the green economy by accelerating the implementations of green technologies. OnGreen is a global marketplace that brings together cleantech investors, their entrepreneurial counterparts, and experts in the field.",,,,,,,,6
