Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
7:00 AM,REGISTRATION & BREAKFAST,,,,,,,,,
8:00 AM,OPENING REMARKS,,,,,,Om Malik,Founder,GigaOM,
,,,,,,,James Kendrick,Editor jkOnTheRun,GigaOM,
8:10 AM,PANEL,Platform Face-Off: The Economics of Development,"A panel of mobile industry experts explore the opportunities and challenges for mobile developers in the next wave of broadband mobility. A proliferation of platforms are all competing for developer mind share. How are the smartphone platforms such as Symbian, Windows Mobile, LiMo and Google Android reshaping how developers create, develop, and launch mobile applications? What are the advantages and disadvantages of choosing open platforms versus proprietary platforms? Which platforms are best for your intended outcomes? Raven Zachary will lead the panel to outline the possible futures.",Raven Zachary,,The 451 Group,Gary Kovacs,,Adobe,
,,,,,,,John O'Rourke,,Microsoft,
,,,,,,,Jason Kenagy,,Qualcomm CDMA Technologies,
,,,,,,,Morgan Gillis,,LiMo Foundation,
,,,,,,,Jerry Panagrossi,,Symbian,
,,,,,,,Alan Brenner,,Research In Motion,
,,,,Padmasree Warrior,,Cisco,,,,
9:15 AM,PANEL,"Location, Search and Context: The Noise and the Opportunities","In any high-growth area there's a lot of noise and the rapidly growing location-based services space is incredibly busy. Location, search and context are hailed as the next trinity for mobile profits, but could they be the next Bermuda Triangle for eager startups? To see the opportunities we need to ask about the underlying technologies, monetization practices and the potential trade-off between privacy and convenience. Led by mobile search expert and authority Greg Sterling, this panel of industry insiders will aim to clear away myths and preconceptions and get to the core of how this triple play will empower entrepreneurs and their ideas.",Greg Sterling,Sterling Market Intelligence/Local Mobile Search,,Lee Ott,,Yahoo,
,,,,,,,Steve Lee,,Google,
,,,,,,,Paran Johar,,JumpTap,
,,,,,,,Ted Morgan,,SKYHOOK Wireless,
,,,,,,,Rick Robinson,,XOHM,
9:55 AM,BREAK,Workshop: Founders Financing Workshop,"The emergence of the internet as a powerful platform for media, social and business applications and the explosion of mobile devices have created great opportunities for entrepreneurs to start and grow new ventures. Venture capital and angel investments have been and will be key drivers in the creation and growth of innovative companies and the mobile space is no exception.  Fenwick & West is presenting a workshop for entrepreneurs on the fundamentals of financing and venture capital/angel term sheets.  The workshop will feature perspectives on financing terms and process from a veteran angel investor, a seasoned venture capitalist, and a serial entrepreneur.",Sam Angus,,Fenwick and West LLP,Jeff Clavier,,Softech VC,
,,,,,,,Jake Seid,,Lightspeed Venture Partners,
,,,,,,,Matthew Fix,,Vodafone Ventures,
