Publish?,Filled out Fulfillment Form,List On Front Page?,Photo Ready?,Gender,Prefix,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
Yes,y,Yes,Yes,m,,Alan,Brenner,SVP BlackBerry Platform,Research In Motion,SVP BlackBerry Platform,,,speaker,y,"As Senior Vice President, BlackBerry Platform, at Research In Motion Limited (RIM), Alan Brenner is responsible for the inception, development and delivery of RIM’s end to end software platform including developer tools, BlackBerry Enterprise Software(BES), BlackBerry Internet Software(BIS) and BlackBerry Unite!. Alan joined RIM in April of 2007. Prior to joining RIM, Alan was a Senior VP at Sun Microsystems responsible for the Java ME Platform, Java Cards, Open Office, iPlanet Email and several other Sun software businesses. Alan holds a Master of Communication and Information Studies Degree from Cleveland State University and a BA with Honors from York University.",1244482624
Yes,y,Yes,Yes,m,,Brian,Havener,Director,Motorola Good Technology Group,Director of Solutions Management,,,speaker,y,"Brian Havener runs the Solutions Management team at Motorola – Good Technology Group, serving as an interface between customers, partners, sales, and product management.  His team works with software and services partners and Motorola/Good customers, providing strategic and technical guidance within some of our  largest deployments.  Brian joined Good Technology over 4 years ago, holding a number of positions across Sales, Professional Services, and Product Management and has encountered both the successes and challenges of enterprise mobility first hand.  Prior to joining Good Technology, Brian was a business consultant at Manugistics, providing architecture and integration services for large-scale supply chain system implementations.  Brian has 12 years of enterprise software sales and implementation experience, and holds a BS in Mechanical Engineering from Iowa State University.",1243477532
Yes,y,Yes,Yes,m,,Caleb,Kow,CEO,"Fonemesh, Inc.",CEO,,,speaker,y,"Caleb is the CEO of Fonemesh, Inc. and a serial entrepreneur who is passionate about building innovative ideas in the mobile telecom space. Hailing from Singapore, he spent the last three years working as Director of VoIP Services with Arizona based venture capitalist Unitedweb after his VoIP service provider was acquired. Caleb is experienced in datacenter management, architecting enterprise telecommunications systems, as well as encouraging adoption of open source technologies as effective technology disruptors. At Fonemesh, Caleb is responsible for architecting the fabric which enables cross platform communication to take place among smart phones and devices.",1247004930
Yes,y,Yes,Yes,m,,Chamath,Palihapitiya,"VP of Growth, Mobile & International",Facebook,"VP of Growth, Mobile & International",,,speaker,y,"Chamath is Vice President of Growth, Mobile and International at Facebook and is responsible for new growth initiatives worldwide, mobile strategy and internationalization. Chamath joined Facebook from The Mayfield Fund, a leading venture capital firm in Silicon Valley where he was focused on Consumer Internet, advertising and media investments. Prior to Mayfield, Chamath spent five years with AOL, most recently as the Vice President and General Manager of AIM and ICQ, with complete responsibility and oversight of two of the biggest and most popular brands on the Internet. Chamath began his career as a derivatives trader before leaving finance to work for Internet music pioneers Spinner.com and Winamp. Chamath grew up in Canada and graduated first class honors in electrical engineering from the University of Waterloo.",1250271387
Yes,y,Yes,Yes,m,,Chandrasekar,Rathakrishnan,Founder & CEO,Fusion Garage Pte Ltd,Founder & CEO,,,speaker,y,"Chandrasekar Rathakrishnan is the founder and CEO of Fusion Garage Pte Ltd. Previously, he founded a start-up called Radixs Pte Ltd. Which he from a two man foundership to a 70-man outfit and raised $20 million in Venture Capital. Radixs innovated the world's first mobile operating system, MXI (Motion Experience Interface), that could run PC-based applications written for Windows, Java and Linux without any redevelopment on handheld devices. Chandra holds a patent in this area. Chandra has presented at events such as 3GSM, DemoMobile03 and ""D"" Conference (""All things Digital"" 04).",1246854401
Yes,y,Yes,Yes,m,,Chetan,Sharma,President,Chetan Sharma Consulting,President,,,speaker,y,"Chetan is president of Chetan Sharma Consulting - a leading strategy firm focused on the mobile industry. He has served as an advisor to senior executive management of several Fortune 100 companies in the wireless space. Some of his clients include NTT DoCoMo, China Mobile, Disney, Motorola, Comcast, KTF, Sony, Samsung, Virgin Mobile, Sprint Nextel, AT&amp;T Wireless, Alcatel-Lucent, KDDI, FedEx, Cincinnati Bell, Reuters, Qualcomm, Reliance Infocomm, SAP, American Express, and HP. Chetan is author or coauthor of five books on the wireless industry including the 2008 releases - Mobile Advertising (John Wiley) and Wireless Broadband Technology (IEEE/Wiley). He is one of the leading strategists on IP matters in the wireless industry and has advised clients with some of the biggest patent portflios in the world.",1252361468
Yes,y,Yes,Yes,m,,Clint,McClellan,"Sr. Director of Market Development, Health & Life Sciences",Qualcomm Incorporated,"Sr. Director of Market Development, Health & Life Sciences",,,speaker,y,"McClellan's current responsibilities include establishing opportunities for Qualcomm in the Health &amp; Life Sciences market. McClellan joined QUALCOMM in December of 1997 as director of strategic marketing. McClellan brings a wealth of wireless industry analysis experience to QUALCOMM. Currently McClellan serves as the Board Chairman for the Foundation for the Children of the Californias, which supports Hospital Infantil, a pediatric Hospital, in Tijuana, Mexico. Prior to joining the Company, McClellan served as a senior analyst for Gartner Group/Dataquest's Telecommunications Group in its personal communications wireless program. Previously, McClellan worked as a marketing specialist at Telephone House Nippo in Kobe, Japan and for CH2M Hill Consulting Engineers in Oakland, California. McClellan holds a Bachelor's of Science degree in Political Economics from the University of California, Berkeley",1248455093
Yes,y,Yes,Yes,m,,David,Zhao,Co-founder and CEO,Zecter,Co-founder and CEO,,,speaker,y,"David is a technologist who spent the last 5 years building applications for the web. David first ventured into web startups during college, where he ran a popular book exchange site that monetized on affilates. Prior to Zecter, David designed and built high performance, fault tolerant services at Amazon. At Amazon, he also led development of Amazon Online Reader, the AJAX reader for Search Inside the Book. David graduated Cum Laude from University of Washington with a B.S. in Computer Engineering.",1248341470
Yes,y,Yes,Yes,m,,Dean,Terry,Co-Founder,placethings,Co-Founder,,,speaker,y,"Dean Terry is a mobile media and Internet entrepreneur and is the founder of placethings, a mobile location based media startup. Terry has been involved in the mobile space for nearly a decade. He is currently founder and Director of MobileLab, a University of Texas at Dallas research consortium centered in the Telecom Corridor where he is collaborating on mobile technology projects with Texas Instruments and Ericsson with support from Apple and Samsung. Terry has won Best of Show at CTIA / Internet World Wireless and has presented at numerous conferences including in 2008 at Supernova and Mobilize. Terry was also co-founder of the Internet entertainment company PixelWave which sold to AtomFilms. There he developed innovative projects for Nokia, Microsoft, Warner Brothers, and others.",1247769176
Yes,y,Yes,Yes,m,,Dylan,Tweney,Senior Editor,Wired.com,Senior Editor,,,speaker,y,"Dylan F. Tweney is an award-winning writer and editor specializing in technology, science and business. He is a senior editor at Wired.com, where he’s responsible for technology and science coverage. He is a 1991 graduate of Williams College, where he majored in religion and studied poetry under Louise Glück. He has worked as a weed whacker, pizza chef, ESL teacher, and environmental activist, and won the Boston Poetry Slam in 1992. He has trouble writing more than 75 words at a time about himself.",1243464500
