Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/mobilize/sponsors/media-partners/
yes,yes,qualcomm,Qualcomm,,,headline,http://www.qualcomm.com/,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,socialgamingsummit,Social Gaming Summit 2009,,,mediapartner,http://www.socialgamingsummit2009.com/,,
yes,yes,venturebeat,VentureBeat,4,,mediapartner,http://venturebeat.com/,,
yes,yes,reinventmobile,Reinvent Mobile,,,mediapartner,http://www.reinventmobile.com/,"**Reinvent Mobile** is a channel of co-innovation, collaboration that engages end users in the future design, usability and functionality of the mobile computer. The initiative includes a new online community where users and the industry can meet to exchange ideas and discuss experiences. Allows the mobile computing industry to gain an unprecedented ability to streamline the time and resources required for direct feedback and interaction with customers. 
",
yes,yes,mef,Mobile Entertainment Forum,3,,mediapartner,http://www.m-e-f.org/,"**Mobile Entertainment Forum** is the global trade association of the mobile media industry, working on behalf of its diverse membership to drive mobile entertainment adoption, shape regulation and deliver competitive advantage to its members. With a regional Americas chapter (based in LA) and global HQ in London, MEF’s member network encompasses mobile entertainment businesses and entrepreneurs from across the value chain.",
yes,yes,natpe,NATPE,,,mediapartner,http://www.natpe.org/natpe/,"Celebrating over 40 years of service to the ever-evolving global television industry, **NATPE** continues to redefine itself and the services it provides to meet the needs of its members. Today’s industry encompasses so much more today than ever before and NATPE implements our mission by providing members with education, networking, professional enhancement and technological guidance through year-round activities and events, timely directories. The organization also offers a full compliment of online services to its membership.",
yes,yes,women20,Women 2.0,,,mediapartner,http://www.women2.org/,,
yes,yes,failcon,SNAP Summit: FailCon,,,mediapartner,http://snapsummit.com/,,
yes,yes,tie,TiE Silicon Valley,2,,mediapartner,http://www.tiesv.org/,"**TiE** is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute.",
yes,yes,keiretsu,Keiretsu Forum,,,mediapartner,http://www.keiretsuforum.com/,"**Keiretsu Forum** is the world’s largest angel investor network with 750 accredited investor members throughout eighteen chapters on three continents. Founded in 2000, Keiretsu Forum members have invested over $180m in 200 companies of diverse industries. Forum members collaborate in the due diligence, but make individual investment decisions, with rounds in the range of $250k-$2m. Keiretsu Forum's community is strengthened through education on angel investing, as well as charitable giving. ",
yes,yes,witi,WITI - Women in Technology International,,,mediapartner,http://www.witi.com/,"**WITI** is the premiere global organization empowering women in business and technology to attain their professional goals and dreams. With a global network of smart, tech-savvy women, WITI has powerful programs and partnerships that provide connections, resources, opportunities and a supportive environment. Since 1989, WITI has delivered value to individuals, small businesses, and corporations.
",
yes,yes,readwriteweb,ReadWriteWeb,,,mediapartner,http://www.readwriteweb.com/,"**ReadWriteWeb** is a blog that provides Web technology news, reviews and analysis. It began publishing on April 20, 2003 and is now one of the most widely read and respected blogs in the world. It has around 275,000 RSS and email subscribers. ReadWriteWeb was founded by Richard MacManus and is written by a team of Web enthusiasts.",
yes,yes,dotopen,dotopen,,,mediapartner,http://dotopen.com/,"**dotopen** is an online communication platform for decision makers to connect and collaborate. Users can research, discover and contact potential clients, competitors, investors, suppliers, and other partners. dotopen fosters an open community of organizations who value transparency, honesty and cooperation and we develop tools to improve our members’ ability to strategically compete and collaborate.",
yes,yes,conferenceguru,Conference Guru,,,mediapartner,http://www.conferenceguru.com/,"**Conference Guru** reviews thousands of conferences to find great conferences and establishes partnerships with the organizers that enable us to offer a limited quantity of conference passes at a great price.  Sign up for our eblasts to get the inside scoop on all the conferences you need to be at and to receive exclusive Guru Only deals, discounted passes you can’t get anywhere else.  You can also check out our conference calendar for a comprehensive list of technology, media, entertainment and venture capital conferences around the world",
yes,yes,ecomm,eComm,,,mediapartner,http://ecomm.ec/,"**The Emerging Communications Conference & Awards** is dedicated to answering ""What’s Next in Telecom, Mobile and Internet and Communications?"" It's the world's leading-edge communications event designed to showcase and accelerate both technology and business model innovation; and to explore the latest opportunities.",
yes,yes,telecomcouncil,Telecom Council,,,mediapartner,http://www.telecomcouncil.com/,"**The Telecom Council** is an association dedicated to connecting Silicon Valley’s critical mass of companies across the entire telecom ecosystem-big and small, fixed and wireless-with each other.  With one goal in mind, to provide an arena to Connect, Communicate, and Collaborate, the Council supplies the network, tools, and events, which fuel the industry’s research, ideas, capital, and human expertise.  ",
