Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
,y,y,y,m, Dr. Tero, Ojanperä,"EVP, Services, Mobile Solutions",Nokia,"EVP, Services, Mobile Solutions, Nokia",1,,speaker,y,"Tero Ojanperä, who heads Nokia's Services business, is responsible for the company's portfolio of location, messaging, entertainment and context-based services. He has been a member of the Group Executive Board since 2005, and was appointed to his current position in 2009. Tero has played a defining role in driving Nokia's evolution since joining the company in 1990, holding several senior management positions at Nokia Networks. In 2003-2004, he headed Nokia Research Center and was appointed chief strategy officer a year later. From 2006, Tero served as chief technology officer, responsible for corporate and technology strategy, strategic alliances/ partnerships, research and intellectual property rights. Tero has a master's degree from the University of Oulu, Finland, and a Ph.D. from Delft University of Technology, the Netherlands. ",
,y,y,y,m,Robert ,Abbott,General Partner,Norwest Venture Partners,"General Partner, Norwest Venture Partners",,,speaker,y,"Robert joined NVP in 1998 and is focused on a wide variety of investment categories including mobile, online advertising, infrastructure and systems. His current investments and board seats include Brand.net, ClariPhy, mBlox, Mozes, Occam Networks and Zenverge. Robert was formerly a member of the board of directors of Covigo (acquired by Symbol Technologies), KACE (acquired by Dell), Resonext Communications (acquired by RF Micro Devices) and SideStep (acquired by Kayak). He has also worked with such companies as Embark (acquired by Princeton Review), Escalate (acquired by GERS), mPower (acquired by Morningstar) and Quantum Effect Devices (acquired by PMC-Sierra). Robert has nine years of operational experience in various roles, from engineering to marketing and product management. Before joining NVP, he was at Silicon Graphics. Prior to Silicon Graphics, Robert worked at IBM-ROLM Systems. He holds a bachelor of science and a master of science in electrical engineering and an MBA, all from Stanford University.
",
y,y,y,y,m,Osama,Bedier,"VP of Platform, Mobile and New Ventures",PayPal,"VP of Platform, Mobile and New Ventures, PayPal",20,,speaker,y,"Bedier is PayPal's vice president of platform, mobile and new ventures. He oversees PayPal X, PayPal’s open global payments platform allowing independent and enterprise developers to build innovative payment applications for a variety of online and mobile applications. Throughout his seven-year career with PayPal/eBay, Bedier held numerous engineering and product development management responsibilities. Most recently, he was vice president of product development for all consumer- and merchant-facing products. Bedier began his career at eBay working on the re-architecture of eBay’s next generation platform.",1278025589
,y,y,y,m,Yves,Béhar,Founder,fuseproject,"Founder, fuseproject",5,,speaker,,,
y,y,y,y,m,Andreas ,Bernstrom ,CEO,Rebtel,"CEO, Rebtel",21,,speaker,y,"Andreas is CEO of Rebtel, a role he’s maintained since September 2009. He is currently responsible for the company’s strategic direction and raising valuation for Rebtel stakeholders. Prior to Rebtel, Andreas was COO of Taptu, a UK-based mobile search engine, and previous to that he was COO of TradeDoubler, a position he took over in 2007, leading 600+ employees to more than $500 million in revenues operating in 19 territories. Andreas served the previous six years as Managing Director at TradeDoubler where he grew the operation from $4m to $110m in revenues, and established a dominant market position. Prior to that Andreas spent three years at Goldman Sachs.",
y,y,y,y,m,Adam,Blum,CEO,Rhomobile,"CEO, Rhomobile",,,speaker,y,"Adam Blum is CEO of Rhomobile. Formerly the Vice President of Engineering at Mobio Networks, Mr. Blum led the high caliber engineering team in Silicon Valley and India. Previously, he was the Senior Director of Engineering at Good Technology, where he led the Server Engineering efforts including the development of GoodAccess. Mr. Blum's experience at Good Technology demonstrated to him the need for a framework that would help enterprises build mobile applications easily and cost-effectively, without having to develop applications from scratch for multiple platforms. Rhomobile's Rhodes enables companies to build enterprise-class applications and execute them across all major devices.",
y,y,y,y,m,Tim,Chang,Principal,Norwest Venture Partners,"Principal, Norwest Venture Partners",,,speaker,y,"Tim brings a combination of operational, technical and international business experience to NVP. Tim focuses on investments in mobile, gaming, digital media, and also leads NVP's investment practice in China and Asia-Pacific.  Tim led NVP's investments in and joined the boards of directors of ngmoco, Lumos Labs, Brite Semiconductor and 3jam. He also led NVP's investment in Playdom, a leader in social gaming, and PCH International, a turnkey global supply chain services firm. Tim is a board observer working closely with Borqs, deCarta, and Veveo. Tim began his career in venture capital in 1999 during his time at Stanford Business School as part of the founding team of CTR Ventures K.K., a venture accelerator in Tokyo.",1278521941
y,y,y,y,m,Juha,Christensen,Chairman and CEO,CloudMade,"Chairman and CEO, CloudMade",9,,speaker,y,"After 6 years at handheld computer pioneer Psion, Juha developed the idea for Symbian, the operating system company. He wrote the business plan and negotiated investments worth $130 million. Juha served on Symbian's board and led the company's business activities and technical strategy. Following Symbian, Juha spent 4 years as Corporate Vice-President at Microsoft, responsible for a range of mobile software products, including Mobile Information Server, Server ActiveSync Smartphone and Pocket PC. Juha also serves on the board of Teleca, the largest Systems Integrator in the mobile industry. A frequent speaker at industry events, Juha has also been a regular commentator on CNBC, Bloomberg, Wall Street Journal and BusinessWeek. Juha was voted one of the 25 most influential Europeans in technology by Time Magazine. ",
y,y,y,y,m,Rob ,Coneybeer,Managing Director,Shasta Ventures,"Managing Director, Shasta Ventures",,,speaker,y,"Rob Coneybeer is a co-founder and managing director of Shasta Ventures.  Rob is particularly interested in investment opportunities in Mobile & Wireless, Technology Applications, and Infrastructure. Prior to co-founding Shasta Ventures, he was a general partner at New Enterprise Associates (NEA) where he led 15 investments in core infrastructure technologies spanning semiconductors, software and networking equipment. Before joining the venture capital industry, Rob served as a lead integration and test engineer in the Astro Space division of Martin Marietta.  Rob holds a B.S. degree in Mechanical Engineering from the University of Virginia, an M.S. degree in Mechanical Engineering from Georgia Institute of Technology and an M.B.A. degree from the Wharton School at the University of Pennsylvania.",1254754363
y,y,y,y,f,Weili,Dai,Co-Founder,Marvell,"Co-Founder, Marvell",4,,speaker,y," Weili Dai has been a cornerstone of Marvell’s success since she co-founded the company in 1995. Ms. Dai’s business acumen, strategic thinking, leadership and endless passion, have contributed greatly to Marvell’s fast rise to success. Her close relationship with her customers and the foundation of the trust shared with them has given her a strong reputation for professionalism and integrity throughout the industry. Ms. Dai has served a pivotal role in creating some of the Company’s most important strategic partnerships and under her leadership Marvell’s technology has become an integral part of many of the world’s most important products in enterprise, communications, consumer and emerging markets. Ms. Dai holds a Bachelor of Science degree in Computer Science from UC Berkeley. ",1278440106
