Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description
yes,yes,accenture,Accenture,,,showtime,http://www.accenture.com/,
yes,yes,cicc,CICC,1,,mediapartner, http://www.ca-israelchamber.org/,"**The California Israel Chamber of Commerce (CICC)** is a not-for-profit, industry-supported organization dedicated to strengthening business, investment, technology and trade relations between California and Israel. CICC has a network of over 9000 key players engaged in cross-border opportunities between the two states. Over the years CICC has helped hundreds of Israeli technology companies launch successfully abroad while assisting US Investors and technology giants identify unique ventures and collaborative partners in Israel. www.ca-israelchamber.org"
yes,yes,endeavor ,Endeavor,2,,mediapartner,http://www.endeavor.org,"**Endeavor** is an international development organization committed to identifying and empowering high impact entrepreneurs in emerging markets. Headquartered in New York and with a new San Francisco office, Endeavor operates in 10 markets – Argentina, Brazil, Chile, Colombia, Egypt, Jordan, Mexico, South Africa, Turkey, and Uruguay. For more information, visit www.endeavor.org."
yes,yes,evri,Evri,,,primetime,http://www.evri.com/,
yes,yes,getjar,GetJar,,,showtime,http://www.getjar.com/,
yes,yes,groundtruth,Ground Truth Mobile,,,primetime,http://www.groundtruth.com/,
yes,yes,ida,IDA Ireland,,,showtime,http://www.idaireland.com/,
yes,yes,intuitm,Intuit,,,showtime,http://intuit.com/,
yes,yes,ipass,iPass,,,primetime,http://www.ipass.com/,
yes,yes,joyent,Joyent,,,primetime,http://www.joyent.com/,
yes,yes,kpmg,KPMG,3,,primetime,http://www.kpmg.com,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,
yes,yes,marvell,Marvell,1,,primetime,http://www.marvell.com/,
yes,yes,mayfield,Mayfield Fund,,,showtime,http://www.mayfield.com/,
yes,yes,microsoft,Microsoft,2,,primetime,http://www.microsoft.com,
yes,yes,mff,Mobile Future Forward,3,,mediapartner,http://www.mobilefutureforward.com/,**Mobile Future Forward** is a gathering of some of the most influential minds in the mobile industry who are helping shape the industry. The experts and visionaries from around the globe will gather in Seattle on Sept 8th to discuss and debate the challenges and opportunities. Come explore the future of mobile.
yes,yes,mma,Mobile Marketing Association,4,,mediapartner,http://mmaglobal.com/main,"**Mobile Marketing Association (MMA)** is the premier non-profit trade association established to lead the growth of mobile marketing and its associated technologies. The MMA is an action-oriented organization designed to clear obstacles to market development, establish mobile media guidelines and best practices for sustainable growth, and evangelize the use of the mobile channel."
yes,yes,motricity,Motricity,,,showtime,http://www.motricity.com/,
yes,yes,nvp,Norwest Venture Partners,,,showtime,http://www.nvp.com/,
yes,yes,opera,Opera,,,showtime,http://opera.com/,
yes,yes,orange,Orange,,,showtime,http://www.orange.com,
yes,yes,parisoma,pariSoma,5,,mediapartner,http://www.pariSoma.com,"**The pariSoma Innovation Loft** is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation."
yes,yes,phonetell,PhoneTell,,,showtime,http://www.phonetell.com,
yes,yes,placecast,Placecast,,,primetime,http://placecast.net/,
yes,yes,plantronics,Plantronics,1,,vip-reception,http://www.plantronics.com,
yes,yes,qualcomm,Qualcomm,1,,headline,http://www.qualcomm.com/,
yes,yes,rebtel,Rebtel,,,primetime,http://www.rebtel.com/,
yes,yes,startupdigest,StartupDigest,6,,mediapartner,http://thestartupdigest.com,"**StartupDigest** is the best way to find out and stay informed about the best startup events in your favorite cities. Join over 65,000 subscribers at http://thestartupdigest.com."
yes,yes,syniverse,Syniverse,,,showtime,http://www.syniverse.com,
yes,yes,tango,Tango,,,showtime,http://www.tango.me,
yes,yes,tango,Tango,,,closing-reception,http://www.tango.me,
yes,yes,techcocktail,TECH cocktail,7,,mediapartner,http://www.techcocktail.com,"**TECH cocktail** is a media and events company dedicated to better connecting, educating and amplifying the technology startup community. Working with TECH cocktail has helped start-ups across the country find employees, co-founders, funding and even become acquired. For more information, visit: http://www.techcocktail.com or connect on Facebook http://facebook.com/techcocktail or Twitter: http://twitter.com/techcocktail"
yes,yes,founderinstitute,The Founder Institute,8,,mediapartner,http://www.founderinstitute.com/,"**The Founder Institute** is a startup accelerator and entrepreneur training program currently on pace to annually launch 500+ companies in 13+ cities worldwide. The program identifies high-potential entrepreneurs using predictive testing, and then guides them with a network of 250+ CEO Mentors. All stakeholders share equity in the formed companies. The Founder Institute - Globalizing Silicon Valley.  "
yes,yes,telecomcouncil,The Telecom Council,9,,mediapartner,http://www.telecomcouncil.com,"**The Telecom Council** is an association which connects decision makers across the entire telecom ecosystem – it’s Where Telecom Meets Innovation. We have over 20 globally significant telcos - a direct pipeline to over 2 billion subscribers, billions of VC capital, scores of start-ups, and the world’s portal giants - nowhere else in the world are so many powerful telecom people in one place. More at www.telecomcouncil.com"
yes,yes,tie,TiE,10,,mediapartner,http://www.tiesv.org/,"**TiE** is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org"
yes,yes,untethertv,UNTETHER.tv,11,,mediapartner,http://www.untether.tv/ellb/,"**UNTETHER.tv** is a video podcast focused on the mobile/wireless industry where we get insight into what it takes to build an innovative and growing business from the experts who are currently doing it. With over 100 hours of filmed conversation from the rock stars of the mobile/wireless world, UNTETHER is the most complete resource for learning how to participate and succeed in this space."
yes,yes,vctaskforce,VC Taskforce,12,,mediapartner,http://www.vctaskforce.com/,"**VC Taskforce** is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com"
yes,yes,venturebeat,VentureBeat,13,,mediapartner,http://venturebeat.com/,"**VentureBeat** is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat. For more information, visit www.venturebeat.com"
