FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,Bob,Abbott,General Partner,Norwest Venture Partners,"General Partner, Norwest Venture Partners",,,speaker,y,"Bob joined NVP in 1998 and is focused on a wide variety of investment categories including mobile, online advertising, infrastructure and systems. His current investments and board seats include Brand.net, ClariPhy, mBlox, Mozes and Zenverge. Robert was formerly a member of the board of directors of Covigo (acquired by Symbol Technologies), KACE (acquired by Dell), Occam Networks (acquired by Calix), Resonext Communications (acquired by RF Micro Devices) and SideStep (acquired by Kayak). He has also worked with such companies as Embark (acquired by Princeton Review), Escalate (acquired by GERS), mPower (acquired by Morningstar) and Quantum Effect Devices (acquired by PMC-Sierra).",,,,
y,y,y,y,m,Michael,Abbott,VP Engineering,Twitter,"VP Engineering, Twitter",,,speaker,y,"Mike Abbott (@mabb0tt) is Twitter's VP of engineering, where he manages the engineering teams that work on product, infrastructure and operations. Since joining Twitter, Abbott has grown the team from 60 to more than 300 engineers. He came to Twitter in 2010 from Palm, where he led the software development team that created HP/Palm’s next-generation webOS platform. Abbott was previously the general manager for .NET online services at Microsoft. Prior to that, he co-founded Passenger Inc. and founded Composite Software. He holds a bachelor’s degree from California Polytechnic State University, and has completed coursework toward a Ph.D. at the University of Washington.",,,@mabb0tt,
y,y,y,y,m,Craig,Barratt,President,Qualcomm Atheros,"President, Qualcomm Atheros",,,speaker,y,"Dr. Craig Barratt joined Qualcomm in May 2011 as president of Qualcomm Atheros, Inc. He served as president and chief executive officer of Atheros, and a director on the company’s board from 2003, leading the company through its 2004 IPO and growth to over $900M of revenue in 2010, culminating in its 2011 acquisition by Qualcomm. Dr. Barratt holds Ph.D. and master of science degrees in electrical engineering from Stanford University, as well as bachelor of electrical engineering and bachelor of science degrees from the University of Sydney in Australia. Dr. Barratt has been granted over 28 patents in a variety of wireless and related technologies and has co-authored a book, various technical publications and open source software.",,https://www.facebook.com/qualcomm,@qualcomm,
y,y,y,y,m,Santiago,Becerra,Co-Founder and CEO,MeLLmo,"Co-Founder and CEO, MeLLmo",,,speaker,y,"Santiago Becerra brings more than 20 years of experience in the software industry and product development to MeLLmo. A Harvard MBA and former Booz Allen & Hamilton management consultant, Santiago is a successful entrepreneur with a proven track record in the software industry. He founded Infommersion, creator of Xcelsius ®, in 2002, which was acquired by Business Objects in 2005.  Santiago also founded Graphical Information Inc., a software company that was acquired by Oracle Corporation in 1998. Both acquisitions resulted in the successful integrations of the products into the acquirers' business applications. With the launch of MeLLmo, Santiago's goal is to reinvent the way individuals access, process, and utilize information on mobile devices.",,,,
y,y,y,y,m,Bo ,Begole,Principal Scientist,"PARC, a Xerox company","Principal Scientist, PARC, a Xerox company",,,speaker,y,"Bo manages PARC's Ubiquitous Computing research area. Bo is an applied computer scientist working to create novel interactive systems. His ambition is to eliminate technology barriers between information and people by making systems that are smarter about what the user is trying to do. Bo holds several patents and has published dozens of papers in peer-reviewed venues, and is the author of Ubiquitous Computing for Business (FT Press, 2011). Currently, Bo serves as Technical Program co-Chair for the 2011 ACM conference on Human Factors in Computing Systems in Vancouver BC, May 7-11, 2011. Prior service includes General Chair of the 2008 conference on Computer-Supported Cooperative Work (CSCW 2008), Papers Chair (CHI 2007) and serving on the committees of several conferences.",,,@parcinc,http://www.linkedin.com/pub/bo-begole/0/657/299
y,y,y,y,m,Adam,Blum,CEO,Rhomobile,"CEO, Rhomobile",,,speaker,y,"Adam is the CEO of Rhomobile and has served as CTO, VP of Engineering and co-founder of several successful startups in the mobile and web services spaces. He has spoken at Interop in Las Vegas and at Ruby events all over the world. While spending millions of dollars at Good on enterprise mobile application development, Blum realized there was a need for a framework in which companies could build their mobile applications easily and empower their workforce without having to spend millions of dollars on mobile application development, training programmers to learn each different programming language, and then having to build the apps from scratch. Blum is also an adjunct professor at Carnegie Mellon University.
",,,@adamblum,http://www.linkedin.com/profile/view?id=1916021&authType=name&authToken=5Xb5&trk=tyah
y,y,y,y,m,Cole,Brodman,CMO and EVP,T-Mobile USA,"CMO and EVP, T-Mobile USA",,,speaker,y,"Cole Brodman is Chief Marketing Officer for T-Mobile USA. In his current role Mr. Brodman leads marketing and product management efforts for T-Mobile USA. He is responsible for setting the business strategy, overseeing development and driving operations for new products, services, promotions and devices. Additionally, he coordinates with Deutsche Telekom, the parent company for T-Mobile USA, on global service and device initiatives. He has spent the majority of his years with the company driving the Product Development team, which was responsible for the mobile device lifecycle. He was later promoted to Chief Technology and Innovations Officer. In this role, he was responsible for the evolution of T-Mobile’s network and technology platforms, including IT, Engineering Operations, Product Management and Business Development.",,,,
y,y,y,y,m,Stephen,Bye,CTO,Sprint,"CTO, Sprint",,,speaker,y,"Stephen Bye, CTO / vice president of Technology Development & Strategy, is responsible for driving Sprint's technology strategy, architecture and global standards; innovation center and labs; emerging business and service model development. Bye has more than 18 years of engineering, operations, product development, business planning and marketing experience with telecom and wireless service providers. Prior to joining Sprint in the spring of 2011, Bye was vice president of Wireless Services at Cox Communications. He has also held executive positions with AT&T, inCode Wireless, BellSouth International, Optus Communications and Telstra. Bye is a Chartered Engineer, Senior Member of the IEEE and a Fellow of the Institution of Engineering and Technology.",,,,
y,y,y,y,m, Danilo,Campos,Mobile Dude ,Hipmunk,"Mobile Dude, Hipmunk",5,,speaker,y,"Danilo is the original mobile developer at Hipmunk and the only iOS developer. He spends his days prototyping, designing, and coding satisfying solutions to on-the-go travel problems. Prior to Hipmunk, Danilo quit a corporate job during the height of the financial crisis to focus on his obsession for building great iPhone apps.",,,@_danilo,
y,y,y,y,m,Jonathan,Carson,"GM, Digital",Nielsen,"GM, Digital, Nielsen",,,speaker,y,"Jonathan Carson is General Manager of Digital at Nielsen, a leading global provider of information and analytics around what consumers watch and what they buy. Previously, he was President of International for Nielsen Online, managing operations in 30 markets. Jonathan first came to Nielsen in 2007 when BuzzMetrics, the social media measurement company he co-founded and led as CEO, was acquired by Nielsen.",,,,http://www.linkedin.com/in/jonathancarson
