Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
9/20/2012,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:20 AM,OPENING REMARKS,,,Kevin Tofel,Senior Writer,GigaOM,Om Malik,Founder and Senior Writer,GigaOM
,,,,,,,,Kevin Fitchard,Senior Writer,GigaOM
,8:30 AM,The future speaks. Again.,,"As the consumer uses multiple apps and multiple devices, Siri has the potential to tie them all together with just one voice command, changing the way we interact with not only our smartphones but also all of our connected devices. We will soon be able to organize our lives via a virtual assistant. But will interaction with our smartphones evolve beyond voice commands and touch? Will devices smell, see or feel? Sensors and user-interface technologies are being developed for a number of different applications and vertical markets. We will explore whether the mobile device is where we want to tie them all together and how we can keep these interfaces simple and intuitive.",Derek Kerton,"Principal Analyst, The Kerton Group and Analyst",GigaOM Pro,Yoon Kim,CEO,Novauris Technologies
,,,,,,,,Christian Lindholm,Board Advisor,Fjord
,,,,,,,,Vlad Sejnoha,CTO,Nuance
,8:50 AM,Building a private social network,,"Private social networks have been gaining traction, but it is a lot more difficult to achieve scale, especially if the network is mobile-only. In this session we ask whether this long-haul strategy can work, especially if private social networks can scale to the size of a Facebook or Twitter. We also discuss how the fewer, more meaningful interactions among users in a closed environment mean you can have a fundamentally different monetization strategy.
",Mathew Ingram,Senior Writer,GigaOM,Jared Hecht,Co-Founder,GroupMe
,,,,,,,,Dave Morin,Co-Founder and CEO,Path
,9:10 AM,Let mobile be mobile,,"Even though we are becoming a mobile-first society, websites are still built for the desktop first and for the small screen second. In this session we look at how the mobile version of websites or apps don't have to be slimmed-down but can be so much more.",Laurie Lamberth,"Founder and VP, Business Development, Lamberth & Associates and Analyst",GigaOM Pro,Adam Medros,"VP, Global Product",TripAdvisor
,9:30 AM,The connected-car experience,,"People don't want to give up connectivity just because they are in the car. So what does the in-car connected experience look like? Some carmakers envision a more streamlined service with a familiar feel, ensuring less cognitive processing by the driver. How can Silicon Valley work with the car industry on its current fragmented platforms, especially when life cycles for technologies in the two industries are completely different? Carmakers want to work with third parties to affordably bring content into the car and enable a personalized connected experience, but they also want some level of control over the interface. Can a partnership like this work?",Katie Fehrenbacher,Senior Writer,GigaOM,Robert Acker,VP and GM,Aha by Harman
,,,,,,,,David Kirsch,Connected Technology Engineer,"Honda R&D Americas
"
,,,,,,,,Bryan Trussel,Co-Founder and CEO,Glympse
