FF,Publish,Photo Ready?,List on front page?,Gender,Account ID,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,001C0000010pAKj,Robert,Acker,VP and GM,Aha by Harman,"VP and GM, Aha by Harman",,,speaker,y,"Robert Acker has been a pioneering entrepreneur in the connected car space for the past 14+ years. In that time, the automotive industry has been looking to Acker as a thought leader and visionary. In his current role with global infotainment giant HARMAN, Robert and his team are working to revolutionize radio for today’s connected consumer. Aha, the fourth band of radio alongside AM, FM and XM, organizes content from the web into personalized, live and on-demand radio stations that consumers can listen to from anywhere – even safely from the driver’s seat. Acker holds both a bachelor's degree and master's degree in aeronautical and astronautical engineering from MIT, and a MBA from the Harvard Business School.",,"As a pioneer in the connected car space for 14+ years, the automotive industry looks to Robert Acker as a thought leader and visionary. Robert and his team at HARMAN are revolutionizing radio for today’s connected consumer. ",,,@acker,http://www.linkedin.com/in/robertacker
y,y,y,y,m,,Raj,Aggarwal ,CEO and Co-Founder,Localytics,"CEO and Co-Founder, Localytics",,,speaker,y,"Raj is CEO of Localytics (http://www.localytics.com). Localytics offers a powerful, real-time analytics platform that helps thousands of leading smartphone & tablet app publishers make more successful and more profitable apps. Raj previously spent 5 years in management consulting, most recently with Bain & Company. His primary focus was the wireless sector and in this capacity he helped build some of the world’s most successful mobile companies. Prior to consulting, Raj completed his MBA with Honors from the Ivey School of Business and London Business School. Before this he managed Pre-Sales Engineering for Requisite Technology, an enterprise software provider in Colorado. Raj’s career began in robotics, where he eventually led the sales and marketing department for a Toronto-based manufacturer.",,,,,@analyticsraj,http://www.linkedin.com/in/aggarwalraj
y,y,y,y,m,,Kris,Alexander,Chief Strategist for Connected Devices,Akamai Technologies,"Chief Strategist for Connected Devices, Akamai Technologies",,,speaker,y,"As Akamai’s Chief Strategist for Connected Devices, Kris develops global strategies and solutions that help to extend and optimize end user experiences on any device, anywhere. Collaborating with Akamai's key partners and customers including Apple, Samsung, Microsoft, Sony and Qualcomm, he is a recognized thought leader in the fields of connected devices, cloud computing, cloud gaming and interactive entertainment. Prior to joining Akamai, Kris served as an independent business strategy consultant for companies including Parker Guitars, Turbine Games, and NaviSite. Earlier in his career, he held several positions with Genuity (formerly BBN Networks) including Director of Marketing and Strategy and Product Manager. He holds undergraduate degrees in Engineering and Marketing from Northeastern University and an MBA from Babson College.",,,,,"@krisalexander21
",http://www.linkedin.com/pub/kris-alexander/0/66/601
,,,,,,Akash,Baid,PhD Candidate,"WINLAB, Rutgers University",,,,,,Akash Baid is a PhD candidate at the Wireless Information Network Laboratory at Rutgers University working on wireless communications and future Internet problems. He is the student lead on the MobilityFirst Future Internet Architecture project and is one of the founders of DataMiser - a mobile data optimization project started in Feb. 2012. He has previously worked as a research intern at Qualcomm R&D and InterDigital. Akash holds a Bachelor's degree in Electronics and Communications Engineering from Indian Institute of Technology Guwahati and a Master's degree in Electrical and Computer Engineering from Rutgers University,,,,,,
,,,,,,Suman,Banerjee,Associate Professor,University of Wisconsin-Madison,,,,,,"Suman Banerjee is a professor in Computer Sciences at the University of Wisconsin Madison where is serves as the founding director of the WiNGS laboratory. He is a recipient of the US National Science Foundation's Career Award. He has authored more  than 100 technical papers and journals. Banerjee has served in leadership roles invarious technical events, including as Technical Program Chair of ACM MobiCom 2010, and is currently serving as the Editor-in-Chief of the Mobile Computing and Communications Review journal. He has also served as the CTO of two startups in the mobile and wireless technology domain. Banerjee received his PhD from the University of Maryland and his undergraduate degree from IIT Kanpur, India, all in computer science.",,,,,,
y,y,y,y,m,,Bill,Brown,"GM, Converged Consumer Solutions",Motorola Mobility,"GM, Converged Consumer Solutions, Motorola Mobility",,,speaker,y,"Bill Brown is the General Manager of the Converged Consumer Solutions group at Motorola Mobility. In this role, he oversees the converged device and service offerings that are driving the evolution of TV and the smart, simple connected home. He joined Motorola in April 2011 from Touch Revolution, part of the TPK Group, where he was a Founder and served as Vice President of Sales and Marketing. Brown has over 20 years of leadership experience in marketing and product development for the technology industry. He holds an M.B.A. in Marketing and Entrepreneurship from the Kellogg Graduate School of Management and a B.A./B.S. in Marketing and Economics from the University of Pennsylvania. ",,,,,,http://www.linkedin.com/in/billjbrown
y,y,y,y,m,,Eric ,Bruno,VP of Strategy and Planning for Verizon Consumer Mass Business Markets ,Verizon Communications,"VP of Strategy and Planning for Verizon Consumer Mass Business Markets, Verizon Communications
",,,speaker,y,"Eric J. Bruno is Vice President of Strategy and Planning for Verizon Consumer and Mass Business Markets. In this role, he is principally responsible for the development and execution of the FiOS consumer and small business growth strategy – as well as the implementation of key strategic initiatives, including the start-up of the recently announced Verizon-Redbox joint venture, Redbox Instant by Verizon. Mr. Bruno has more than 20 years of experience in the communications and technology industry, with significant assignments in business market strategy, competitive planning and response, market management, large business sales and long distance. Mr. Bruno received a Bachelor's of Arts in Public Policy and Philosophy from Duke University",,,,,,
y,y,y,y,m,,Jack,Buser ,"Senior Director, PlayStation Digital Platforms",Sony Computer Entertainment America,"Senior Director, PlayStation Digital Platforms, Sony Computer Entertainment America",,,speaker,y,"Jack Buser is the Senior Director of PlayStation Digital Platforms for Sony Computer Entertainment America (SCEA). Jack has over 15 years of product marketing and business development experience, and acts as the business unit general manager for digital platforms, including PlayStation Network, PlayStation Suite, PlayStation Home and e-commerce. Jack is involved in all aspects of digital platform strategy including business strategy, marketing, customer experience, product planning, integration of 1st and 3rd party games, pricing, communications, media, PR, distribution and promotions. Previously, Jack served as Director of Worldwide Technology Evangelism at Dolby Laboratories. At Dolby, he drove the adoption of new audio and video technology by developing new business segments for both Games and Internet entertainment.",y,"Jack Buser has over 15 years of product marketing and business development experience, and acts as the business unit general manager for digital platforms. He'll share the challenges in bringing the console experience to mobile devices.",,,,
y,y,y,y,m,,Stephen,Bye,CTO,Sprint,"CTO, Sprint",,,speaker,y,"Stephen Bye, CTO and vice president of Technology Development & Strategy, is responsible for driving Sprint’s technology strategy, architecture and global standards; innovation center and labs; emerging business and service model development. Bye has more than 20 years of engineering, operations, product development, business planning and marketing experience with telecom, cable and wireless service providers. Prior to joining Sprint, Bye was vice president of Wireless at Cox Communications. He has also held executive positions with AT&T, inCode Wireless, BellSouth International, Optus Communications and Telstra.",y,"Stephen Bye is responsible for driving Sprint’s technology strategy, architecture and global standards; innovation center and labs; emerging business and service model development. He'll talk about Sprint's 4G vision.",,,,
y,y,y,y,m,,David,Card,VP Research,GigaOM Pro,"VP Research, GigaOM Pro",,,speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,,,@davidcard,http://www.linkedin.com/profile/view?id=2831692
