FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Facebook,P Twitter,P LinkedIn,,,,,,
y,y,y,y,m,Chris,Albrecht,Creative Director,GigaOM,"Creative Director, GigaOM",,,speaker,y,"Chris Albrecht is Creative Director of GigaOM, tasked with creating and developing new, monetizable products for the company. He's been with GigaOM for more than three years and has served as a writer and Co-Editor for NewTeeVee, and building GigaOM TV, the company's online video efforts. Prior to joining GigaOM, Chris was Director of Programming for Atom.com, an online brand of Comedy Central. He holds a Masters in Digital Media from the University of Washington. ",,,,,,,,,,,,
y,y,y,y,m,Brad,Anderson,"Corporate VP, Cloud and Enterprise",Microsoft,"Corporate VP, Cloud and Enterprise, Microsoft",,,speaker,y,"Brad Anderson is a corporate vice president in Microsoft’s Cloud and Enterprise division, leading program management for products including Windows Server, System Center and Windows Intune. He and his team focus on solutions to help customers increase agility, protect corporate assets and boost employee productivity with cloud and device management technologies. Prior to Microsoft, Anderson spent 12 years at Novell.",,,,,@InTheCloudMSFT,http://www.linkedin.com/pub/brad-anderson/2a/b70/26a,,,,,,
y,y,y,y,m,Aunkur,Arya,GM Mobile,Braintree,"GM Mobile, Braintree",,,speaker,y,"Aunkur Arya came to Braintree from Google, where he was Head of VAS Partnerships for Google Wallet. Prior to Google he was part of the core business team and led Mobile app business development efforts at AdMob, a leading mobile advertising network for developers that was acquired by Google in 2010 and became Google’s primary mobile ad platform. As Braintree's GM of Mobile, he drives growth for Braintree’s mobile payment platform and leads mobile business development efforts by forming partnerships with key players in the mobile ecosystem.",,,,,"@aunkurarya      
",http://www.linkedin.com/in/aunkurarya/,,,,,,
y,y,y,y,f,Alicia,Asin,Co-Founder and CEO,Libelium,"Co-Founder and CEO, Libelium",,,speaker,y,"Alicia Asín is the CEO and co-founder of Libelium, the Zaragoza, Spain based wireless sensor hardware provider, creators of Waspmote, the modular, open source sensor platform for the Internet of Things. Alicia is a computer engineer focused on how IoT can change our world, starting with Smart Cities. She is a frequent speaker at international conferences on issues related to Smart Cities, wireless sensor networks and IoT. Alicia holds a master’s degree from the Polytechnic Center, University of Zaragoza, and is a graduate of the Cambridge Judge Business School and ESADE.",y,,,,@aliciaasin,www.linkedin.com/in/aliciaasin/,,,,,,
y,y,y,y,m,Micha,Benoliel,Co-Founder and CEO,Open Garden,"Co-Founder and CEO, Open Garden",,,speaker,y,"Micha Benoliel  is a passionate entrepreneur whose interest in technology began at age 8, when he taught himself how to code on a Zenith PC that his father was using for accounting. Among the several telecommunications services he launched in the last 10 years, he worked with Skype, negotiating the deals with European telcos that provided the basis for Skype In and Skype Out. In 2011, he co-founded Open Garden Inc, a San Francisco based start-up, dedicated to bringing internet to every device by sharing and crowd-sourcing connectivity. Open Garden technology seamlessly interconnects nearby smartphones, computers, and tablets to form a mesh network. The benefits are a faster internet access, stronger coverage and free mobile broadband.",,,,https://www.facebook.com/micha.benoliel,@anthenor,http://www.linkedin.com/in/michabenoliel,,,,,,
y,y,y,y,m,Andreas ,Bernstrom,CEO,Rebtel,"CEO, Rebtel",1,,speaker,y,"Andreas is the CEO of Rebtel. He also holds the position of Industrial Advisor at EQT Partners. Andreas started his career at Goldman Sachs, after 3 years he moved to TradeDoubler UK to become MD, between 2002-2007 he grew revenues from $4m-110m. In 2007, Andreas was promoted to COO, leading 600+ employees generating $500 million in revenues operating in 19 territories. He is a well-established speaker and has spoken at Rutberg, Mobilize, Mobilebeat, Noah, and MWC among others. Andreas is also a regular writer for Huffington Post, Venture Beat, Tech crunch and others.",y,,,,@AndreasCB    ,http://www.linkedin.com/in/andreasbernstrom,,,,,,
,y,,y,m,Steve,Bowsher ,EVP,In-Q-Tel,"EVP, In-Q-Tel",,,speaker,y,"Steve Bowsher serves as Executive Vice President at In-Q-Tel, leading In-Q-Tel's strategic investment strategy. Mr. Bowsher joined In-Q-Tel from InterWest Partners. While at InterWest, he served as General Partner, concentrating on the Enterprise software and Internet sector, and led and managed 13 investments in those sectors. Previously, Mr. Bowsher worked at E*TRADE, managing its value-added products and services. During his tenure at E*TRADE, he helped launch Destination E*TRADE, the company's award-winning Web site. Mr. Bowsher was also an early stage employee at two start-up companies, where he was responsible for revenue and distribution targets. Mr. Bowsher has been a frequent speaker at industry-leading conferences such as the Wharton Technology Conference, IBF's Early Stage Investing Conference, Internet World Annual Conference, and Dow Jones Private Equity Summit, and has been frequently quoted as a subject matter expert in national publications including the Wall Street Journal, Newsweek, and Fortune magazine. Mr. Bowsher graduated magna cum laude from Harvard and received his MBA from Stanford.",,,,,,http://www.linkedin.com/profile/view?id=92062371&authType=NAME_SEARCH&authToken=8Ddl&locale=en_US&srchid=27084211380564619573&srchindex=1&srchtotal=12&trk=vsrp_people_res_photo&trkInfo=VSRPsearchId%3A27084211380564619573%2CVSRPtargetId%3A92062371%2CVSRPcmpt%3Aprimary,,,,,,
y,y,y,y,m,Hans Peter,Brondmo,"VP, Head of New Product Innovation
","HERE, a Nokia business","VP, Head of New Product Innovation, HERE, a Nokia business",,,speaker,y,"Hans Peter is a high-tech executive and successful serial entrepreneur who has spent his career at the intersection of technology innovation and empowering consumers. He has invented several novel software applications and built businesses around them. Hans Peter is currently head of new product innovation in Nokia's HERE business unit where he leads the incubation of new imaging and location based hardware products, mobile apps and cloud service.",,,,,,,,,,,,
y,y,y,y,m,David,Card,VP Research,GigaOM Research,"VP Research, GigaOM Research",,,speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,,,@davidcard,http://www.linkedin.com/profile/view?id=2831692,,,,,,
y,y,y,y,m,Rob,Chandhok,"SVP, Qualcomm Technologies and President",Qualcomm Interactive Platform,"SVP, Qualcomm Technologies and President, Qualcomm Interactive Platform",,,speaker,y,"Rob Chandhok is president of Qualcomm Internet Services and senior vice president of Qualcomm Technologies, Inc. (QTI). Chandhok is responsible for aligning QTI’s hardware, software and services initiatives by driving the innovation and development strategies of QTI’s mobile software technologies. Chandhok also serves as president of Qualcomm Innovation Center, Inc., a wholly owned subsidiary of QTI focused on mobile open source contributions. In this role, Chandhok drives the strategies and development for enabling and optimizing open source software with QTI technology, and for relationships with the broader open source community. Chandhok holds 22 patents in software technologies and holds a Bachelor of Science degree in electrical engineering from Carnegie Mellon University.",,,,https://www.facebook.com/qualcomm, @robchandhok,http://www.linkedin.com/in/rchandhok,,,,,,
