l,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,y,y,y,m,Dan ,Arkind,Founder and CEO,JobScore,"Founder and CEO, JobScore",,,speaker,y,"Dan Arkind is the co-founder and CEO of JobScore, a freemium online hiring solution used by 450+ employers.  Dan is a 15 year veteran of the tech startup talent wars and spent the first part of his career recruiting for the firm that built and spun off Hotjobs.com.   He's also co-founded a silicon valley based entrepreneur networking group.  Dan hails from Brazil and when he's not starting stuff, he enjoys designing / building wood furniture. He owns a piece of paper from Wesleyan University that confirms he can read and write.",
y,y,y,y,m,Tony,Bacigalupo,Mayor,New Work City,"Mayor, New Work City",,,speaker,y,"Tony Bacigalupo is cofounder and Mayor of New Work City, a coworking space and center for independents in Manhattan. He co-authored ""I'm Outta Here: How coworking is making the office obsolete"" and has been featured on the cover of October 2010's Inc Magazine. Bacigalupo has moderated and spoken on several panels about the future of work, including at SXSW 2009 and 2011, MakerFaire, NY Tech Meetup, and Influencer10. His latest project, NWCU, is a people-powered educational program for current and aspiring independents.",
y,y,y,y,f,Victoria,Barret,Associate Editor,Forbes,"Associate Editor, Forbes",,,,y,"I have been writing at Forbes for a little over a decade, starting in New York, and now working out of our San Francisco bureau. I've written large profiles of Microsoft, Oracle, and Salesforce.com. I also enjoy writing about Silicon Valley start ups disrupting things. My favorite stories aren't easily categorized (for example, one about prison ladies in Arizona selling you data storage by phone). I am also a weekly guest on the national television show, ""Forbes on Fox"".",
y,y,y,y,m,Marc,Benioff,CEO,salesforce.com,"Chairman and CEO, salesforce.com",3,,Speaker 2010,y,"Marc Benioff is the chairman and CEO of salesforce.com, which he co-founded in 1999. Under Benioff's direction, salesforce.com has grown from a groundbreaking idea into a publicly traded company that is the leader in enterprise cloud computing. Salesforce.com has received a Wall Street Journal Technology Innovation Award, been lauded as one of BusinessWeek’s Top 100 Most Innovative Companies, named No. 7 on The Wired 40, and selected for the past two years as a Top Ten Disrupter by Forbes. In 2000, Benioff launched the Salesforce.com Foundation—now a multimillion-dollar global organization. He has been twice honored with the Points of Light Foundation Award for Excellence in Corporate Community Service and was named Benioff as one of its Young Global Leaders by the World Economic Forum.",1264454960
y,y,y,y,m,Lukas,Biewald,CEO and Founder,CrowdFlower,"CEO and Founder, CrowdFlower",13,,speaker,y,"Lukas Biewald is the founder and CEO of CrowdFlower. Founded in 2007, CrowdFlower provides Labor-on-Demand to help companies outsource high-volume, repetitive tasks to a massively-distributed global workforce. Before founding CrowdFlower, Lukas was a senior scientist and manager within the Ranking and Management Team at Powerset, Inc., acquired by Microsoft in 2008.  He led the Search Relevance Team for Yahoo! Japan after graduating from Stanford University with a B.S. in Mathematics and an M.S. in Computer Science. Recently, Lukas won the Netexplorateur Award for GiveWork – a collaboration with Samasource that brings digital work to refugees worldwide.  Lukas is also an expert level Go player.",
y,y,y,y,m,Jeff,Bonforte,CEO,Xobni,"CEO, Xobni",,,speaker,y,"Jeff Bonforte is the CEO of Xobni. He’s worked in email, voice and messaging for more than 10 years. Prior to joining Xobni in 2008, Bonforte was VP of Social Search at Yahoo!, where he ran Yahoo! Answers and Delicious. Jeff also ran Yahoo! Messenger and oversaw its move from #2 to #1 IM client in the US. Before Yahoo!, Jeff was President and Founder of Gizmo5, an innovator in VoIP that was purchased by Google in 2008. In 1997 Jeff founded and was the CEO of i-drive, the largest online storage tool of the time, with over 10mm monthly unique visitors. Jeff earned his BA in Classical Civilizations He lives in San Francisco with his wife, son and dog.",
y,y,y,y,m,Stowe,Boyd,Researcher,www.stoweboyd.com,"Researcher, www.stoweboyd.com",,,speaker,y,"I’ve built an international reputation based on fooling around with social tools, and investigating their impact on media, business, and society. I work as an analyst, advisor, futurist, and researcher, and I am principally known these days for my writing at this blog, formerly known as /Message, now simply Stowe Boyd (www.stoweboyd.com). I am the author of Streams In Business, a 2010 research report on microstreaming applications in the business context, and at work on a book of essays provisionally entitled The Social Revolution.",
y,y,y,y,m,Brett ,Caine ,President,Citrix Online,"President, Citrix Online",,,speaker,y,"As President of Citrix Online, Brett Caine is responsible for overall revenue and shaping worldwide market strategy for Citrix’s expanding line of software-as-a-service solutions.  His vision for delivering simpler, better ways to help businesses to connect and collaborate online has resulted in record performance. Under Caine’s stewardship, Citrix Online grew revenues to more than $300 million for the fiscal year ended December 31, 2009, from $35 million in 2003.  Citrix Online is a division of Citrix Systems, Inc. (Nasdaq:CTXS). Prior to joining Citrix Online in 2003, Caine was vice president of worldwide territory sales and vice president of worldwide indirect sales at Openwave Systems, where he led a global team of sales professionals selling to the Communications Service Provider market.",
y,y,y,y,f,Sharon,Chiarella,"VP, Amazon Mechanical Turk",Amazon,"VP, Amazon Mechanical Turk, Amazon",,,speaker,y,"Sharon Chiarella is Vice President of Amazon Mechanical Turk, an online marketplace for outsourcing work.  Sharon has over 20 years of experience developing and managing innovative high-technology products and businesses. Prior to joining Amazon, Sharon was Vice President of Product Management and Business Development at Presto Services, a Kleiner Perkins funded startup. Sharon has held leadership positions at Yahoo!, Microsoft and Kodak.  She developed the business plan, prototypes and early partnerships for Yahoo!’s connected device business; ran Microsoft’s WebTV and MSN dial-up businesses; led Product Management for Microsoft’s first DVR product (UltimateTV) and created the business plan, developed and launched Kodak’s online photo business.    ",
y,y,y,y,f,Debra,Chrapaty,"SVP and GM, Collaboration Software Group",Cisco,"SVP and GM, Collaboration Software Group, Cisco",5,,speaker,y,"Debra Chrapaty is Senior Vice President and General Manager of the Collaboration Software Group. She is responsible for building and improving the Cisco WebEx product portfolio. Prior to Cisco, Chrapaty was the corporate vice president of Global Foundation Services at Microsoft, where she was responsible for strategy and delivery of the foundational platform for Microsoft Live, Cloud and Online Services worldwide including physical infrastructure, security, operational management, global delivery and environmental considerations. She was previously senior vice president of technology for the Internet marketing company Organic Inc., as well as COO for AllBusiness Inc. She also spent three years as president and COO of E*TRADE Technologies. Chrapaty holds a bachelor's degree in economics from Temple University and MBA from New York University.",
