Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/network/sponsors/media-partners/
yes,yes,aberdeen,Aberdeen Group,1,,mediapartner,http://www.aberdeen.com/,"**Aberdeen Group** - For more than two decades, Aberdeen's research has been helping corporations worldwide become Best-in-Class. Having benchmarked the performance of more than 644,000 companies, Aberdeen's research is relied on by more than 2.5 million readers in over 40 countries, 90% of the Fortune 1,000, and 93% of the Technology 500.",
yes,yes,accenture,Accenture,,,primetime,http://www.accenture.com/,,
yes,yes,anybots,Anybots,,,showtime,http://www.anybots.com,,
yes,yes,boogarlists,BoogarLists,2,,mediapartner,http://www.boogar.com/,"**BoogarLists**-With a qualified directory of more than 2,000 Venture Capital and Mid-Market/LBO private equity firms, BoogarLists is an excellent place for entrepreneurs to begin their search for investment capital. Whether starting a new company or striving to take an early stage company to the next level, CEO’s and CFO’s will invariably want to seek out new sources of capital or other financial services.",
yes,yes,box,Box.net,,,showtime,http://www.box.net,,
yes,yes,centraldesktop,Central Desktop,,,showtime,http://www.centraldesktop.com,,
yes,yes,citrixonline,Citrix Online,,,showtime,http://www.citrixonline.com,,
yes,yes,cohuman,Cohuman,,,showtime,http://www.cohuman.com,,
yes,yes,crowdflower,CrowdFlower,3,,mediapartner,http://www.crowdflower.com,"Founded in 2007, **CrowdFlower** (http://crowdflower.com) provides Labor-on-Demand to help companies route high-volume, repetitive tasks to a massively distributed global workforce. CrowdFlower uses statistically backed, quality-controlled crowdsourcing technology to produce a scalable and reliable workforce that can dispatch a diverse array of tasks and provide near-real time answers from workers in the cloud. In addition to custom services and web tools, CrowdFlower offers an API that businesses can connect to and automate their processes, cutting out the time-consuming day-to-day management.",
yes,yes,crowdsortium,Crowdsortium,4,,mediapartner,http://www.crowdsortium.org,"The **Crowdsortium** is a group of crowdsourcing practitioners who organized to advance the crowdsourcing industry through best practices, education, data collection and public dialog.  As the crowdsourcing industry evolves so do the problems.  The Crowdsortium is designed to use the very mechanism the industry is built upon – crowdsourcing – to solve these problems.",
yes,yes,egnyte,Egnyte,,,showtime,http://www.egnyte.com/,,
yes,yes,elance,Elance,,,showtime,http://www.elance.com,,
yes,yes,executivecouncil,Executive Council,5,,mediapartner,http://www.execcouncil.org/,"**The Executive Council** is a global community of cutting-edge senior executives, leaders, thinkers, and doers from many different disciplines across industries, who come together to explore the challenging issues impacting our businesses and our world economy. The membership explores best business practices, new technologies and the forces of change shaping our future.",
yes,yes,huddle,Huddle,,,showtime,http://www.huddle.net/,,
yes,yes,intuitm,Intuit,,,showtime,http://www.intuit.com,,
yes,yes,ipass,iPass,,,showtime,http://www.ipass.com,,
yes,yes,kornferry,Korn Ferry International,1,,primetime,http://www.kornferry.com/,,
yes,yes,liveops,LiveOps,,,showtime,http://www.liveops.com,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,mavenlink,Mavenlink,,,showtime,http://www.mavenlink.com,,
yes,yes,moxiesoftware,Moxie Software,,,showtime,http://www.moxiesoft.com,,
yes,yes,odesk,oDesk,,,showtime,http://www.odesk.com/,,
yes,yes,oxygencloud,Oxygen Cloud,,,showtime,http://www.oxygencloud.com,,
yes,yes,parisoma,pariSoma,6,,mediapartner,http://www.pariSoma.com,"**The pariSoma Innovation Loft** is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,plantronics,Plantronics,,,primetime,http://www.plantronics.com,,
yes,yes,sococo,Sococo,,,showtime,https://www.sococo.com,,
yes,yes,startupdigest,StartupDigest,7,,mediapartner,http://thestartupdigest.com,"**StartupDigest** is the best way to find out and stay informed about the best startup events in your favorite cities. Join over 65,000 subscribers at http://thestartupdigest.com.",
yes,yes,techcentralsf,TechCentralSF,8,,mediapartner,http://www.techcentralsf.com/,"**TechCentralSF** - San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",
yes,yes,tie,TiE,9,,mediapartner,http://www.tiesv.org/,"**TiE** is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,trada,Trada,,,showtime,http://www.trada.com,,
yes,yes,utest,uTest,,,showtime,http://www.utest.com,,
yes,yes,vctaskforce,VC Taskforce,10,,mediapartner,http://www.vctaskforce.com/,"**VC Taskforce** is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,venturebeat,VentureBeat,11,,mediapartner,http://venturebeat.com/,"**VentureBeat** is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat. For more information, visit www.venturebeat.com",
yes,yes,vidyo,Vidyo,,,showtime,http://www.vidyo.com,,
yes,yes,vlab,VLAB,12,,mediapartner,http://www.vlab.org/,"**MIT/Stanford Venture Lab (VLAB)** is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
