Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
7:30 AM,Registration and Breakfast,,,,,,,,
8:30 AM,Opening Remarks,,,,,,Chris Albrecht,Creative Director,GigaOM
,,,,,,,Mathew Ingram,Senior Writer,GigaOM
,,,,,,,Nicole Solis,Managing Editor,GigaOM
8:40 AM,Business in the Mobile Moment,,"SAP, like all companies, must stay ahead of potentially disruptive technologies to remain at the top of its market. The internal Global IT organization has a strong focus on innovation, and is on the leading edge of many game-changing business and technology trends. SAP has embraced working in the 'mobile moment' internally and has enabled its employees to conduct business outside of the office with consistent, critical business data at their fingertips and flexible work policies. In this talk learn about what key things SAP learned about harnessing mobility and broadband to make it work at work.",,,,Chris McClain,EVP Global Mobility Solutions ,SAP
8:50 AM,Technology for Today,,"Times have changed. Businesses are increasingly growing more global, collaborative and mobile. Can today’s companies survive running yesterday's technology? Not for long. As Albert Einstein once said, “The significant problems we face cannot be solved at the same level of thinking we were at when we created them.” In this talk Aneel outlines how we can deal with the challenges of enterprise software’s past and how to combat problems for today's modern business.",,,,Aneel Bhusri,Co-Founder and Co-CEO,Workday
9:00 AM,Social Tools: Finally a Match for Complex Workflows,,"Social tools are being deployed in greater numbers across the enterprise. Exciting patterns are emerging that demonstrate the effectiveness of these tools in supporting complex workflows that traditional IT systems and collaboration tools have had trouble supporting. In this talk, we bring together vendors and customers to talk about their successes in supporting complex workflows with social tools.",David Coleman,"Founder and Managing Director, Collaborative Strategies and ","Analyst, GigaOM Pro",Rhonda Lowry,"VP, Emerging Social Web Technologies",Turner Broadcasting
,,,,,,,Dennis O'Malley,VP of Services,Moxie Software
9:20 AM,16 Million and Growing: The Wave of Independence Swells Into a New World of Work,,"The genie is out of the bottle and not going back in. By 2013, it's expected that the number of independent workers in America will grow from 16 million to over 20 million, and 7 in 10 American workers will be “expert sourced.” Hear the results of a landmark national study that provides first-of-its-kind quantitative data about independent work and offers deeper insights into the pioneers driving this new way to work. We'll examine the hidden and not-so-hidden challenges and opportunities that face workers and organizations in this bold new future of work and offer a glimpse of what the American workscape may look like in 2020.",,,,Gene Zaino,President and CEO,MBO Partners
9:30 AM,Secrets of the Linked,,"LinkedIn has been described as the “social network for professionals.” It encompasses 116 million people globally who use the system to connect and communicate. But what do they really do with it? What use cases are there for a “professional social network?” Where is social connectivity important for the way we work today? In this session, we'll hear new insights from LinkedIn’s observations on the opportunities for human networks collaborating on computer networks.",Mathew Ingram,Senior Writer,GigaOM,Deep Nishar,"SVP, Products and User Experience",LinkedIn
9:50 AM,Remote Over-Workers: Stressed and Alone,,"For those who have never worked from home, the idea sounds ideal. Wi-Fi, slippers and sitting on the couch are images conjured in their minds. The reality, however, is far from those blissful images. Are we, in fact, doing ourselves and future generations of workers a disservice by even allowing remote working? In this session, we'll hear the concerning results from a study conducted by academics at Sheffield University and supported by mobility enabler iPass. The study and its results will be revealed for the first time in public at this session.",Nicole Solis,Managing Editor,GigaOM,Dr. Carolyn Axtell,Institute of Work Psychology,The University of Sheffield
,,,,,,,Barbara Nelson,CTO,iPass
10:10 AM,The New Workplace: The Office has Left the Building,,"A rise in remote and online work tools has triggered an tremendous shift in how we work. For both startups and established businesses, competition for talent is fierce, and the landscape of technology offers hiring options that extend far beyond the traditional 9-to-5 relationship. In this presentation, Gary Swart, CEO of oDesk, will share the vision and the reality of developing flexible and strategic work relationships outside the walls of the traditional workplace.",,,,Gary Swart,CEO,oDesk
10:20 AM,PowerPoint Poisons Meetings: The Tablet as Antidote,,"PowerPoint ushered in a new era of visual presentation where data, images and video could be combined into a story by anyone who could use a PC. It also ushered in mind-numbing, one-way, top-down meetings that are often a sad reflection of modern corporate culture. The tablet, the fastest growing computing device in history, is knocking down doors at corporations everywhere, bringing with it the opportunity to change corporate culture again. This session will cover how the future of meetings and office collaboration will be shaped by an always-on, connected mobile device built for content.",,,,Todd Barr,CMO,Alfresco
10:30 AM,The Leaders You Want vs. The Leaders You Need: Insights from Mining 20 Years of Data,,"Do you know what makes great leadership?  Are you building it into your organization?  Based on 20 years of research, across hundreds of companies and thousands of executives, clear patterns have emerged around the skills and priorities that companies seek in their leaders vs. what they really need.  With a commitment to a scientific process, Korn/Ferry identified the characteristics of the the most successful business people - across the creative, management, operational and entrepreneurial disciplines, across geographies and levels – to distill the attributes that have been resulted in the most success.  How do you think you might measure up?",,,,Allen Delattre,"Global Managing Director, Technology",Korn/Ferry International
10:40 AM,BREAK,,(Optional Sponsored Workshops - Located on Level 2),,,,,,
,Alfresco Sponsor Workshop - Room 1,"Tablets, Content and Your Workforce: Making It All Sync (with special guest Quickoffice)",Tablets are amazing content devices and knowledge workers are fast adopters.  But integrating tablets and corporate content is proving to be a challenge for organizations.  How can companies keep some control of their content... and their IP?  What new use cases are possible?  This session is about enabling tablets for both knowledge workers and the organization.,,,,Todd Barr,CMO,Alfresco
,,,,,,,Alan Masarek,CEO,Quickoffice
,Korn/Ferry International Sponsor Workshop - Room 2,Maximizing Employee Engagement – Making it Easy,Korn/Ferry Futurestep has developed an app to do just that!  Each employee will have the ability to track and engage in their career development in an easy to use and interactive manner. Join us to learn more.,,,,Sean Kent,Global Technology Leader,Futurestep
,,,,,,,Jeanne MacDonald,"VP and GM, RPO and Project Recruitment ",Futurestep
,Gist Sponsor Workshop - Room 3,10 Secrets of a Super-Connector and How to Use Them for Max Success,"Being a super-connector is more than just knowing a lot of people. It’s about creating, nurturing and connecting your network of contacts. In this session, learn the tools and techniques super-connectors use for success.",,,,T.A. McCann,VP of Gist,Research in Motion
