Info Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,P Facebook,P Twitter,P LinkedIn,timestamp
y,y,y,y,m,Tommy,Ahlers,CEO,Podio,"CEO, Podio",,,speaker,y,"Tommy Ahlers is a Danish serial entrepreneur and CEO of the Danish software startup, Podio, which Tommy is the leading Podio, the social work platform that let people build their own apps to manage any process or project the way they want to. With a bold vision to deliver a real platform, Podio has seen rapid growth since they launched in March 2011. Tommy is a serial entrepreneur and most recently sold his company ZYB to Vodafone.",http://www.facebook.com/newblack,@aahlers,,
y,y,y,n,m,Chris,Albrecht,Creative Director,GigaOM,"Creative Director, GigaOM",,,speaker,y,"Chris Albrecht is Creative Director of GigaOM, tasked with creating and developing new, monetizable products for the company. He's been with GigaOM for more than three years and has served as a writer and Co-Editor for NewTeeVee, and building GigaOM TV, the company's online video efforts. Prior to joining GigaOM, Chris was Director of Programming for Atom.com, an online brand of Comedy Central. He holds a Masters in Digital Media from the University of Washington. ",,,,
y,y,y,y,f,Carolyn ,Axtell,Institute of Work Psychology,The University of Sheffield,"Institute of Work Psychology, The University of Sheffield",,,speaker,y,"Dr Carolyn Axtell is the author of upcoming research to be presented at Net:Work this year on the well-being of the mobile workforce. Dr Axtell is an expert on virtual and remote working along with the organization of work and job designs at the University of Sheffield’s Institute of Work Psychology. The institute is a world leader in understanding the way people drive organizational effectiveness and is dedicated to conducting applied research in work settings, in both the public and private sectors. Dr Axtell is a Chartered Occupational Psychologist and a member of the British Psychological Society.",,,http://uk.linkedin.com/pub/carolyn-axtell/40/584/453,
y,y,y,y,m,Don,Ball,Co-Founder,CoCo coworking and collaborative space ,"Co-Founder, CoCo coworking and collaborative space ",,,speaker,y," Don Ball is a social instigator and social entrepreneur. After nearly 20 years as a copywriter and usability consultant, Don founded UnSummit, a conference that explores the nexus of social media, business and community. In 2009, he helped launch CoCo, a coworking and collaborative space with over 200 members and locations in Minneapolis and St. Paul. ",http://www.facebook.com/CoCo.MSP,@cocomsp,http://www.linkedin.com/in/donmball,
y,y,y,y,m,Todd,Barr,CMO,Alfresco,"CMO, Alfresco",5,,speaker,y,"Todd brings 15 years of experience working in the enterprise software and commercial open source technology industries to Alfresco. Most recently, Todd served as VP of marketing at Bandwidth.com, where he led the launch of Phonebooth Free – the first totally free hosted phone system for small businesses. Previously, Todd served as VP of Business Development at Five Runs, an Austin, TX based startup in the Ruby-on-Rails space. Todd also spent six years at Red Hat, where he built the software vendor certification program for Red Hat Enterprise Linux and oversaw global go-to-market campaigns. Todd holds a Bachelor’s degree in Radio, TV & Film and a Master’s degree in Business Administration from UNC Chapel Hill.",,@tbarr,http://www.linkedin.com/in/tbarr,
,y,,y,m,Luke,Beatty,VP and GM,Yahoo!,,,,,,,,,,
y,y,y,y,m,Aneel,Bhusri,Co-Founder and Co-CEO,Workday,"Co-Founder and Co-CEO, Workday",,,speaker,y,"Aneel Bhusri is Workday's co-founder and co-CEO, and is responsible for overall strategy and day-to-day operations. From 1999 to 2004, Aneel served as vice chairman of the board at PeopleSoft. From 1993 to 1999, Aneel held a number of senior leadership positions at PeopleSoft, including senior vice president responsible for product strategy, business development, and marketing. Aneel holds a Master of Business Administration degree from Stanford University and a Bachelor of Arts and Science degree in electrical engineering and economics from Brown University.",,@aneelb,,
y,y,y,y,m,Trevor,Blackwell,Founder and CEO,Anybots,"Founder and CEO, Anybots",,,speaker,y,"Blackwell was a principal in Viaweb, a startup that created the first point-and-click Internet storefront system. The product became Yahoo! Store when Viaweb was acquired by Yahoo! in 1998. He is a founding partner in Y Combinator, a new kind of venture firm specializing in early stage startups. Blackwell received a Ph.D. in 1998 from Harvard University, where he worked on randomized network protocols, randomized compiler optimizations, and other random things. He has published in the proceedings of ACM SIGCOMM, IEEE Infocom, and USENIX. He has also published some widely read technical articles on his personal website.",,,,
y,y,y,y,m,Stowe,Boyd,"Researcher, www.stoweboyd.com and Analyst",GigaOM Pro,"Researcher, www.stoweboyd.com and Analyst, GigaOM Pro",,,speaker,y,"Stowe is an internationally recognized authority on social tools and their impact on media, business, and society. He is best known for his commentary on the social revolution, the rise of social tools, and the new world ahead of us at www.stoweboyd.com, reviews of work media applications at workmedia.ly, and his public speaking. Stowe is at work on a new book about the rise of a socially augmented world, called ‘A Liquid, Not A Solid; A City, Not A Machine’.
",http://www.facebook.com/stoweboyd,@stoweboyd,,
y,y,y,y,m,Bernd,Christiansen,CTO,Citrix Online Services Division,"CTO, Citrix Online Services Division",,,speaker,y,"Dr. Bernd Christiansen shapes and directs the Citrix Online Services division technology vision and strategy, and as part of the Citrix CTO Office, leads the company’s research into new products and technologies. Bernd was a co-founder of Expertcity, Inc., the organization that became Online Services division after its 2004 acquisition. Bernd is a key architect of the technology powering the award-winning “GoTo” services and has been granted numerous patents for its technology. Also, Bernd is involved with strategic acquisitions. Previously, he worked on industrial projects for Deutsche Aerospace, Daimler Benz Aerospace and GMD. He holds a PhD in computer science from the University of California, Santa Barbara, and has been awarded a prestigious fellowship from the German Academic Exchange Service.",,,,
y,y,y,y,m,David,Coleman,"Founder and Managing Director, Collaborative Strategies and Analyst",GigaOM Pro,"Founder and Managing Director, Collaborative Strategies and Analyst, GigaOM Pro",,,speaker,y,"David Coleman has been studying collaboration for over 20 years and has written 4 books on the topic (2 more in process). He works with successful collaboration vendors who are frustrated and are feeling a lot of pressure from competition and providing results to their investors. He also works with end-user organizations spending $millions on collaboration technologies, yet these tools are not meeting their needs. He is currently offering those that sign up for his newsletter (Profitable Collaboration) a white paper on the 10 biggest mistakes collaboration vendors make. Or the 10 traps most organizations fall into when implementing collaboration. David writes for GigaOM Pro and many other publications. His blogs at www.collaborate.com and can be contacted at davidc@collaborate.com",http://www.facebook.com/pages/Collaborative-Strategies/153151148070068,@dcoleman100,http://www.linkedin.com/profile/view?id=4552&trk=tab_pro,
y,y,y,y,m,Tom,Conophy,EVP and CIO,InterContinental Hotels Group,"EVP and CIO, InterContinental Hotels Group",,,speaker,y,"Tom is Chief Information Officer for IHG, the world's largest hotel company by number of rooms. IHG has seven hotel brands providing around 160 million guest stays per year and more than 620,000 guestrooms in more than 4,800 hotels across nearly 100 countries worldwide. IHG's loyalty scheme, Priority Club Rewards, is the largest of its kind in the hotel industry, with over 58 million members across the world currently. A member of the Global Executive Committee that runs the business, Tom drives the technology agenda for IHG. Tom has overall responsibility for technology developed and applied across all hotels and corporate offices across the world and manages a global staff of more than 1,100.",,,www.linkedin.com/profile/view?id=17449679&locale=en_US&trk=tyah,
