Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
7:30 AM,Registration and Continental Breakfast,,,,,,,,,
8:15 AM,Opening Remarks,,,,,,Liz Gannes,NewTeeVee Editor,GigaOM,
,,,,,,,Om Malik,GigaOM Founder and Editor-in-Chief,GigaOM,
8:30 AM,FEATURED CONVERSATION,,MTV Networks,Om Malik,,GigaOM,Mika Salmi,,MTV Networks,
8:45 AM,KEYNOTE,,AT & T,,,,Ralph de la Vega,,AT & T,
9:30 AM,CROSSOVER HITS,,Web video meets TV,Gregg Spiridellis,,JibJab,Douglas Cheney,,Big Fantastic,
,,,,,,,Kevin Cohen,,Turner Broadcasting System,
,,,,,,,Lisa Donovan,,Lisa Nova,
,,,,,,,Ty Ahmad-Taylor,,MTV,
,,,,,,,Gary Wang,,Tudou.com,
10:15 AM,IS THERE MONEY IN LONG TAIL VIDEO?,,Advertising tries to wrap its mind around web video,Jeremy Liew,,Lightspeed Venture Partners,Eric Hadley,,Heavy.com,
,,,,,,,Jayant Kadambi,,YuMe,
,,,,,,,Tod Sacerdoti,,BrightRoll,
,,,,,,,Matt Sanchez,,VideoEgg,
,,,,,,,Matt Wasserlauf,,Broadband Enterprises,
10:55 AM,LAUNCH ANNOUNCEMENT,,,,,,Stay tuned!,,,
11:00 AM,BREAK,,,,,,Check out the Exhibitors and Sponsors,,,
,CONTENT BREAK OPTION,,Workshop: Financing Workshop for the New Media Entrepreneurs,,,,Samuel Angus,,Fenwick & West,
11:30 AM,CASH FOR CONTENT?,,Online video funders from top VC firms sound off,Michael Copeland,,Fortune,Tim Haley,,Redpoint Ventures,
,,,,,,,Mike Hirshland,,Polaris Venture Partners,
,,,,,,,Dennis Miller,,Spark Capital,
,,,,,,,George Zachary,,Charles River Ventures,
12:15 PM,SEARCH AND DISCOVERY FACE OFF,,"Finding what you're looking for, or what you aren't",Liz Gannes,,NewTeeVee,Garrett Camp,,StumbleUpon,
,,,,,,,Mary Hodder,,Dabble,
,,,,,,,Adam Singolda,,Taboola,
,,,,,,,Tim Tuttle,,Truveo,
,,,,,,,Alex Vikati,,CastTV,
12:55 PM,LAUNCH ANNOUNCEMENT,,,,,,Stay tuned!,,,
,CONTENT LUNCH OPTION,,Peer-to-peer networking lunch,Janko Roettgers,,NewTeeVee,Gilles BianRosa,,Azureus,
,,,,,,,Gaurav Dhillon,,Jaman,
,,,,,,,Ashwin Navin,,BitTorrent,
2:00 PM,MINI-NOTE,,Microsoft,,,,Dan'l Lewin,,Microsoft,
2:30 PM,THE NETWORK MAKEOVER,,The real power behind the web video,Om Malik,,GigaOM,Mike Afergan,,Akamai,
,,,,,,,Tony Bates,,Cisco,
,,,,,,,Jeff Harris,,Verizon,
,,,,,,,Hilmi Ozguc,,Maven Networks,
,,,,,,,Grant van Rooyen,,Level 3,
3:15 PM,FEATURED CONVERSATION,,YouTube,Om Malik,,GigaOM,Steve Chan,,YouTube,
,,,,Liz Gannes,,NewTeeVee,,,,
3:40 PM,LAUNCH ANNOUNCEMENT,,,,,,Stay tuned!,,,
3:45 PM,THE NEW STUDIOS AND TALENT AGENCIES FACE OFF,,What can content startups offer independent creators?,Kent Nicols,,Ask a Ninja,Josh Felser,,Crackle,
,,,,,,,Jim Louderback,,Revision3,
,,,,,,,Dina Kaplan,,blip.tv,
,,,,,,,Herb Scannell,,Next New Networks,
,,,,,,,Michael Wayne,,DECA,
4:30 AM,BREAK,,,,,,Check out the Exhibitors and Sponsors,,,
4:50 PM,KEYNOTE,,CBS Interactive,,,,Quncy Smith,President,CBS Interactive,
5:15 PM,NEW MEDIA PLATFORMS,,What's the future of media consumption?,Dana Settle,,Greycroft Partners,Gina Bianchini,,Ning,
,,,,,,,Jim Guerard,,Adobe,
,,,,,,,Fred McIntyre,,AOL,
,,,,,,,Paul Scanlan,,MobiTV,
,,,,,,,Henrik Werdelin,,Joost,
6:00 PM,FEATURED CONVERSATION,,MySpace,Liz Gannes,,NewTeeVee ,Amit Kapur,,MySpace,
6:15 PM,LAUNCH ANNOUNCEMENT,,,,,,Stay tuned!,,,
6:20 PM,CLOSING REMARKS,,,,,,Liz Gannes,,NewTeeVee,
,,,,,,,Om Malik,,GigaOM,
6:30 PM,NETWORKING RECEPTION,,"Enjoy cocktails, food, networking and entertainment.",,,,,,,
7:00 PM,WEB VIDEO CELEBRITY GAME SHOW,,,The Heather Gold,,Heather Gold Show,Robert Scoble,,ScobleShow,
,,,,,,,Kevin Rose,,Diggnation,
,,,,,,,Casey McKinnon,,Galacticast,
,,,,,,,Irina Slutsky,,Geek Entertainment TV,
,,,,,,,Justin Kan,,Justin.tv,
,,,,,,,Zadi Diaz,,JETSET,
,,,,,,,Lindsay Campbell,,Wallstrip,
,,,,,,,Hayden Black,,Goodnight Burbank,
,,,,,,,Veronica Belmont,,Mahalo Daily,
,,,,,,,Yuri Baranovsky,,Break a Leg,
