Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/greennet/sponsors/media-partners/
yes,yes,atas,Academy of Television Arts &amp; Sciences,,,mediapartner,http://www.emmys.tv,,
yes,yes,natpe,NATPE,,,mediapartner,http://www.natpemarket.com/,,
yes,yes,churchill,The Churchill Club,,,mediapartner,http://www.churchillclub.org,,
yes,yes,siia,Software &amp; Information Industry Association (SIIA),,,mediapartner,http://www.siia.net/codies/2009/,,
yes,yes,fierce_online_video,FierceOnlineVideo,,,mediapartner,http://www.FierceIPTV.com/,,
yes,yes,last100,last100,,,mediapartner,http://last100.com/,,
yes,yes,sdforum,SDForum,,,mediapartner,http://www.sdforum.org/,,
yes,yes,snap_summit,Snap Summit,,,mediapartner,http://www.snapsummit.com/,,
yes,yes,tbi,Television Business International (TBI),,,mediapartner,http://www.tbivision.com/,,
yes,yes,tie,TiE,,,mediapartner,http://www.tie.org/,,
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),,,mediapartner,http://www.vlab.org/,,
yes,yes,women2,Women 2.0,,,mediapartner,http://www.women2.org/,,
yes,yes,venturewire,The Dow Jones VentureWire Technology Showcase,,,mediapartner,http://showcase.dowjones.com/,,
yes,yes,videonuze,VideoNuze,,,mediapartner,http://www.videonuze.com/,,
yes,yes,wgaw,"The Writers Guild of America, West (WGAW)",,,mediapartner,http://wga.com/,,
