Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,Special Class,URL,Description,Media Partner URL
,,,,,,,,,,http://event.gigaom.com/greennet/sponsors/media-partners/
yes,yes,magnify,Magnify Communications,,,management,,http://www.magnifycom.com/,,
yes,yes,livestream,Livestream,,,streaming,,http://livestream.com/,,
yes,yes,akamai,Akamai,,,showtime,,http://www.akamai.com/,,
yes,yes,natpe,NATPE,,,mediapartner,,http://www.natpe.org/natpe/,"Celebrating over 40 years of service to the ever-evolving global television industry, **NATPE** continues to redefine itself and the services it provides to meet the needs of its members. Today‰Ûªs industry encompasses so much more today than ever before and NATPE implements our mission by providing members with education, networking, professional enhancement and technological guidance through year-round activities and events, timely directories. The organization also offers a full compliment of online services to its membership.",
yes,yes,rovi,Rovi,,,primetime,,http://www.rovicorp.com/,,
yes,yes,comcast,Comcast,,,headline,,http://comcast.com/,,
yes,yes,digitalsmiths,Digitalsmiths,,,showtime,,http://digitalsmiths.com/,,
yes,yes,last100,Last 100,,,mediapartner,,http://last100.com/,"Reporting from the trenches of convergence, **last100.com** provides news, reviews and analysis of products and trends relating to the digital lifestyle, including Internet TV, the Mobile Web and Digital Music. The site is edited by London-based journalist and consultant, Steve O'Hear.",
yes,yes,svase,SVASE,,,mediapartner,,http://www.svase.org/,"**The Silicon Valley Association of Startup Entrepreneurs (SVASE),** a non-profit membership association, dedicated exclusively to helping startup entrepreneur across all technologies sectors build robust business plans, and find Venture Capital investors to fund their growing startups. Our Mission is to Empower Entrepreneurs to succeed, through exposure to best practices, great people, and opportunities to grow.",
yes,yes,tubefilter,Tubefilter.TV,,,mediapartner,,http://www.tubefilter.tv/,"**Tubefilter** is The Web Television Company. The leading authority in the web television space, Tubefilter's News division exhaustively covers the industry, the creators, and the stars of this fast-paced, emerging entertainment market. Tubefilter also provides a variety of products and services, including Tubefilter Research and the Tubefilter Screening Room, aimed at growing both the market and audience for web television. Read more at: www.tubefilter.tv",
yes,yes,women20,Women 2.0,,,mediapartner,,http://www.women2.org/,"Women 2.0 is committed to increasing the number of women entrepreneurs starting high growth ventures by providing the resources, network, and knowledge for the launch and growth of their company. Our vision is to be a catalyst for change, mobilizing a global community of ambitious women entrepreneurs seeking to advance the world through technology. Women 2.0 is headquartered in San Francisco.",
yes,yes,tie,TiE,,,mediapartner,,http://www.tiesv.org/,"**TiE** is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE‰Ûªs focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute.",
yes,yes,vlab,MIT/Stanford Venture Lab  (VLAB),,,mediapartner,,http://www.vlab.org/,"**MIT/Stanford Venture Lab (VLAB)** is a non-profit organization dedicated to promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people.  We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges and market risks. Our forums provide an excellent opportunity to network and learn about pivotal business issues, emerging industries and the latest technologies.",
yes,yes,churchill,Churchill Club,,,mediapartner,,http://www.churchillclub.org,"**Churchill Club** is the valley‰Ûªs premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. ",
yes,yes,vator,Vator.TV,,,mediapartner,,http://vator.tv,,
yes,yes,cisco,Cisco,1,,primetime,,http://cisco.com/,,
yes,yes,venturebeat,VentureBeat,,,mediapartner,,http://venturebeat.com/,"**VentureBeat** is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat.",
yes,yes,level3,Level3 Communications,,,lanyard,,http://www.level3.com/,,
yes,yes,adobe,Adobe,,,primetime,,http://www.adobe.com/,,
yes,yes,adobe,Adobe,,,reception,,http://www.adobe.com/,,
yes,yes,emmys,Academy of Television Arts & Sciences,,,mediapartner,tall,http://www.emmys.org/,"**The Academy of Television Arts and Sciences,** founded in 1946 at the birth of the medium, is a non-profit organization devoted to the advancement of telecommunication arts, sciences and creative leadership. Known for recognizing outstanding programming through its Primetime Emmy Awards, the Television Academy also publishes Emmy magazine. Its charitable Foundation, meanwhile, operates the Archive of American Television. ",
yes,yes,mediafriends,MediaFriends,,,showtime,,http://mediafriendsinc.com/,,
yes,yes,beettv,Beet.TV,,,mediapartner,,http://beet.tv,"Launched in 2006, **Beet.TV**, breaks news and provides an informed perspective on the revolution in digital media.  It is widely recognized as the first business-oriented video blog.  Its videos are widely embedded by dozens of blogs and by news organizations including CNET News.com, The Huffington Post and TechCrunch.",
yes,yes,nielsen,Nielsen,,,showtime,,http://en-us.nielsen.com/home,,
yes,yes,aspera,Aspera,,,showtime,,http://asperasoft.com/,,
yes,yes,ooyala,Ooyala,,,primetime,,http://www.ooyala.com/,,
yes,yes,msearchgroove,MSearchGroove,,,mediapartner,,http://www.msearchgroove.com/,"**MSearchGroove** is a leading source of in-depth analysis and commentary on mobile search, mobile advertising, and social media. Through primary research and exclusive C-Level interviews, MSearchGroove is the essential read for companies seeking ways to monetize their digital assets, drive mobile advertising revenues and harness the power of empowered consumers.",
yes,yes,ihollywood,iHollywood,,,mediapartner,,http://www.ihollywoodforum.com,"**iHollywood Forum** is the leading leading producer of business summits, seminars and conferences for entertainment executives, investors and entrepreneurs involved in digital entertainment, tech, media, telecom, mobile, and emerging technologies. ",
yes,yes,yume,YuMe,,,showtime,,http://www.yume.com/,,
