Filled out Fulfillment Form,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp
y,y,y,y,f,Justine ,Bateman,"Producer, Writer, Consultant, Actor",SECTION 5,"Producer, Writer, Consultant, Actor, SECTION 5",,,speaker,y,"Writer, producer, actress, and director, Justine Bateman is the owner of the production and consulting company SECTION 5.Her resume includes the 80’s hit Family Ties, Men Behaving Badly, The TV Set, Desperate Housewives, Californication, and many more. Her digital projects include Remnants, Easy to Assemble, and Level 26: Dark Prophecy. Justine is a producer of Easy to Assemble, assembled digital components for Level 26, and is currently writing a web-series for Warner Bros. Justine also Co-Produces and Co-stars internet talk show, Wake Up And Get Real with fashion maven, Kelly Cutrone. Justine is an advocate for Net Neutrality. She testified before the Senate Commerce Committee last year on its behalf and serves as an Advisor to FreePress.com.",
y,y,y,y,m,Colin,Brown,Contributing Editor,CNBC Business,"Contributing Editor, CNBC Business",,,speaker,y,"Colin is Contributing Editor of ""CNBC Business"", the monthly business magazine for which he writes primarily about media, cities and technology. A consulting specialist in global film finance and film business models, Colin is also spearheading a start-up venture that is geared to movie executives in emerging markets. Before CNBC, Colin spent more than twenty years at ""Screen International"", the European business publication regarded as the leading authority on the worldwide film industry. As Editor-in-Chief, a position he held for a decade, he transformed the paper into an award-winning cross-media publication. Colin still frequently chairs film industry events including those at Cannes, Dubai, Berlin, Hong Kong and South Korea. He has served on numerous festival juries including the Sundance Film Festival in 2009.",
y,y,y,y,m,Rio,Caraeff ,President and CEO,VEVO,"President and CEO, VEVO",5,,speaker,y,"Rio D. Caraeff serves as President & Chief Executive Officer of VEVO, the web’s number one premium music video and entertainment service with over one billion worldwide streams and nearly 60 million unique visitors in the U.S. and Canada each month.  Created in partnership by Universal Music Group (UMG), Sony Music Entertainment (SME) and Abu Dhabi Media Company, VEVO operates independently with offices in New York, Los Angeles, Chicago, Detroit and San Francisco. Caraeff was featured in The Hollywood Reporter’s “Next Generation,” as one of the top 35 executives under 35 in Hollywood. He was also listed in Fortune magazine’s 40 under 40 and was named one of the top digital executives to watch in 2010 by both the LA Times and Digital Media Wire.",
y,y,y,y,m,Rishi,Chandra,"Product Lead, Google TV",Google,"Product Lead, Google TV, Google",6,,speaker,y,"Rishi is in the lucky position of watching television for a living by leading product efforts on Google TV. His favorite things to watch are anything to do with sports and shows that involve Larry David. He joined Google in 2006 as product manager for Google Apps, Google's online suite of communication and collaboration tools for businesses and schools. Over three years, he helped build the product into one of the strategic growth initiatives for Google. Prior to joining Google, Rishi worked as a consultant at strategy consulting firm Bain & Company. Rishi holds degrees in computer science and business administration from the University of California, Berkeley, as well as an MBA from Stanford University. ",
y,y,y,y,m,Bram,Cohen,Chief Scientist and Co-founder,BitTorrent,"Chief Scientist and Co-founder, BitTorrent",4,,speaker,y,"Bram Cohen is the Chief Scientist and co-founder of BitTorrent, Inc. and the creator of the BitTorrent peer-to-peer (P2P) file distribution protocol. Bram is also the co-founder of CodeCon and the co-author of Codeville. Prior to the creation of BitTorrent, Bram worked at MojoNation. MojoNation allowed people to break up confidential files into encrypted chunks and distribute those pieces to other computers running MojoNations software. This concept served as the inspiration for Bram’s development of BitTorrent. Before MojoNation, Bram was a quintessential dot-commer, working for several Internet companies through the mid-to-late 90s. Bram grew up in New York City, graduated from Stuyvesant High School and attended the University of Buffalo.",
y,y,y,y,m,Itzik,Cohen,Founder and CEO,ClipSync,"Founder and CEO, ClipSync",,,speaker,y,"Prior to founding ClipSync, Mr. Cohen was a part of the early team in WebEx Communications, the Web Meeting Applications Company Acquired by Cisco Systems (NASDAQ: CSCO) where was centrally involved with funding and IPO and reported to the CEO at WebEx. 
Prior to WebEx, Mr. Cohen was Director of Business Development at NetManage Inc., where he led the Advanced Technology team focusing on collaborative technologies. As a professional basketball player in Europe, Mr. Cohen played for Maccabi Tel-Aviv, a 4 time EuroLeague champions. A native of Israel, Mr. Cohen also served in the Israeli Air Force.",
y,y,y,y,m,Carlton ,Cuse,Writer and Executive Producer,Carlton Cuse Productions,"Writer and Executive Producer, Carlton Cuse Productions",,,speaker,y,"Carlton Cuse grew up in Boston and Orange County, California. He attended Harvard University and has a degree in American History. In partnership with Damon Lindelof, Cuse was the showrunner, executive producer and head writer for all six seasons of ""Lost"". Cuse and Lindelof pioneered the development of transmedia content for network television series. Cuse has received ten Emmy Nominations for his work and has won two Emmys: Best Drama Series and Outstanding Achievement in Interactive Media.  Among his other honors, Cuse has won a Peabody Award, a Golden Globe, the Jules Verne Award, four Saturn Awards, and a Writers Guild Award.  This year Cuse was named to Time Magazine's 2010 List of the 100 Most Influential People in the World.",
y,y,y,y,m,Philip,DeFranco,Content Creator,DeFranco Inc.,"Content Creator, DeFranco Inc.",,,speaker,y,"With other 424 million views on his The Philip DeFranco Show channel, Phil owns the 9th Most Subscribed Channel on YouTube.  In addition, he has 2 other channels in the YouTube top 100 (The Vloggity, Like Totally Awesome).  Phil and his company, DeFranco Inc., recently partnered with Vin Di Bona and his new digital company, FishBowl Worldwide Media, to create CuteWinFail, a new channel for YouTube that will feature and distribute viral videos from Vin Di Bona Production's massive library.  Phil has worked with HBO, FOX, Coca-Cola, Sanyo, Toyota, Nestle, Axe, Google, State Farm, GE, Slimjim, Carls Jr., Golden Grahams, Netflix, Go Daddy and was voted Wired Magazine’s Sexiest Geek in 2008.",
y,y,y,y,m,Ed ,Delfs,SVP Global Sales and Operations,Ustream,"SVP Global Sales and Operations, Ustream",,,speaker,y,"Ed Delfs is the SVP of Sales & Sales Operations and is responsible for sales across Ustream's platforms. Prior to Ustream, Ed served as Vice President of National Advertising Sales and Operations at Real Networks. Ed has over a decade of sales and advertising experience and joined Real from TheStreet.com where he was Vice President of Sales and Strategic Partnerships. Ed received a Masters of Pacific International Affairs with a Japan International Business Management focus from the University of California, San Diego and a Bachelor of Arts degree with departmental honors from the University of Southern California.",
y,y,y,y,m,Rick,Feldman,President and CEO,NATPE,"President and CEO, NATPE",,,speaker,y,"Rick Feldman is president and chief executive officer of the National Association of Television Program Executives (NATPE), a global, non-profit organization dedicated to the creation, development and distribution of televised programming in all forms, across all platforms. Rick oversees daily operations and strategic planning of NATPE’s worldwide activities. Previously, he was executive vice president and chief operating officer of USA Broadcasting in Los Angeles. There, he oversaw four stations throughout the US and launched independent stations in markets such as Dallas, Atlanta and Boston. Prior to USA, he served sixteen years at KCOP-TV/Los Angeles - seven of which he was president and general manager. ",
y,y,y,y,m,Gannon,Hall,COO,Kyte,"COO, Kyte",,,speaker,y,"As Chief Operating Officer, Gannon leads Kyte’s overall product strategy, marketing, business development and operations.  Gannon brings to Kyte nearly two decades of entrepreneurial leadership experience within the emerging and established consumer internet and enterprise software industries. Prior to joining Kyte, Gannon was a Principal at Horn Group, a premier technology marketing and digital communications agency with offices in San Francisco and New York. Gannon began his career as a software engineer, user experience designer, web developer and consultant for companies including Pacific Telesis Group and US Web San Francisco, where he helped design and build enterprise applications and websites for clients including Rolling Stone Magazine, Proxim and Flextronics.",
y,y,y,y,m,Max,Haot,Co-Founder and CEO,Livestream,"Co-Founder and CEO, Livestream",,,speaker,y,"Max Haot is the Co-Founder and CEO of Livestream (livestream.com), the leading live streaming video destination and platform.  Livestream allows event organizers, content owners, celebrities and artists to interactively broadcast live on the web, mobile devices, and connected TVs. Livestream streams more than one billion video minutes a month to its growing community of 22 million monthly viewers. Notable broadcasters and partners includes Facebook, The Foo Fighters, Maroon 5, Nike, Ralph Lauren, IBM, AT&T, Burger King, The New York Times, Associated Press, CBS News, ABC News and HBO. Livestream's mission is to build a next-generation, open 'cable operator,' accessible to anyone interested in launching a channel and broadcasting a unique, interactive user experience live to any device. ",
y,y,y,y,m,Dale ,Herigstad,Chief Creative Officer ,Schematic ,"Chief Creative Officer, Schematic ",,,speaker,y,"Dale Herigstad is an internationally recognized thought leader on the future of media consumption in an interactive and “many-screen” world.  With an extensive background in broadcast design and branding, he has pioneered a unique spatial context approach to designing advanced navigation systems for Interactive TV and connected screens.  He was a member of the research team that developed the visionary gestural interfaces that first appeared in the film “Minority Report,” and is now leading development work in the emerging world of gestural navigation for screens at a distance.  Dale is a member of the Academy of Television Arts and Sciences, AIGA, and ITA, and received one of the first ITVT Interactive TV Leadership Awards.  He has 4 Emmy awards.",
y,y,y,y,m,Mike ,Hudack,Co-Founder and CEO,Blip.tv,"Co-Founder and CEO, Blip.tv",,,speaker,y,"Mike Hudack is a co-founder of blip.tv, serving as president and CEO. He is responsible for blip.tv’s overall business strategy, focusing on community relations along with syndication, distribution and advertising partnerships.  Prior to blip.tv, Mike worked as a developer and administrator for the NHL, managing the team responsible consolidating and re-developing the NHL’s internal applications. Mike also developed the content management system for NHL.com and redesigned the software used to bring scores and statistics from dozens of simultaneous hockey games to fans in real-time.  Mike has spoken at SXSW, Streaming Media West, Beyond Broadcast, and dozens of other conferences, and served as a guest lecturer at NYU and elsewhere as an expert on video, blogging and citizen journalism. ",
y,y,y,y,m,Oren,Jacob,"Executive Producer, ""Ready, Set, Bag!""",Ensemble Pictures,"Executive Producer, ""Ready, Set, Bag!"", Ensemble Pictures",7,,speaker,y,"Oren Jacob is the Executive Producer of ""Ready, Set, Bag!"", a documentary film about the National Grocery Bagging Competition, which is playing in select theatres across the country and helping raise money for food banks along the way.  Oren is also a Chief Technical Officer and Director of the Studio Tools group at Pixar Animation Studios, where he has worked for over 20 years on films like “Finding Nemo”, “Toy Story 2”,  “A Bugs Life”, and the original “Toy Story”.  Oren holds a BS and MS in Mechanical Engineering from UC Berkeley and, with his 3 children, grows competitive pumpkins in his backyard.
",
y,y,y,y,m,Braxton,Jarratt,CEO and Co-Founder,Clearleap,"CEO and Co-Founder, Clearleap",,,speaker,y,"Braxton Jarratt is the co-founder and CEO of Clearleap, a web-based TV technology platform that integrates the power and flexibility of the web into existing cable and pay TV infrastructures. With deployments in over 30 systems, including six of the top ten  TV providers in its first 18 months of business, Clearleap empowers the TV industry to efficiently manage and monetize VOD, program linear channels, dynamically acquire and deliver content to internet connected TV devices and deploy video-centric interactive applications. Prior to co-founding Clearleap, Braxton was SVP of Marketing Business Development at Tandberg Television (Ericsson), VP of Marketing/Business Development at N2 Broadband and Director of Product Strategy for Cox Cable. 
",
