Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/newteevee/sponsors/media-partners/
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,emmys,Academy of Television Arts & Sciences,1,,mediapartner,http://www.emmys.org/,"The Academy of Television Arts & Sciences, founded in 1946 at the birth of the medium, is a non-profit organization devoted to the advancement of telecommunication arts, sciences and creative leadership. Known for recognizing outstanding programming through its Primetime Emmy® Awards, the Television Academy also publishes emmy magazine. Its charitable Foundation, meanwhile, operates the Archive of American Television, College Television Awards, acclaimed student internships and other educational outreach programs.  For more information on the Academy of Television Arts & Sciences, its many industry-related programs and services, including year-round events, please visit www.emmys.tv.",
yes,yes,beettv,Beet.TV,2,,mediapartner,http://www.beet.tv,"Beet.TV is a four-year old videoblog that chronicles the online video revolution and its impact on business and society. It features daily interviews with key players including executives, developers, investors and analysts. Many views of Beet.TV occur offsite, via an embeddable player, feeds, downloads and syndication arrangements. www.beet.tv
",
yes,yes,boogarlists,BoogarLists,3,,mediapartner,http://www.boogar.com/,"- With a qualified directory of more than 2,000 Venture Capital and Mid-Market/LBO private equity firms, BoogarLists is an excellent place for entrepreneurs to begin their search for investment capital. Whether starting a new company or striving to take an early stage company to the next level, CEO’s and CFO’s will invariably want to seek out new sources of capital or other financial services.",
yes,yes,churchhill,Churchill Club,4,,mediapartner,http://www.churchillclub.org,"is the valley’s premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. For more information, visit www.churchhillclub.org ",
yes,yes,nabshow,NAB Show,5,,mediapartner,http://www.nabshow.com,"- From broadcasting to broader-casting®, the NAB Show® is the premier event for content professionals who share a passion for bringing content to life on any platform — even if they have to invent it. From creation to consumption, this is the ultimate place to find everything necessary to bring your vision to life.",
yes,yes,parisoma,pariSoma,6,,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation.",
yes,yes,startupdigest,StartupDigest,7,,mediapartner,http://thestartupdigest.com,"is the best way to find out and stay informed about the best startup events in your favorite cities. Join over 65,000 subscribers at http://thestartupdigest.com.",
yes,yes,techcentralsf,TechCentralSF,8,,mediapartner,http://www.www.techcentralsf.com,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”! For more information, visit www.techcentralsf.com",
yes,yes,tie,TiE,9,,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",
yes,yes,sfama,SFAMA,10,,mediapartner,http://sfama.org,"- The San Francisco chapter of the American Marketing Association is the leading organization for professional and student marketers in the Bay Area. Founded in 1937, our chapter reflects the innovation, standards of excellence, and industry and population diversity for which the Bay Area is known and celebrated. Our goal is to advance our members’ professional capabilities and career development opportunities, while connecting with the area marketing community at large. For more information, visit http://sfama.org",
yes,yes,vctaskforce,VC Taskforce,11,,mediapartner,http://www.vctaskforce.com,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB) ,12,,mediapartner,http://www.vlab.org/,"- is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",
yes,yes,videopress,VideoPress,,,showtime,http://www.videopress.com,,
yes,yes,theplatform,thePlatform,,,showtime,http://www.theplatform.com/,,
yes,yes,envivio,Envivio,,,primetime,http://www.envivio.com,,
