FF,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured ,Short Desc ,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,f,Katia ,Beauchamp,Co-Founder,Birchbox,"Co-Founder, Birchbox",,,speaker,y,"Katia Beauchamp is the Co-Founder of Birchbox, the discovery commerce company changing the way women and men shop for beauty, grooming and lifestyle products. Through its multi-channel platform, the Birchbox experience features personalized sampling, informative editorial content and a hand-picked online store. Katia began her career as an entrepreneur after graduating from Harvard Business School in 2010, where she met Hayley Barna. Their connection grew into friendship and the pair’s collaborative idea for Birchbox inspired the company’s debut in September 2010. Katia’s love for all things beauty and style combined with her skills from a deal-focused and finance background are instrumental in forming partnerships with brands as well as in growing and scaling the Birchbox business.",,,,,@birchbox,
y,y,y,y,m,Yves,Behar,"CEO, fuseproject and CCO ",Jawbone,"CEO, fuseproject and CCO, Jawbone",,,speaker,y,"Yves Béhar is a design entrepreneur who believes that product, digital and brand design are cornerstones of any business. He is the founder of fuseproject, the San Francisco and New York based design and branding firm he established in 1999. He is also Chief Creative Officer at Jawbone, where for the last 10 years his products, brand and communications work has made the company a leader in wearable and audio consumer electronics. His other collaborations with renowned partners such as Herman Miller, GE, Puma, PayPal, SodaStream, Samsung, Issey Miyake, Prada and many others have received international acclaim. Béhar's works are included in the permanent collections of museums worldwide, and he is a frequent speaker on design, sustainability and business topics.",,,,www.facebook.com/fuseproject,@yvesbehar,
y,y,y,y,m,George,Blankenship,"VP, Worldwide Sales and Ownership Experience",Tesla Motors,"VP, Worldwide Sales and Ownership Experience",,,speaker,y,"George joined Tesla in 2010 bringing three decades of retail and design experience at the world's hottest brands. Best known as the chief strategist behind Apple's revolutionary retail stores, George created one of the most successful, brand-bolstering retail growth plans in history, spreading Apple’s influence across Asia, Europe and North America. Prior to Apple, George served as vice president, retail strategy for Gap Inc. He launched his career there as a store manager and over the course of his 20 year tenure held positions in operations, real estate, store design, construction and strategy. At Tesla, George's goal is to re-imagine the way people buy cars, forgoing the traditional dealership model in favor of stylish, consumer-focused showrooms. ",y,"George is best known as the chief strategist behind Apple's revolutionary retail stores. He created one of the most successful, brand-bolstering retail growth plans in history, spreading Apple’s influence across Asia, Europe and North America. George will share his experience on re-inventing the store in the age of connectedness.",,,,
,y,y,y,m,Perry,Chen,CEO,Kickstarter,"CEO, Kickstarter",,,speaker,y,,,,,,@perrychen,
,y,y,y,m,Kevin,Dallas,"GM, Windows Embedded",Microsoft,"GM, Windows Embedded, Microsoft",,,speaker,y,"Kevin Dallas serves as the general manager of Windows Embedded at Microsoft Corp. In this role, Dallas oversees the strategy, product development and marketing of the software and services offerings for intelligent systems. The mission of the business group is to realize the “Internet of Things” by extending Windows and the cloud to the world of intelligent systems for business customers across automotive, retail, medical, industrial automation, banking and energy industries. Since joining Microsoft in 1995, Dallas has served as general manager of the Windows Phone Division and product management director for Windows. Before joining Microsoft, Dallas worked for NVIDIA Corp. and National Semiconductor Corp. (now Texas Instruments Inc.) in the U.S., Europe and the Middle East in roles that included microprocessor design, systems engineering, product management and product unit management. Dallas has a bachelor’s degree in computer science and business from Staffordshire University in England. In his free time, he enjoys spending quality time with his wife and three children.",,,,,,
y,y,y,y,m,Tony,Fadell,Founder and CEO,Nest ,"Founder and CEO, Nest ",,,speaker,y,"Fadell is the founder and CEO of Nest, maker of the Nest Learning Thermostat. The Nest thermostat remembers the temperatures you like and programs itself to help you save ~20% on heating and cooling bills. It automatically saves energy when you’re away and can be controlled from anywhere using a smartphone, tablet or computer. Prior to Nest, Tony served as SVP of Apple’s iPod division, reporting to Steve Jobs. He was responsible for creating the first 18 generations of the iPod and the first three generations of the iPhone. Before Apple, Tony built the Mobile Computing Group at Philips Electronics. Tony has authored more than 100 patents. He graduated from the University of Michigan with a bachelor’s in Computer Engineering.",,"Tony Fadell was responsible for creating the first 18 generations of the iPod and the first three generations of the iPhone. He'll discuss how design can disrupt even decades old sectors, and do good in the process.",,www.facebook.com/nest,@tfadell,
y,y,y,y,m,Joe ,Gebbia ,Co-Founder and Chief Product Officer,Airbnb,"Co-Founder and Chief Product Officer, Airbnb",,,speaker,y,"Joe Gebbia is the Co-founder and Chief Product Officer of the Silicon Valley success story, Airbnb - a trusted community marketplace for people to list, discover and book unique accommodations around the world. At Airbnb, he leads an integrated team of designers, engineers, and researchers who create simple user experiences through sharp, intuitive design. While pursuing a double major at RISD, he exhibited strong leadership skills as student body president and in founding RISD’s basketball team.",y,"Good design is now a competitive advantage. RISD designer Joe Gebbia, Airbnb co-founder, used his background to envision the company's user experience. He'll share how Airbnb has baked design into product development.",,,@jgebbia,
y,y,y,,m,Dave,Gilboa,Co-Founder and Co-CEO,Warby Parker,"Co-Founder and Co-CEO, Warby Parker ",,,speaker,y,"Dave Gilboa is the Co-Founder and Co-CEO of Warby Parker, a transformative fashion brand offering designer eyewear at a revolutionary price while leading the way for socially-conscious businesses. Prior to Warby Parker, Dave was an Associate at merchant bank Allen & Company and, earlier, worked at Bain & Company. He also served as Special Assistant to the Founder and CEO of the TriZetto Group, and has held strategy and business development roles at Genomic Health and Crescendo Bioscience. Dave has worked extensively with non-profit organizations and serves as a founding member of the Entrepreneur Board of Venture for America. Dave graduated with a BS in Bioengineering with Honors from UC Berkeley and holds an MBA from Wharton Business School.",,"Dave Gilboa is the Co-Founder and Co-CEO of Warby Parker, a transformative fashion brand offering designer eyewear at a revolutionary price while leading the way for socially-conscious businesses. As an e-commerce leader, Dave will explore how the connected consumer of tomorrow will discover, share and buy goods. ",,,@davegilboa,
y,y,y,y,m,Oren ,Jacob,CEO,ToyTalk ,"CEO, ToyTalk",,,speaker,y,"Before co-founding ToyTalk as CEO, Oren was an Entrepreneur in Residence at August Capital. A filmmaker and technologist, he spent more than 20 years at Pixar, most recently as Chief Technical Officer and Director of the Studio Tools group. His feature film credits include ""Toy Story"" and ""Toy Story 2"", ""A Bug's Life"", and Supervising Technical Director for ""Finding Nemo"". Oren also helped found Pixar University and taught animation at the Academy of Art College for seven years. Oren currently teaches ""Lean Launchpad"" courses with Steve Blank at Stanford, Berkeley, Columbia, and for the NSF. And Oren plans drop all of this in a heartbeat to become a pro snowboarder the minute that first sponsor shows up.",,"A filmmaker and technologist, Oren spent more than 20 years at Pixar, most recently as Chief Technical Officer and Director of the Studio Tools group. He'll show us how to ""storyboard"" -- funneling your inspiration and telling a story for your product.",,https://www.facebook.com/ToyTalkInc,@toytalk,www.linkedin.com/in/orenjacob
y,y,y,y,m,David,Karp,Founder and CEO,Tumblr,"Founder and CEO, Tumblr",,,speaker,y,"Tumblr founder David Karp was born and raised in New York City, attending the Bronx High School Science before dropping out at age 15. An internship at Frederator Studios led to a gig leading product at UrbanBaby. When CNET acquired the company in 2005, Karp started his own development agency, Davidville. In 2007 his team launched Tumblr, now the home and platform for more than 70 million creators. As a top 20 US network, Tumblr serves an audience of more than 145 million people worldwide.",,,,,@davidkarp,
y,y,y,y,m,Alexander ,Ljung ,Founder and CEO,SoundCloud,"Founder and CEO, SoundCloud",,,speaker,y,"Alexander Ljung has been a cornerstone of SoundCloud’s success since he launched the company in 2008 with co-founder and CTO, Eric Wahlfross.  In this capacity, Alex is responsible for SoundCloud’s vision, overall strategy and leadership.  Currently, he oversees a team of over 80 people worldwide. SoundCloud is the world’s leading social sound platform that enables anyone, anywhere to create and share their originally created sounds across the web. The Company has experienced exponential user growth, reaching more than ten million registered users as of January 2012, and averaging one million new users per month.",,"Alexander Ljung is responsible for SoundCloud’s vision, overall strategy and leadership and oversees a team of over 80 people worldwide. Alex will discuss the future of social sound.",,https://www.facebook.com/soundcloud,@alexanderljung,http://www.linkedin.com/profile/view?id=2500609&locale=en_US&trk=tyah2
y,y,y,y,m,Alexis,Madrigal,Senior Editor,The Atlantic,"Senior Editor, The Atlantic",,,speaker,y,"Alexis Madrigal is a senior editor at The Atlantic, where he oversees the Technology channel. He's the author of Powering the Dream: The History and Promise of Green Technology. The New York Observer calls Madrigal ""for all intents and purposes, the perfect modern reporter."" He co-founded Longshot magazine, a high-speed media experiment that garnered attention from The New York Times, The Wall Street Journal, and the BBC. While at Wired.com, he built Wired Science into one of the most popular blogs in the world. The site was nominated for best magazine blog by the MPA and best science Web site in the 2009 Webby Awards. He also co-founded Haiti ReWired, a groundbreaking community dedicated to the discussion of technology, infrastructure, and the future of Haiti. Madrigal is a visiting scholar at the University of California at Berkeley's Office for the History of Science and Technology. Born in Mexico City, he grew up in the exurbs north of Portland, Oregon, and now lives in Oakland.",,,,,@alexismadrigal,
y,y,y,,m,John ,Maeda,President,Rhode Island School of Design,"President, Rhode Island School of Design",,,speaker,y,"John Maeda is a leader who integrates technology, design and leadership into a 21st-century synthesis of creativity and innovation. An artist, graphic designer, computer scientist and president of the preeminent school of art and design, he was named one of the 75 most influential people of the 21st century by Esquire. Called the “Steve Jobs of academia” by Forbes, his current focus is imagining how design and technology can bring clarity to organizational leadership in the era of social media. He currently serves on the  the boards of Sonos and Quirky, and on the Davos World Economic Forum's Global Agenda Council on New Models of Leadership. Maeda’s books include The Laws of Simplicity, Redesigning Leadership, and Creative Code. Maeda received the AIGA Medal in 2010 and is in MoMA’s permanent collection.",y,"A pioneer of computer-based visual art at the MIT Media Lab, John will share his vision of what he sees are the important vectors of design, leadership and connected culture.",,,@johnmaeda,
,y,y,y,m,John,Markoff,Senior Writer,The New York Times,"Senior Writer, The New York Times",,,speaker,y,"John Markoff, senior writer for The New York Times, writes for the paper's science section. He began writing about technology in 1976 and joined The Times in 1988. He gained some notoriety several years ago when he stated that he thought blogs might be the CB radio of the 21st century. He still believes that.",,"As senior writer for The New York Times, John Markoff writes for the paper's science section. John will moderate our session, ""Disrupting dinosaurs with design.""",,,@Markoff,
y,y,y,y,m,Paul ,Mascarenas,CTO and VP,Ford Motor Company Research and Innovation,"CTO and VP, Ford Motor Company Research and Innovation",,,speaker,y,"Paul Mascarenas is chief technical officer and vice president, Ford Research and Innovation. He leads Ford’s worldwide research organization, overseeing the development and implementation of the company’s technology strategy and plans. Mascarenas previously served as vice president of Engineering for Global Product Development, with responsibility for engineering Ford’s car, truck, SUV and crossover vehicles. Since joining Ford in 1982, Mascarenas has amassed extensive experience in product development, having held various positions in product planning, program management, body engineering and powertrain while on assignments in Europe and the United States. Mascarenas holds a Mechanical Engineering degree from the University of London, King's College in England. He is a Fellow of the Institution of Mechanical Engineers and an SAE International Fellow. ",y,"Paul Mascarenas leads Ford’s worldwide research organization, overseeing the development and implementation of the company’s technology strategy and plans. Paul will discuss ""Cars as the next-gen platform.""",,,,
y,y,y,y,m,Stefan,Olander,"VP, Digital Sport",NIKE,"VP, Digital Sport, NIKE",,,speaker,y,"Stefan Olander is one of the industry’s leading digital marketers. Over the past decade Stefan has held a number of key marketing leadership positions with Nike. Blending his passion for the digital world with traditional communications skills, Stefan has led many of Nike’s most innovative and cutting edge initiatives, from launching EMEA's new digital platform in 2000, to overseeing all communications for one of Nike’s most comprehensive global football initiatives; The Secret Tournament in 2002. In his role as Vice President of Digital Sport, Stefan has created and is leading a team dedicated to enhancing the consumer experience through the use of digital tools.  His group is responsible for the recent expansion of the Nike+ ecosystem with the creation of the Nike+ FuelBand, Nike+ Basketball, Nike+ Training and the soon to be launched Nike+ Kinect Training which was co-developed with Xbox. Stefan recently wrote a book called Velocity with AKQA cofounder and chairman Ajaz Ahmed.",y,"Connected gadgets attached to our bodies are enabling us to track and manage our physical routines, fitness plans and health functions. Stefan Olander, VP, Digital Sport at Nike shares how design and data will deliver the quantified self",,,@soland,
y,y,y,y,m,Bobby,Podesta,Head of Creative ,ToyTalk,"Head of Creative, ToyTalk",,,speaker,y,"Bobby Podesta graduated with his BFA in Film from the California Institute of the Arts (CalArts), where he completed several films, including his short Smoke…, which received the student Emmy for Animation in 1997. After graduation, Bobby joined Pixar Animation Studios, where he worked as an animator and story artist on A Bug's Life, Toy Story 2, Monsters Inc., Finding Nemo, and The Incredibles. Bobby was a Directing Animator on Cars and Supervising Animator on the Finding Nemo Submarine Voyage at Disneyland. Most recently he was Supervising Animator on Toy Story 3 before leaving Pixar to become Head of Creative at ToyTalk.",,,,https://www.facebook.com/ToyTalkInc,@ToyTalk,www.linkedin.com/pub/bobby-podesta/6/45/82b
