Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
7:00 AM,Registration and Breakfast,,,,,,,,
8:00 AM,Opening Remarks,,,,,,Om Malik,Founder,GigaOM
8:10 AM,MINI-NOTE,,The Platform Revolution: A Look Into Disruptive Technologies,,,,Jonathan Yarmis,,AMR Research
8:30 AM,FIRESIDE CHAT,,Igniting the Clouds: Virtualization Catalyzes Infrastructure On Demand,Om Malik,,GigaOM,Mendel Rosenblum,,VMWare
,,,,Arnie Berman,,Cowen and Company,,,
8:50 AM,KEYNOTE,,,,,,Werner Vogels,,Amazon.com
9:20 AM,PANEL,,Working the Clouds: NextGen Infrastructure for New Entrepreneurs,Alistair Croll,,Bitcurrent,Geva Perry,,GigaSpaces
,,,,,,,Jason Hoffman,,Tony Lucas
,,,,,,,Tony Lucas,,XCalibre
,,,,,,,Lew Moorman,,Rackspace
,,,,,,,Christophe Bisciglia,,Google
,,,,,,,Joe Weinman,,AT&T
10:10 AM,NETWORKING BREAK,,,,,,Check out our sponsors,,
,BREAK OPTION,,The New New Stack: Re-examining the Internet Platform Chain,Stacey Higginbotham,,GigaOM,Vijay Gill,,Lane Patterson
,,,,,,,Harald Prokop,,
,,,,,,,Dr. Jay Subrahmonia,,IBM
10:50 AM,MINI-NOTE,,,,,,Drew Perkins,,Infinera
,,,,,,,Cloud9Analytics,,
,,,,,,,Doug Judd,,
11:10 AM,PANEL,,he Race to the Next Database: Overclocking and Analytics Augment Your Data Layer,Nitin Borwankar,,TagSchema,Mayank Bawa,,Aster Data Systems
,,,,,,,Dave Schrader,,Teradata
,,,,,,,Luke Lonergan,,Greenplum
,,,,,,,Damian Black,,SQLstream
,,,,,,,Scott Wiener,,Cloud9Analytics
,,,,,,,Doug Judd,,Zvents
12:00 PM,LUNCH,,,,,,Shelby Clark,Founder and CEO,RelayRides
12:10 PM,LUNCH OPTION,,Workshop: Google App Engine,,,,Rob Bernard,Chief Environmental Strategist,Microsoft
12:40 PM,LUNCH OPTION,,Insider Secrets: Microsoft Datacenter Workshop,,,,,,
12:10 PM - 1:00 PM,LUNCH OPTION,,Venture Capital and Seed Financing Workshop,,,,Sam Angus,,Fenwick & West
,,,,,,,Ken Elefant,,Opus Capital
1:15 PM,FIRESIDE CHAT,,The Endgame for Boxed Software?,Om Malk,,GigaOM,Parker Harris,,Salesforce.com
,,,,Michael Copeland,,Fortune Magazine,,,
1:35 PM,MINI-NOTE,,,,,,Debra Charpaty,,Microsoft
1:55 PM,PANEL,,Harnessing Explosive Growth: Infrastructure Strategies and Tactics,Alistair Croll,,Bitcurrent,Sandy Jen,,Meebo
,,,,,,,Akash Garg,,hi5 Networks
,,,,,,,Jeremiah Robison,,Slide
,,,,,,,Jonathan Heiliger,,Facebook
,,,,,,,James Barrese,,eBay
,,,,,,,Raj Patel,,Yahoo!
,,,,,,,,,
2:45 PM,KEYNOTE,,The Invisible Hand of Web Architecture,,,,Greg Papadopoulos,,Sun Microsystems
3:15 PM,NETWORKING BREAK,,,,,,Check out our sponsors,,
,BREAK OPTION,,Infrastructure On Demand: Should You Build Your Future on Platform-as-a-Service (PaaS)?,Stacey Higginbotham,,GigaOM,Danny Kolke,,Etelos
,,,,,,,Patrick Kerpan,,Cohesive FT
,,,,,,,Bill Lucchini,,Intuit Quickbase
,,,,,,,Paul Lappas,,GoGrid
,,,,,,,Jeff Barr,,Amazon.com
3:45 PM,KEYNOTE,,,,,,James Crowe,,Level 3
4:15 PM,MINI-NOTE,,,,,,Dr. Lawrence G. Roberts,,Anagran
4:30 PM,MINI-NOTE,,Fortune 5 Million: The Battle for the Midmarket,,,,Zach Nelson,,NetSuite
4:50 PM,MINI-NOTE,,,,,,Dr. Jonathan Koomey,,UC Berkeley
5:10 PM,PANEL,,Eyes Wide Shut: Why is the VC Community Keeping Its Wallet Shut to Infrastructure?,"Paul Kedrosky
",,Kauffman Foundation,Allan Leinwand,,Panorama Capital
,,,,,,,Vivek Mehra,,August Capital
,,,,,,,Maha Ibrahim,,Canaan Partners
,,,,,,,Tom Dyal,,Redpoint
,,,,,,,Rajeev Batra,,Mayfield
6:00 PM,Closing Remarks,,,,,,Om Malik,,GigaOM
,,,,,,,Alistair Croll,,Bitcurrent
6:15 PM - 8:30 PM,Cocktail Reception,,,,,,,,
