,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Facebook,P Twitter,P LinkedIn
y,y,y,y,m,Werner,Vogels,VP and CTO,Amazon.com,Vice President and Chief Technology Officer,,,speaker,y,"Dr. Werner Vogels is Vice President &amp; Chief Technology Officer at Amazon.com where he is responsible for driving the company&#8217;s technology vision, which is to continuously enhance the innovation on behalf of Amazon&#8217;s customers at a global scale. Prior to joining Amazon, he worked as a research scientist at Cornell University where he was a principal investigator in several research projects that target the scalability and robustness of mission-critical enterprise computing systems. He has held positions of VP of Technology and CTO in companies that handled the transition of academic technology into industry. Vogels holds a Ph.D. from the Vrije Universiteit in Amsterdam and has authored close to 80 articles for journals and conferences, most of them on distributed systems technologies for enterprise computing.",x,,,
y,y,y,y,m,James,Crowe,President and CEO,"Level 3 Communications, Inc ",President and Chief Executive Officer,,,speaker,y,"Mr. Crowe is President and Chief Executive Officer of Level 3 Communications, an international company operating one of the largest communications and Internet backbones in the world. Assuming the leadership of Level 3&#8217;s predecessor, a diverse group of companies and holdings in 1997, Mr. Crowe reshaped it into a single company centrally focused on communications and information services. Prior to Level 3, Mr. Crowe served as Chairman of WorldCom, following its $14.3 billion merger with MFS Communications Company in 1996. Mr. Crowe was CEO of MFS, a company he founded and took public in 1993 and became the largest competitive local carrier in the U.S. and Europe. Mr. Crowe serves on the Board of Directors of Level 3 Communications.",x,,,
y,y,y,y,m,Greg,Papadopoulos,CTO,Sun Microsystems, Chief Technology Officer and Executive Vice President of Research and Development,,,speaker,y,"As Chief Technology Officer and Executive Vice President of Research and Development at Sun, Greg Papadopoulos directs the company&#8217;s approximate $2B in R&amp;D portfolio with an eye toward innovation, simplicity, and eco-responsibility. With more than 20 years experience in the technology industry, Papadopoulos is responsible for managing Sun&#8217;s technology decisions and architecture. His team leads Sun Labs, the DARPA High Performance Computing Systems program, global engineering architecture and advanced development programs. Before joining Sun in 1994, Papadopoulos was senior architect and director of product strategy for Thinking Machines, where he led the design of the CM6 massively parallel supercomputer. He was also an associate professor of electrical engineering and computer science at MIT and a flight-control system development engineer at Hewlett-Packard and Honeywell. Papadopoulos serves as a member of the Board of Trustees for the Anita Borg Institute for Women and Technology, and as a member of the President&#8217;s Board on Science and Innovation at the University of California. Greg acts as a technical advisor for BP and Alien Technologies. He holds a bachelor&#8217;s degree in systems science from the University of California at San Diego, as well as master&#8217;s and doctoral degrees in electrical engineering and computer science from MIT.",x,,,
y,y,y,y,m,Om,Malik,Founder   ,GigaOM,Founder and Editor-in-Chief,,,speaker,y,"Om Malik is the Founder and Editor-in-Chief of Giga Omni Media, Inc., a new media company which delivers technology news, analysis, and opinions to a monthly global audience of 1.75 million consumers and professionals interested in the world of high-tech. Malik has over 15 years of experience as a journalist covering technology and business news. Most notably, he was a Writer at Red Herring during its glory days. He then went on to be part of the founding team of Forbes.com as a Senior Editor. Most recently, he was a Senior Writer for Business 2.0 magazine covering telecom and broadband stories. His contributions have been published in The Wall Street Journal, The Economist, and MIT Technology Review. Additionally, Malik is the author of Broadbandits: Inside the $750 Billion Telecom Heist. He is also the recipient of many industry awards which include Excellence in Journalism from the SPJ in 2001 and the Gold Award from American Society of Business Publication Editors in 2001.",x,,,
y,y,y,y,m,Parker,Harris,Founder,Salesforce.com,"Founder and Executive Vice President, Technology",,,speaker,y,"Parker Harris founded Salesforce.com along with Marc Benioff, Dave Moellenhoff and Frank Dominguez in the spring of 1999. As Executive Vice President, Harris oversees the development of all software for sSalesforce.com. Prior to founding Salesforce.com, Harris developed web application and salesforce automation expertise at Left Coast Software, a private consulting company he co-founded, as well as at Metropolis software, an early pioneer in field sales force automation subsequently acquired by Clarify. Harris has over twelve years of software engineering and management experience. He graduated from Middlebury College with a Bachelor&#8217;s Degree in English Literature.",1269036937,,,
y,y,y,y,m,Mendel,Rosenblum,Co-founder,VMWare,Co-founder,,,speaker,y,"Mendel Rosenblum is an Associate Professor of Computer Science at Stanford University, where he leads a group focused on operating systems research. Together with his students, he developed the Hive operating system, the SimOS machine simulator and the Disco virtual machine monitor. In 2002, he received the ACM SIGOPS Mark Weiser Award for his creativity, innovation and vision in operating systems research. He holds a doctorate and master&#8217;s degree in computer science from the University of California at Berkeley and a bachelor&#8217;s degree in mathematics from the University of Virginia.",,,,
y,y,y,y,m,Zach,Nelson,President  ,NetSuite,President and Chief Executive Officer,1,,speaker,y,"Zach Nelson has more than 20 years of leadership experience in the hi-tech industry, where he has held a variety of executive positions spanning marketing, sales, product development and business strategy with leading companies such as Oracle, Sun Microsystems, and McAfee/Network Associates. Nelson has been CEO of NetSuite since 2002. Under his leadership NetSuite&#8217;s revenues have grown ten-fold, workforce has quintupled to more than 500 employees, and its customer base has expanded to thousands of companies around the globe. Recently named as CRM Influential Leader of 2006 by CRM Magazine, Nelson has led NetSuite to be one of the hottest software companies in the world. Nelson holds a patent in the field of application integration, and has several others pending approval. He holds B.S. and M.A. degrees from Stanford University.\",,,,
y,y,y,y,m,Lew,Moorman,SVP,Rackspace,"Senior Vice President, Strategy and Corporate Development",,,speaker,y,"Lew Moorman is instrumental in driving strategic planning, product development and new business initiatives for Rackspace. He joined the company in April of 2000 and has served a variety of strategy and marketing roles throughout the company&#8217;s growth. Before joining Rackspace, Moorman held several positions at the management consulting firm McKinsey &amp; Company, advising a variety of high technology clients on critical strategic issues. Moorman received a B.A. from Duke University and a J.D. from Stanford Law School.",,,,
y,y,y,y,m,Jeff,Barr, Senior Web Services Evangelist ,Amazon.com, Senior Web Services Evangelist ,,,speaker,y,"Jeff Barr has been at Amazon.com since 2002. Along with his team of Web Services Evangelists, Jeff contributes to the Amazon Web Services Blog (http://aws.typepad.com), makes frequent conference and user group appearances, and also finds time to meet with individual developers. Jeff has operated his own consulting practice and also spent some time at Microsoft, where he worked on Visual Basic and .Net. Jeff holds a Bachelor’s Degree in Computer Science from the American University in Washington, DC and has performed graduate studies at the George Washington University, also in Washington DC.",,,,
y,y,y,y,m,James,Barrese,Vice President,eBay,"Vice President, Systems Development and Architecture",,,speaker,y,"James Barrese is responsible for eBay&#8217;s architecture, software development frameworks, eBay API and technology platform strategy. He is focused on building large-scale Internet applications, architectures and frameworks, and has prior experience in various roles related to Internet technology strategy and large-scale system execution with companies such as Intel, HP, Novell and Nortel. Prior to joining eBay in 2001, James was the vice president of engineering at Charitableway, where he was attracted to its mission of developing efficient, large-scale donation processing and payment systems for the non-profit industry. Prior to Charitableway, James was with Accenture where he focused on large scale Internet solutions and enterprise systems implementations. He served in the U.S. Army and received a Bachelor of Science in Mechanical Engineering from Stanford University.",,,,
