Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
7:00 AM,REGISTRATION & BREAKFAST,,,,,,,,,
8:10 AM,OPENING REMARKS,,,,,,Om Malik,Founder,GigaOM,
8:20 AM,PANEL,From Databases to Dataspaces,"Web-scale computing is creating a physically distributed infrastructure, which has led to the emergence of distributed data storage and processing layers like Hadoop, HyperTable and Couchdb. The new database paradigms will force us to rethink some of our existing practices, but they'll also offer many benefits and opportunities. 
",Jason Hoffman,CTO and Founder,Joyent,Tasso Argyros,CTO and Co-Founder,Aster Data Systems,
,,,,,,,Jeff Hammerbacher,Chief Scientist,Cloudera,
,,,,,,,Doug Judd,Principal Search Architect,Zvents,
,,,,,,,Avinash Lakshman,Engineer,Facebook,
,,,,,,,Geir Magnusson Jr.,"Consulting Architect, Platform",Gilt Groupe,
9:00 AM,PANEL,Building The Perfect Host for Web Apps,"When a hosting platform is built from boxes and bandwidth, it is built with a vision of usage in mind. When a startup codes the next big hit app, it has preconceived notions about what load challenges its platform will cope with. With cloud computing will things change drastically? This panel brings together two of the most innovative hosting companies and two rising web app startups to outline what each wants from the other and what new opportunities can be generated from the missing elements.",Rohit Sharma,Investor,Independent,James Lindenbaum,Co-Founder and CEO,Heroku,
,,,,,,,David Lipscomb,"SVP, Engineering and Co-Founder",NetSuite,
,,,,,,,Lew Moorman,"President, Cloud and Chief Strategy Officer",Rackspace Hosting,
,,,,,,,Matt Mullenweg,Founding Developer,WordPress,
,,,,,,,Javier Soltero,"CTO, Management Products",SpringSource,
9:45 AM,KEYNOTE,The Internet and Cloud Computing,,,,,Paul Sagan,President and CEO,Akamai,
10:15 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,PEER 1 – Room 1,Hosting Cloud on Commodity Hardware,"The pros, cons, pitfalls and best practices of testing and hosting cloud computing on commodity hardware are discussed by our panel members who represent cloud applications, SaaS and IT hosting.",Bernard Golden,Writer,CIO Magazine,Geir Magnusson Jr.,"Consulting Architect, Platform",Gilt Groupe,
,,,,,,,Robert Miggins,SVP Business Development,PEER 1,
,,,,,,,Matt Mullenweg,Founding Developer,WordPress,
,,,,,,,Abe Sultan,VP of Engineering,Apprenda,
,SUN MICROSYSTEMS – Room 2,Navigating a World of Many Clouds,"As cloud computing becomes increasingly popular, the question becomes not whether you should use cloud resources, but rather, what kind of cloud resources you should use.  How can you ensure that you're able to move seamlessly from one cloud to another?  What issues might you face when migrating?  In this workshop, experts from Sun Microsystems' Cloud Computing team will provide answers to these questions and more.",,,,Veena Avula,"Director of Product Marketing, Cloud Infrastructure",Sun Microsystems ,
,,,,,,,Rajesh Ramchandani,"Senior Business Development Manager, Cloud Computing",Sun Microsystems,
10:45 AM,MININOTE,The Cloud in Context,,,,,Russ Daniels,"VP and CTO, Cloud Services Strategy",HP,
11:05 AM,PANEL,"The Myth of the One-Size-Fits-All Cloud
","As enterprises begin to evaluate cloud computing, some are asking if the current model of commodity servers and virtualization meets their needs. Is there money to be made creating specialized clouds for industries that require highly specific computing tasks, from video trans-coding to fiscal transactions and medical records?
",Stacey Higginbotham,Staff Writer,GigaOM,Michael Crandell,CEO and Founder,RightScale,
,,,,,,,Bryan Doerr,CTO,Savvis,
,,,,,,,Yousef Khalidi,Distinguished Engineer,Microsoft Corporation,
,,,,,,,Joseph Tobolski,Director of Cloud Computing,Accenture,
,,,,,,,Lew Tucker,"VP and CTO, Cloud Computing",Sun Microsystems,
11:50 AM,FIRESIDE CHAT,View From The Bridge: A Year of Cloud,Last year at Structure 08 we had the honor of having two giants of the technology world keynote. This year they return to share with Om Malik their thoughts on the rise of Cloud computing and what direction they see Amazon and Sun leading the evolution of the Cloud Computing industry and the opportunities it generates.,Om Malik,Founder,GigaOM,Greg Papadopoulos,"CTO and EVP, Research and Development",Sun Microsystems,
,,,,,,,Werner Vogels,VP and CTO,Amazon,
12:15 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,,
,HP/AMD – Room 1,Scaling the Cloud: Maximizing Performance Per Watt Per Square Foot,How do you design and deploy an extreme scale data center? Meeting modern computing needs requires streamlined server technologies designed for deployment in thousands of nodes. This workshop rethinks the design and operation of the next generation data center.,,,,Fred Worley,Scalable Computing & Infrastructure System Architect ,HP,
,,,,,,,Margaret Lewis,Director of Commercial Solutions and Software,AMD,
,CISCO – Room 2,The Enterprise Data Center and Cloud Computing,"In this highly interactive workshop session, the audience will explore the application of cloud computing to the Enterprise, including public clouds, private clouds, internal clouds and cloud interoperability. With so many options, what are the best choices for your enterprise?",,,,Doug Gourlay,"VP, Data Center Solutions",Cisco,
,,,,,,,James Urquhart,"Technology Strategist, Cloud Computing and Data Center Virtualization",Cisco,
1:15 PM,FIRESIDE CHAT,Facebook: A Conversation with it's Keeper,"Facebook could be considered one of the ultimate ""Web Scale"" applications. It's user base, it's meteoric growth and the infrastructure required to service it's enormous audience are awe inspiring. In this fireside chat we get to talk intimately with the man who has to manage the infrastructures well being. Not to be missed.",Om Malik,Founder,GigaOM,Jonathan Heiliger,"VP, Technical Operations",Facebook,
1:30 PM,PANEL,Toward Cloud Computing: Private Enterprise Clouds As A First Step,"Enterprises are cautious about migrating their most demanding applications to public clouds. Public cloud infrastructure can’t run all existing enterprise applications, particularly the most mission critical, without some modification and more advanced management software.  IT also faces concerns about security and control.  Yet the lure of self-service provisioning and usage-based pricing is still strong. The solution? Build your own cloud with your existing infrastructure investment as a first step. This panel will explore how enterprise clouds are likely to take shape, building on the evolution of virtualization infrastructure and systems management technology as a foundation.",George Gilbert,Co-Founder and Partner,TechAlpha,Kia Behnia,CTO,BMC Software,
,,,,,,,Dr. Stephen Herrod,CTO and Sr. VP of R&D,VMware,
,,,,,,,Chuck Hollis,"VP, CTO of Global Marketing",EMC Corporation,
,,,,,,,K. Scott Morrison,Chief Architect,Layer 7 Technologies,
,,,,,,,James Urquhart,"Technology Strategist, Cloud Computing and Data Center Virtualization",Cisco,
,,,,,,,Brandon Watson,"Director, Azure Services Platform",Microsoft,
2:15 PM ,KEYNOTE,Real-Time Cloud,,,,,Marc Benioff,Chairman and CEO,salesforce.com,
2:45 PM,PANEL,"Better Broadband: Enabling the Cloud Era
","We're building huge Cloud Computing cities, but are we neglecting the already clogged broadband highways between them? As internal data center networking speeds start to exceed 40 Gbps, the pipes that connect those clouds to the outside world and each other will hit their limits. This panel examines what stress fractures we may see initially, what technology can do about it, and who will ultimately pay for it. ",Dave Asprey,"VP, Technology and Corporate Development",Blue Coat Systems,Kenneth Duda,VP Software Engineering,Arista Networks,
,,,,,,,Tobias Ford,"Assistant VP, IT",AT&T,
