IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,timestamp,P Twitter,P Facebook,P LinkedIn
,yes,yes,yes,m,Kevin ,Efrusy,Partner,"Accel Partners
","Partner, Accel Partners",,,speaker,yes,"Kevin joined Accel in 2003. He served two stints as an EIR at Kleiner Perkins Caufield and Byers where he started Corio, an ASP/SaaS pioneer which went public and was acquired by IBM in 2005. Later he served as the first CEO of IronPlanet, an online marketplace for heavy equipment with current annual gross sales over $350m. Kevin focuses primarily on consumer internet services and SaaS/open source software. Within consumer services, he sourced Accel’s investment in Facebook where he is a board observer, and led Accel's investments in Metacafe, Medio Systems, Mig33, Tumri, and EveryZing, Within SaaS/open source software, he led investments or serves on the boards of Xensource (acquired by Citrix), Genius, SpringSource, Northscale, Terracotta, and Aptana. He also currently serves on the board of BBN Technologies. Kevin has an MSEE, BSEE, and BA in Economics from Stanford University, and an MBA from the Stanford GSB.",,,,
,yes,yes,yes,m,Joseph,Tobolski,Director of Cloud Computing,"Accenture
","Director of Cloud Computing, Accenture",,,speaker,yes,"Joseph Tobolski is a Senior Executive in Accenture Technology Labs. This group generates game changing results by creating innovations using emerging technologies and applying them in client engagements. Joseph leads Accenture’s cloud computing for infrastructure. He also has responsibility for R&D, infrastructure technology vision and asset development related to data centers, networking, security and biometrics. Joseph holds a MS in Mechanical Engineering and a BS in Industrial Engineering from the University of Illinois at Urbana-Champaign.
",,,,
,yes,yes,no,m,Paul,Sagan,President and CEO,Akamai,"President and CEO, Akamai",2,2,keynote,yes,"Paul Sagan, president and CEO of Akamai, joined the company in October 1998.  Mr. Sagan was elected to the Akamai Board of Directors in January 2005, and he became CEO in April 2005.  He brings to Akamai the experience of leading visionary technology companies and media businesses and a wealth of management experience. Previously, Mr. Sagan served as senior advisor to the World Economic Forum from 1997 to 1998, consulting to the Geneva-based organization on information technology for the world's 1,000 foremost multinational corporations. In 1995, Mr. Sagan was named president and editor of new media at Time Inc., a division of Time Warner, and worked in that role until 1997.  Previously, he served as managing editor of Time Warner's News on Demand project and was a senior member of the team responsible for the development of the company's online, cable online, electronic publishing, and Internet publishing activities.  He was a founder of Road Runner, the world's first broadband cable modem service, and Pathfinder, one of the Web properties that pioneered Internet advertising. Mr. Sagan joined Time Warner in 1991 to design and launch NY 1 News, the cable news network based in New York City.  The most successful regional news channel in the nation, NY 1 News became known for its groundbreaking use of digital video technology and video journalists carrying their own small-format cameras.  Mr. Sagan's career began in broadcast television news.  He joined WCBS-TV in 1981 as a news writer and was named news director in 1987 at age 28, the youngest person to hold the position in the network's history. Mr. Sagan is a three-time Emmy Award winner and was named a Global Leader for Tomorrow in 1996 by the World Economic Forum.  Mr. Sagan is a Trustee of Northwestern University and a graduate of the University's Medill School of Journalism.  ",,,,
,yes,yes,yes,m,Werner,Vogels,VP and CTO,Amazon,"VP and CTO, Amazon",3,,speaker,yes,"Dr. Vogels is Vice President & CTO at Amazon.com where he is responsible for driving the company's technology vision, which is to continuously enhance innovation on behalf of Amazon's global customers. Prior to joining Amazon, he worked as a researcher at Cornell University where he led several research projects that targeted the scalability and robustness of mission-critical enterprise computing systems. He has held positions of VP of Technology and CTO in companies that handled the transition of academic technology into industry. Vogels holds a Ph.D. from the Vrije Universiteit in Amsterdam and has authored many articles, most of them on distributed systems technologies for enterprise computing. He was named the 2008 CTO of the Year by Information Week for his contributions to Cloud Computing.",,,,
,yes,yes,yes,m,Kenneth,Duda,VP Software Engineering,Arista Networks,"VP Software Engineering, Arista Networks",25,,speaker,yes,"Ken is a proven pioneer in high-performance networking software.  Ken's Ph.D. project at Stanford provided the software foundation for Granite Systems, acquired by Cisco Systems in 1996, where Ken led the productization of this software.  From 1999 to 2004, Ken served as Chief Technology Officer of virtual worlds startup There.com, he played a leading role in designing and building a real-time 3-D distributed system that scaled to tens of thousands of simultaneous users.  In 2004, Ken co-founded Arista Networks, where he serves as VP engineering, overseeing the design and development of Arista's Extensible Operating System (EOS).  Ken studied Computer Science and Electrical Engineering at MIT, receiving three degrees in 1993, and holds a Ph.D. in Computer Science from Stanford University.
",,,,
,yes,yes,yes,f,Michelle,Munson,President and Co-Founder,Aspera,"President and Co-Founder, Aspera",11,,speaker,yes,"Michelle Munson, president and co-founder of Aspera, Inc., is co-inventor of Aspera’s core technology and responsible for overseeing the company’s direction. Before founding Aspera in 2004, Michelle was a software engineer in several research and start-up companies including the IBM Almaden Research Center in San Jose, California. She is a frequent speaker on how new data transfer technologies are revolutionizing content production, transformation and distribution workflows. A Fulbright Scholar, Ms. Munson holds B.S. degrees in electrical engineering and physics from Kansas State University, as well as a master's in computer science from Cambridge University. She was the 2006 KSU College of Engineering Alumni Fellow (the youngest recipient ever), and has received national achievement awards from Glamour Magazine and USA Today. ",,,,
,yes,yes,yes,m,Tasso ,Argyros,CTO and Co-Founder,"Aster Data Systems
","CTO, Aster Data Systems",,,speaker,yes,"Tasso (or Tassos) took a leave of absence from the Ph.D. program at Stanford University to co-found Aster Data Systems. As a Ph.D. student, he was a member of the Distributed Systems Group and investigated extreme-scale cluster architectures for fast, parallel data processing across large farms of commodity servers. During his tenure at Stanford, Tasso was a SAP Graduate Fellow and earned a Master's degree in Computer Science. Before studying at Stanford, he conducted research in data mining for temporal and web databases at the Technical University of Athens. Tasso enjoys skydiving and many other adrenaline-enhancing activities.",,,,
,yes,yes,yes,m,Tobias,Ford,"Assistant VP, IT",AT&T,"Assistant VP, IT, AT&T
",14,,speaker,yes,"As Assistant Vice President of Technology for AT&T Application Services business, Mr. Ford leads the technology efforts designed to enhance and streamline delivery of AT&T’s hosting, outsourced application management, security, unified communication, AT&T Telepresence, and intelligent content distribution service offerings.  In this role, he is responsible for the development of the technology roadmap that directs future enhancements to reduce customer’s operating costs, increase application performance, and improve quality of service.  His long-term leadership in programming methodology, system management and development and information technology research and development has led to several patents pending.  Mr. Ford was Chief Technology Officer for USInternetworking when it was acquired by AT&T in 2006.  He holds a Bachelor of Science in Electrical Engineering from Cornell University.",,,,
,yes,yes,yes,m,Joe,Weinman,"Strategy and Business Development VP
",AT&T Business Solutions,"Strategy and Business Development VP, AT&T Business Solutions
",,,speaker,yes,"Joe Weinman leads global portfolio strategy and business development for AT&T.  A 28-year veteran of the company, a prolific inventor and author, and frequent global keynote speaker, he has held a variety of executive positions of increasing responsibility spanning research and development at AT&T Bell Laboratories, marketing, sales, product management, engineering and operations, and corporate strategy and business development.  He has a BS and MS in Computer Science from Cornell University and UW-Madison respectively, and has completed Executive Education at the International Institute for Management Development in Lausanne. ",,,,
,yes,yes,yes,m,Peter,Fenton,General Partner,Benchmark Capital,"General Partner, Benchmark Capital",,,speaker,yes,"Peter Fenton joined Benchmark Capital in 2006 after spending seven years as a partner with Accel Partners, where his investment interests included software, digital media, and technology enabled services. Prior to joining the venture capital community, he spent several years working with Silicon Valley software and high-technology companies as an entrepreneur and strategy consultant. He was an early employee at Virage, a multimedia information retrieval company that went public on the NASDAQ in 2000. Current Investments: EngineYard, FriendFeed, Hyperic, Lithium, New Relic, Pentaho, Polyvore, SpringSource, Terracotta, Twitter, Yelp, and Zuora. Education: MBA from Stanford Business School, Arjay Miller Scholar; BA from Stanford University, Phi Beta Kappa.",,,,
