Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,Media Partner URL
,,,,,,,,,http://event.gigaom.com/structure/sponsors/media-partners/
yes,yes,3leaf,3 Leaf Systems,,,showtime,http://3leafsystems.com/,,
no,yes,accenture,Accenture,,,primetime,http://www.accenture.com/,,
yes,yes,akamai,Akamai,,,primetime,http://www.akamai.com/,,
yes,yes,amd,AMD,,,primetime,http://www.amd.com/,,
yes,yes,appistry,Appistry,,,showtime,http://www.appistry.com/,,
yes,yes,aria,Aria,,,showtime,http://www.ariasystems.com/,,
yes,yes,aspera,Aspera,,,showtime,http://www.asperasoft.com/,,
yes,yes,boomi,Boomi,,,showtime,http://boomi.com/,,
yes,yes,canaan,Canaan Partners,,,primetime,http://www.canaan.com/,,
yes,yes,castiron,Cast Iron Systems,,,showtime,http://www.castiron.com/,,
yes,yes,churchill,Churchill Club,,,mediapartner,http://www.churchillclub.org/,,
yes,yes,cisco,Cisco,,,primetime,http://cisco.com/,,
yes,yes,cloudcamp,CloudCamp,,,mediapartner,http://www.cloudcamp.com/,,
yes,yes,datacenterknowledge,Data Center Knowledge,,,mediapartner,http://www.datacenterknowledge.com/,,
yes,yes,emc,EMC,,,primetime,http://www.emc.com/,,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,,
yes,yes,hp,HP,,,primetime,http://hp.com/,,
yes,yes,ibackup,iBackup,,,showtime,http://www.ibackup.com/,,
yes,yes,idrive,iDrive,,,showtime,http://www.idrive.com/,,
yes,yes,intuit,Intuit,,,showtime,https://ipp.developer.intuit.com/,,
yes,yes,joyent,Joyent,,,showtime,http://joyent.com/,,
yes,yes,juniper,Juniper Networks,,,primetime,http://www.juniper.net/,,
yes,yes,livestream,Livestream,,,streaming,http://livestream.com/,,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,,
yes,yes,mediatemple,Media Temple,,,reception,http://mediatemple.net/,,
yes,yes,microsoft,Microsoft,,,primetime,http://www.azure.com/,,
yes,yes,mosso,Mosso,,,showtime,http://mosso.com/,,
yes,yes,natpe,NATPE,,,mediapartner,http://www.natpe.org/natpe/,,
yes,yes,openforum,OPEN Forum 2009,,,mediapartner,http://opensiliconvalley.org/,,
yes,yes,parascale,ParaScale,,,showtime,http://www.parascale.com/,,
yes,yes,peer1,PEER 1,,,headline,http://www.peer1.com//,,
yes,yes,pivot3,Pivot3,,,showtime,http://www.pivot3.com/,,
yes,yes,rightscale,RightScale,,,showtime,http://www.rightscale.com/,,
yes,yes,rfop,Room Full of People,,,mediapartner,http://rfop.biz/,,
yes,yes,sap,SAP,,,primetime,https://www.sme.sap.com/irj/sme/en/home/,,
yes,yes,sap-small,SAP,,,reception,https://www.sme.sap.com/irj/sme/en/home/,,
yes,yes,savvis,Savvis,,,showtime,http://www.savvis.net/,,
yes,yes,failcon,SNAP Summit - FailCon '09,,,mediapartner,http://snapsummit.com/,,
yes,yes,siia,Software & Information Industry Association,,,mediapartner,http://www.siia.net/ondemand/2009/,,
yes,yes,storm,Storm Ventures,,,reception,http://stormventures.com/,,
yes,yes,stratascale,StrataScale,,,showtime,http://www.stratascale.com/,,
yes,yes,sun,Sun Microsystems,,,primetime,http://sun.com/cloud,,
yes,yes,terremark,Terremark,,,showtime,http://www.terremark.com/,,
yes,yes,tie,TiE (The Indus Entrepreneurs),,,mediapartner,http://www.tie.org/,,
yes,yes,twilio,Twilio,,,showtime,http://www.twilio.com/,,
yes,yes,venturebeat,VentureBeat,,,mediapartner,http://venturebeat.com/,,
yes,yes,vmware,VMware,,,primetime,http://vmware.com/,,
yes,yes,women20,Women 2.0,,,mediapartner,http://www.women2.org/,,
yes,yes,witi,Women In Technology,,,mediapartner,http://www.witi.com/summit,,
yes,yes,zuora,Zuora,,,showtime,http://zuora.com/,,
