Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company,Room
6/23/2010,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,,
,8:30 AM,OPENING REMARKS,,,Emcee - Joe Weinman,Strategy and Business Development VP,AT&T,Stacey Higginbotham,Staff Writer,GigaOM,
,,,,,,,,Om Malik,Founder,GigaOM,
,8:40 AM,Cloudonomics: The Value of the Cloud,,"The most important question to ask about the cloud is: why?  Does it reduce cost, improve collaboration, speed the real-time enterprise, increase enterprise agility? And if so, in which scenarios?  What are the implications for architectures, ecosystem trends and private/public/hybrid alternatives?  In this panel, moderated by the creator of the term ""cloudonomics,"" we engage leading thinkers about the value structure of the cloud for business.",Joe Weinman,Strategy and Business Development VP,AT&T,Eric Berridge,Principal and Co-Founder,Bluewolf ,
,,,,,,,,"William	Forrest 
",Principal,McKinsey and Company,
,,,,,,,,John Hagel ,"Director and Co-Chairman, Center for the Edge
",Deloitte Consulting LLP,
,,,,,,,,"James	Staten
",Principal Analyst,Forrester Research ,
,,,,,,,,Joseph Tobolski,Senior Executive,Accenture,
,9:20 AM,Storage and the Cloud,,"One of the earliest areas to be impacted by cloud computing was storage, the disruption of which continues today. Stacey Higginbotham talks with the man behind the cloud computing initiatives of EMC -- which many view as the 800-pound gorilla of the storage space -- about the impact its efforts will have on the cloud storage landscape.",Stacey Higginbotham,Staff Writer,GigaOM,Harel Kodesh,"President, EMC Cloud Infrastructure Business ",EMC Corporation,
,9:40 AM,The State of the Cloud Address,,"Werner Vogels helped to elevate the cloud computing industry into the mainstream when his team at Amazon launched EC2 and S3 a few years back. We asked Werner to deliver a very special ""State of the Cloud"" address in which he talks about where Amazon sees cloud computing currently and where he plans to take the industry next.",,,,Werner Vogels,CTO and Vice President,Amazon,
,10:10 AM,BREAK,,(Optional Workshops - Located on Level 2),,,,,,,
,,Spiceworks Workshop – Room 1,Building and Marketing Cloud Services to Reach 5 Million SMB IT Pros,IT Pros in the world’s SMBs control the adoption of cloud services for nearly 200 million employees.  Fully tapping this multi-billion dollar opportunity requires a simpler approach to managing and distributing cloud services.  Learn how Spiceworks and Rackspace have teamed to bring the cloud into the daily workflow of IT pros worldwide.,Jay Hallberg,Co-Founder and VP Marketing,Spiceworks,Bill Boebel,CTO,Rackspace Email & Apps,
,,,,,,,,Tabrez Syed,"Director, Product and Platform",Spiceworks,
,,,,,,,,Tom Thaddeus,Sales Director,Rackspace Email & Apps,
,,Tilera Workshop – Room 2,"How can you fit 10,000 general purpose cores in a rack?","X86 processors roadmap provides incremental improvements. Is 50% improvement in compute per watt enough? To get an order of magnitude better performance, at the same power footprint, new thinking is required. Join us for a presentation on Tilera’s new architecture and how it solves today’s power and cost issues.",,,,Ihab Bishara,Director of Cloud Computing Products,Tilera,
,,Intel Workshop – Room 3,Building Clouds: Key Lessons from Intel Cloud Builder program and IT@Intel,"It is challenging enough to stand up a cloud. Intel Cloud Builder can help. It is yet another level of challenge to operate at large scale. Intel IT is currently operating about 100,000 servers worldwide. Come hear the lessons learned from designing, building, and operating clouds in the Intel Cloud Builder program and from Intel IT about how a mature IT organization can transition from a traditional infrastructure to a cloud-based infrastructure.",,,,Billy Cox,"Director, Cloud Software Strategy",Intel ,
,,,,,,,,Chris Peters,Manager,Intel IT,
,10:50 AM,The First Step to ROI: Analytics and Management Layers,,"""You cannot manage what you cannot measure"" -- or so the saying goes. That's especially true when it comes to investing in the cloud. In order to understand both the ROI and the performance of the deployment, the cloud client has to turn to reporting and management layers. In this session we talk to leading technology providers about the conflict between providing operators with the correct decision-making tools vs. creating policy-driven, intelligent infrastructure.",Sebastian Stadil,CEO,Scalr,William “Skip” Bacon,VP of Products and CTO,Virtual Instruments,
,,,,,,,,Michael A.	Jackson,"Co-Founder, President, and COO",Adaptive Computing,
,,,,,,,, 	Jagan Jagannathan,Founder and CTO,Xangati,
,,,,,,,,Alex Polvi,CEO and Co-Founder,Cloudkick,
,,,,,,,,Javier Soltero,CTO for Management Products  ,SpringSource,
,11:30 AM,Hitting Reset: Reinventing Core Internet Technologies,,"The Internet was designed to survive a cold war nuclear apocalypse. That was in 1970. In 2010, the infrastructure of the Internet is being strained by, among other things, clouds and their thirsty customers. In this talk Professor Nick McKeown of Stanford University presents the radical new technologies being created by his team that promise to create an Internet that will serve us well into the future.",,,,Nick McKeown,Professor of Electrical Engineering and Computer Science and Faculty Director of the Clean Slate Program,Stanford University,
,11:50 AM,"KEYNOTE:Hello, Cloud 2",,,Om Malik,Founder,GigaOM,Marc Benioff,Chairman and CEO,Salesforce.com,
,12:20 PM,LUNCH,,(Optional Workshops - Located on Level 2),,,,,,,
,,Salesforce.com Workshop – Room 1,Developing Social Enterprise Apps with Salesforce Chatter and Force.com ,"Finally, it's easy to build business apps that are as collaborative and easy to use as social networking sites like Facebook. Thanks to the brand-new Salesforce Chatter, any cloud app built on Force.com can include social features like feeds, profiles, and status updates – all without writing any new code. Learn how your development projects can embrace the new world of collaborative business cloud apps.",,,,Stacey Epstein,"VP, Marketing",ServiceMax,
,,,,,,,,Ariel Kelman,"VP, Product Marketing",Salesforce.com,
,,CDNetworks Workshop – Room 2,Accelerating the Cloud – Application Acceleration Solutions Promise Significant Performance Improvements for SaaS Providers,"With the Software as a Service industry forecasted to reach $14B by 2013, the inherent delays and performance problems caused by Internet latency and congestion are proving to be a significant problem for companies looking to deliver mission-critical web-based initiatives online, especially over long distances. Find out how application acceleration solutions can help SaaS providers and enterprises dramatically increase the speed and performance of web-based applications, leading to increased productivity, lower operating costs, and improved end-user experience.",,,,Rich Day,CTO,CDNetworks,
,,AMD Workshop – Room 3,Does Your Cloud Cluster go to 11?,AMD’s Margaret Lewis will lead a “Chalk Talk” about the challenges and opportunities that companies need to consider when building out or revamping a cloud cluster.,,,,Margaret Lewis,"Director, Software Solutions",AMD,
,1:20 PM,Evolving x86 for the Cloud ,,"AMD is developing products that leverage GPU and x86 CPU capabilities from desktops to power large clouds . We will sit down with Rick Bergman, who heads up all of AMD's processor and computing platforms initiatives, to talk to him about the continuing evolution of the x86 architecture and its place in cloud computing's future.",Stacey Higginbotham,Staff Writer,GigaOM,Rick Bergman,SVP,AMD,
