,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type,Bio Ready?,Biography,timestamp
y,yes,yes,yes,M,Jonathan, Heiliger,"VP, Technical Operations",Facebook,"VP, Technical Operations, Facebook",7,,Speaker 2010,yes,"Jonathan Heiliger is the Vice President of Technical Operations at Facebook, where he oversees global infrastructure, site architecture and IT. Prior to Facebook, he was a technology advisor to several early-stage companies in connection with Index Ventures and Sequoia Capital. He formerly led the engineering team at Walmart.com, where he was responsible for infrastructure and building scalable systems. Jonathan also spent several years at Loudcloud (which became Opsware and was later acquired by HP) as the Chief Operating Officer. Earlier in his career, Jonathan was the CTO of Frontier GlobalCenter, and later founded Global Crossing's corporate venture capital group.
",
y,yes,yes,yes,M,Anant,Agarwal,Co-Founder and CTO,Tilera,"Co-Founder and CTO, Tilera",9,,Speaker 2010,yes,"Dr. Agarwal is also Professor of Electrical Engineering & Computer Science at MIT, and Associate Director of the MIT CSAIL Laboratory. He led a group that developed Sparcle (1992), an early multithreaded microprocessor based on SPARC architecture, and the Alewife machine, a scalable shared-memory multiprocessor (1993). At MIT's CSAIL lab, Agarwal led the Raw project, developing a tiled multicore microprocessor for instruction level parallelism (ILP) and streams (2002). He has been a founder of several successful start-ups, including Virtual Machine Works, Inc. (1993). Agarwal won the Maurice Wilkes Prize for computer architecture (2001), the Presidential Young Investigator Award (1991), and the Louis D. Smullin Award for teaching excellence (2005). Agarwal holds a Bachelor's from IIT Madras and a Ph.D. in Electrical Engineering from Stanford.",1268183997
y,yes,yes,yes,M, Lawrence ,Aragon,Editor-in-Chief,Venture Capital Journal and Private Equity Week,"Editor-in-Chief, Venture Capital Journal and Private Equity Week",11,,Speaker 2010,yes,"Lawrence Aragon is Editor-in-Chief of Venture Capital Journal and Private Equity Week, which are published by Thomson Reuters. Aragon has been a business journalist and editor for more than 19 years. He has covered venture capital off and on since the early 1990s. Before being named editor of VCJ and PE Week in 2002, he was VC Editor for Red Herring magazine. Prior to that, he was a writer for VARBusiness, PC Week and the San Jose Business Journal. Aragon’s writing has won awards from American Business Media (the Jesse H. Neal Editorial Achievement Award), the Computer Press Association and CMP Media.",Last year info
y,yes,yes,yes,M,Dave,Asprey ,CTO,PulseTracer,"CTO, PulseTracer",,,Speaker 2010,yes,"Dave Asprey is CTO and founder of PulseTracer, where he is building cloud infrastructure to simultaneously collect 24/7 physiology information from hundreds of thousands of people. Dave was most recently Entrepreneur in Residence at Trinity Ventures and spent the last 17 years working in strategy, product management, and corporate & business development. He has worked at CDN, cloud computing, service provider, telecom, networking, virtualization, and SaaS companies. Over time, three of his companies were acquired, he created two early cloud services, and he owned strategic planning for two public companies with more than $1 billion in revenue. He's been an executive at Citrix, NetScaler, Blue Coat, Speedera (now Akamai), Exodus (now Savvis), 3Com, and Zeus Technology, and an advisor to a dozen more.",1265347082
y,yes,yes,yes,M,Larry,Augustin,CEO,SugarCRM,"CEO, SugarCRM",8,,Speaker 2010,yes,"Larry Augustin is the CEO of SugarCRM and an angel investor and advisor to early stage technology companies. He currently serves on the Boards of Directors of Appcelerator, Compiere, DeviceVM, DotNetNuke, Fonality, Hyperic, Medsphere and Pentaho. One of the group who coined the term ""Open Source"", he has written and spoken extensively on Open Source worldwide. Worth Magazine named him to their list of the Top 50 CEOs in 2000. From 2002 to 2004 he was a Venture Partner at Azure Capital Partners. In 1993 he founded VA Linux (now SourceForge, NASDAQ:LNUX) serving as CEO until August 2002. While CEO he launched SourceForge.net and led the company through an IPO in December 1999. ",1274123295
y,yes,yes,yes,M,Amr,Awadallah,CTO and Co-Founder,Cloudera,"CTO and Co-Founder, Cloudera",10,,Speaker 2010,yes,"Dr. Amr Awadallah co-founded VivaSmart (aka Aptivia) in June of 1999. Yahoo! acquired VivaSmart in June 2000, and uses the VivaSmart technology as the core of the Yahoo! shopping service. Amr served as Vice President of Engineering for a business intelligence and analysis team responsible for improving the Yahoo! search user experience and better monetizing the search site. That team used Hadoop extensively across the Yahoo! online services, including mail, search, finance and news. Amr received his Bachelor's and Master's degrees in Electrical Engineering from Cairo University, Egypt, in 1992 and 1995 respectively, and earned a doctorate in Electrical Engineering from Stanford University in 2007.",1264116122
y,yes,yes,yes,M,Skip,Bacon,VP of Products and CTO,Virtual Instruments ,"VP of Products and CTO, Virtual Instruments ",,,Speaker 2010,yes,"Skip Bacon is responsible for product strategy and planning, ensuring the NetWisdom product line uniquely meets customers’ needs.  Skip has more than 17 years of experience in product development and planning, leading efforts at companies such as Vendavo Inc., Siebel Systems, GT Capital Management, Oracle Corp. and MicroStrategy.  Most recently, he served as chief technology officer and senior vice president of product management at Vendavo Inc., a leading provider of B2B price optimization solutions.  During his tenure, the company shipped its largest-ever product release and more than doubled its revenues.  Prior to Vendavo, Skip served as group vice president of application technology at Siebel Systems where he had responsibility for Siebel’s Enterprise CRM application platforms, which were deployed by 4,000 customers worldwide.",1273798230
y,yes,yes,yes,M,Marc,Benioff,Chairman and CEO,salesforce.com,"Chairman and CEO, salesforce.com",3,,Speaker 2010,yes,"Marc Benioff is the chairman and CEO of salesforce.com, which he co-founded in 1999. Under Benioff's direction, salesforce.com has grown from a groundbreaking idea into a publicly traded company that is the leader in enterprise cloud computing. Salesforce.com has received a Wall Street Journal Technology Innovation Award, been lauded as one of BusinessWeek’s Top 100 Most Innovative Companies, named No. 7 on The Wired 40, and selected as a Top Ten Disrupter by Forbes. Benioff is the recipient of many awards for pioneering innovation, including the 2007 Ernst & Young Entrepreneur of the Year. In 2000, Benioff launched the Salesforce.com Foundation—now a multimillion-dollar global organization. He has been twice honored with the Points of Light Foundation Award for Excellence in Corporate Community Service.",1264454960
y,yes,yes,yes,M,Val,Bercovici,Cloud Czar and Chairman of SNIA's Cloud Storage Initiative,NetApp,"Cloud Czar and Chairman of SNIA's Cloud Storage Initiative, NetApp",,,Speaker 2010,yes,"Val is driving NetApp’s transformation to a full-fledged Cloud Computing enabler.  Val joined NetApp in 1998 and leads the Strategic Planning Team within the Office of the CTO. Working with customers, analysts, and alliance partners, Val is responsible for NetApp’s product vision. Val introduced the first Cloud Standard to the industry as Chairman of SNIA’s Cloud Storage Initiative. Previously, Val served as the Vice-Chair of SNIA’s Solid-State Storage Initiative. Val has over 25 years of IT industry experience spanning NCR (AT&T) and Cognos (IBM), including 12 years in storage at EMC and NetApp. Previously, he worked as a consultant to private industry and government. Val holds a B.Sc. in Computer Science from the University of Ottawa.",1273782986
y,yes,yes,yes,M,Rick ,Bergman,SVP,AMD,"SVP, AMD",,,Speaker 2010,yes,"Rick Bergman is senior vice president, AMD, with responsibility for delivering all of AMD’s platforms and products and aligning the graphics and microprocessor product development groups into a single unified organization. 
Bergman came to AMD via the acquisition of ATI in October 2006. He joined ATI in January 2001, from S3 Graphics, a division of SonicBlue Inc., where he served as chief operating officer. Bergman has served in a number of marketing and management roles in technology corporations, including Exponential Inc. and Texas Instruments, Inc. He began his engineering career at IBM Corp. Bergman holds a Bachelor of Science degree in electrical engineering from the University of Michigan and a master’s degree in business administration from the University of Colorado.",1273869788
