Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description
yes,yes,intel,Intel,2,,closing-reception,http://www.intel.com/,
yes,yes,magnify,Magnify Communications,,,management,http://www.magnifycom.com/,
yes,yes,churchill,Churchill Club,1,,mediapartner,http://www.churchillclub.org/,"**Churchill Club** is the valley’s premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. For more information, visit www.churchhillclub.org "
yes,yes,nextgen,NextGen Partners of Silicon Valley,2,,mediapartner,http://www.nextgenpartners.org/,"**NextGen Partners** facilitates the building of relationships among pre-partner Venture Capitalists. With a base of over 400 members representing over 200 firms, NextGen Partners is a catalyst for understanding the complementary skill sets of other investors, sharing deal-flow, and creating high-quality syndicates. We are building the relationships of tomorrow, today."
yes,yes,oasis,OASIS,3,,mediapartner,http://www.oasis-open.org/home/index.php,"**OASIS** is a not-for-profit consortium that drives the development, convergence and adoption of open standards for the global information society. The consortium produces more Web services standards than any other organization along with standards for security, e-business, and standardization efforts in the public sector and for application-specific markets. Founded in 1993, OASIS has more than 5,000 participants representing over 600 organizations and individual members in 100 countries. For more information, visit www.oasis.org"
yes,yes,scc,SearchCloudComputing.com,4,,mediapartner,http://www.searchcloudcomputing.com,"**SearchCloudComputing.com** is the Web's most comprehensive resource for cloud computing news and analysis. Learn who the key cloud players are and obtain best practices for properly utilizing and managing this technology. Stay informed through expert articles, tips, tutorials, newsletters, webcasts, white papers, and real-world case studies – all for free! For more information, www.searchcloudcomputing.com"
yes,yes,siia,SIIA,5,,mediapartner,http://www.siia.com/,"**The Software & Information Industry Association** is the principal trade association for the software and digital content industry. SIIA provides global services in government relations, business development, corporate education and intellectual property protection to the leading companies that are setting the pace for the digital age. For more information, visit www.siia.com"
yes,yes,snia,Storage Networking Industry Association  (SNIA),6,,mediapartner,http://www.snia.org,"**SNIA** is an industry-leading trade association chartered to advance IT technologies, standards, and education programs for  IT professionals. Some 400 member companies span the global storage market, connecting the IT industry with end-to-end storage and information management solutions. As a not-for-profit association, the SNIA enables our members to develop robust solutions for storing and managing the volumes of information generated by today’s businesses. Since 1997,  we have worked to bring recognition of storage issues to the IT world, making storage less complicated for the end user. As a result, the SNIA has adopted the role of industry catalyst for the devel­opment of storage solution architectures, specifications (including our latest CDMI specification for ""cloud storage"") and technologies, global standards, and storage education."
yes,yes,techalpha,TechAlpha,7,,mediapartner,http://www.techalpha.com/,"**TechAlpha** is a management consulting and research firm that advises clients in the applications and infrastructure sectors. Our clients include 3 of the world’s top 5 software companies, 2 of the top 10 financial sponsors, as well as early stage companies backed by Sequoia Capital, Redpoint Ventures, and Storm Ventures. For more information, visit www.techalpha.com"
yes,yes,thewhir,The Web Host Industry Review (The Whir),8,,mediapartner,http://www.thewhir.com/,"**The Web Host Industry Review** (www.thewhir.com) has made a name for itself as the foremost authority of the Web host industry providing reliable, insightful and comprehensive news, reviews to the hosting community. TheWHIR Blogs (www.thewhir.com/blogs) provides a community of expert industry perspectives. WHIR Magazine (www.thewhir.com/magazine) also offers a business-minded, issue-driven perspective. "
yes,yes,tie,TiE,9,,mediapartner,http://www.tiesv.org/,"**TiE** is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org"
yes,yes,vctaskforce,VC Taskforce,10,,mediapartner,http://www.vctaskforce.com/,"**VC Taskforce** is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com"
yes,yes,venturebeat,VentureBeat,11,,mediapartner,http://venturebeat.com/,"**VentureBeat** is a leading online innovation and technology news site for forward thinking executives and entrepreneurs. VentureBeat was recently ranked as the No. 1 business blog by PR firm Text100, and has also been selected by IDG to partner on the DEMO Conference series, where 70+ of the most compelling technology startups debut each year. VentureBeat also hosts its own conferences, such as MobileBeat and GamesBeat. For more information, visit www.venturebeat.com"
yes,yes,vlab,VLAB,12,,mediapartner,http://www.vlab.org/,"**MIT/Stanford Venture Lab (VLAB)** is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org"
yes,yes,witi,WITI,13,,mediapartner,http://www.witi.com/,"**WITI** is the premiere global organization empowering women in business and technology to attain their professional goals and dreams. With a global network of smart, tech-savvy women, WITI has powerful programs and partnerships that provide connections, resources, opportunities and a supportive environment. Since 1989, WITI has delivered value to individuals, small businesses, and corporations. www.witi.com. Build. Empower. Inspire."
yes,yes,accenture,Accenture,,,primetime,http://www.accenture.com/,
yes,yes,amd,AMD,1,,primetime,http://amd.com/,
yes,yes,bluewolf,Bluewolf,5,,primetime,http://www.bluewolf.com/,
yes,yes,cdnetworks,CDNetworks,,,primetime,http://www.us.cdnetworks.com/,
yes,yes,dell,Dell,3,,primetime,http://www.dell.com,
yes,yes,dupont,DuPont Fabros Technology,,,primetime,http://www.dft.com/,
yes,yes,emc,EMC,90,,primetime,http://www.emc.com/,
yes,yes,equinix,Equinix,,,primetime,http://www.equinix.com,
yes,yes,intel,Intel,2,,primetime,http://www.intel.com/,
yes,yes,joyent,Joyent,,,primetime,http://www.joyent.com/,
yes,yes,paraccel,ParAccel,,,primetime,http://www.paraccel.com/,
yes,yes,peer1,Peer1,,,primetime,http://www.peer1.com/,
yes,yes,salesforce,Salesforce.com,100,,primetime,http://www.salesforce.com/,
yes,yes,spiceworks,Spiceworks,,,primetime,http://www.spiceworks.com/,
yes,yes,terremark,Terremark,,,primetime,http://www.terremark.com/,
yes,yes,tilera,Tilera Corporation,,,primetime,http://www.tilera.com/,
yes ,yes,azure,Windows Azure,4,,primetime,http://www.microsoft.com/windowsazure/windowsazure/,
yes,yes,zeus,Zeus,,,primetime,http://www.zeus.com/,
yes,yes,zuora,Zuora,,,primetime,http://www.zuora.com,
yes,yes,eventbrite,Eventbrite,,,registration,http://eventbrite.com/,
yes,yes,abovenet,AboveNet,,,showtime,http://www.abovenet.com,
yes,yes,aspera,Aspera,,,showtime,http://www.asperasoft.com/,
yes,yes,cloudswitch,CloudSwitch,,,showtime,http://www.cloudswitch.com,
yes,yes,soasta,CloudTest by Soasta,,,showtime,http://www.soasta.com/,
yes,yes,cloupia,Cloupia,,,showtime,http://www.cloupia.com/,
yes,yes,clustrix,Clustrix,,,showtime,http://www.clustrix.com,
yes,yes,datadirect,DataDirect Networks,,,showtime,http://www.ddn.com/,
yes,yes,dreamface,DreamFace Interactive,,,showtime,http://www.dreamface-interactive.com/,
yes,yes,engineyard,Engine Yard,,,showtime,http://www.engineyard.com/,
yes,yes,gluster,Gluster,,,showtime,http://www.gluster.com,
yes,yes,gogrid,GoGrid,,,showtime,http://www.gogrid.com/,
yes,yes,heroku,Heroku,,,showtime,http://www.heroku.com,
yes,yes,hp,HP,1,,showtime,http://hp.com/,
yes,yes,ibm,IBM,100,,showtime,http://ibm.com/,
yes,yes,lewispr,Lewis PR,,,showtime,http://www.lewispr.com/,
yes,yes,mayfield,Mayfield,,,showtime,http://www.mayfield.com/,
