Publish?,Logo Ready?,Slug,Name,Order,Tagline,Featured,Type,URL,Description,,Media Partner URL
,,,,,,,,,,,http://event.gigaom.com/structure/sponsors/media-partners/
yes,yes,8x8,8x8,,,no,showtime,http://www.8x8.com,,,
yes,yes,aberdeen,Aberdeen Group,1,,yes,mediapartner,http://www.aberdeen.com/,"- For more than two decades, Aberdeen's research has been helping corporations worldwide become Best-in-Class. Having benchmarked the performance of more than 644,000 companies, Aberdeen's research is relied on by more than 2.5 million readers in over 40 countries, 90% of the Fortune 1,000, and 93% of the Technology 500.",,
yes,yes,abiquo,Abiquo,,,no,primetime,http://www.abiquo.com,,,
yes,yes,accenture,Accenture,,,no,primetime,http://www.accenture.com,,,
yes,yes,amazon,Amazon,,,no,primetime,http://www.amazon.com,,,
yes,yes,amd,AMD,,,no,primetime,http://amd.com/,,,
yes,yes,amd,AMD,,,no,vip-reception,http://amd.com/,,,
yes,yes,arista,Arista Networks,,,no,showtime,http://www.aristanetworks.com,,,
yes,yes,arraynetworks,Array Networks,,,no,showtime,http://www.arraynetworks.net,,,
yes,yes,aryaka,Aryaka,,,no,showtime,http://www.aryaka.com,,,
yes,yes,aspera,Aspera,,,no,showtime,http://www.asperasoft.com/,,,
yes,yes,bigclouddata,BigDataCloud ,2,,yes,mediapartner,http://www.bigdatacloud.com/,"- Blogs & Monthly Meet-ups to help, educate and de-mystify ""Big Data” & “Cloud Computing” technologies to businesses, professionals & individuals.",,
yes,yes,boogarlists,BoogarLists,3,,yes,mediapartner,http://www.boogar.com/,"- With a qualified directory of more than 2,000 Venture Capital and Mid-Market/LBO private equity firms, BoogarLists is an excellent place for entrepreneurs to begin their search for investment capital. Whether starting a new company or striving to take an early stage company to the next level, CEO’s and CFO’s will invariably want to seek out new sources of capital or other financial services.",,
yes,yes,brocade,Brocade,,,no,primetime,http://www.brocade.com,,,
yes,yes,catech,CA Technologies,,,no,primetime,http://www.ca.com,,,
yes,yes,calxeda,Calxeda,,,no,showtime,http://www.calxeda.com,,,
yes,yes,canonical,Canonical,,,no,primetime,http://www.canonical.com,,,
yes,yes,churchill,Churchill Club,4,,yes,mediapartner,http://www.churchillclub.org,"is the valley’s premier business and technology forum.  This  23 year old non-profit has built a rep for dynamic, in-the-news programs where CEOs, up-and-coming execs and national business and thought leaders meet to discuss and debate, inform and educate, forecast and evaluate. Past speakers:  Microsoft (Bill Gates and Steve Ballmer), Cisco Systems (John Chambers), Intel (Bob Noyce),  John Doerr, Roger McNamee, Michael Moritz, George W. Bush, Bill Clinton, Rudy Giuliani and John McCain. For more information, visit www.churchhillclub.org ",,
yes,yes,cisco,Cisco,,,no,primetime,http://www.cisco.com/,,,
yes,yes,cloudcamp,CloudCamp,5,,no,mediapartner,http://cloudcamp.org/sf/2011-6-22," is an unconference where attendees exchange ideas, knowledge and information in a creative and supporting environment. With over 250 events and 25,000 attendees around the world, CloudCamp is the largest grass-roots, in-person, Cloud Computing community on the planet. Join us atCloudCamp SF following Structure on Wednesday June 22nd where you can listed to 5-minute Lightning Talks, mingle with experts and engage in unconference discussions with other Cloud Computing enthusiasts. http://cloudcamp.org/sf/2011-6-22",,
yes,yes,cloudchronicle,CloudChronicle.com,6,,no,mediapartner,http://www.CloudChronicle.com," is an independent source of information focused on cloud enabled web services, cloud computing ""as a service"" technologies, data security issues, standardization, and more.  We sit down with industry innovators and experts to discuss their role in cloud computing via a regular podcast and a stream of news containing product announcements and original editorials.  Each episode of the podcast showcases individuals or organizations and their contributions to the industry through an informal discussion around technology and business.",,
yes,yes,cloudsigma,CloudSigma,,,no,showtime,http://www.cloudsigma.com/,,,
yes,yes,cloudswitch,CloudSwitch,,,no,showtime,http://www.cloudswitch.com,,,
yes,yes,cloudtimes,CloudTimes ,7,,no,mediapartner,http://cloudtimes.org,"is a leading technology media property, dedicated to providing in-depth research and breaking news on Cloud Computing and related topics. Apart from its well-known news section, CloudTimes hosts the largest research database on the web, featuring free whitepapers, webinars and articles from leading IT companies. Visit us http://cloudtimes.org",,
yes,yes,ddn,DataDirect Networks,,,no,primetime,http://www.datadirectnet.com/,,,
yes,yes,datastax,DataStax,,,no,showtime,http://www.datastax.com,,,
yes,yes,dell,Dell,,,no,showtime,http://www.dell.com,,,
yes,yes,deloitte,Deloitte,,,no,primetime,http://www.deloitte.com,,,
yes,yes,dat,DESIGN about TOWN,8,,no,mediapartner,http://designabouttown.com,"is a web design and graphic design firm in San Francisco, California. Since our opening in 2005 we have focused exclusively on providing top-notch branding execution, web design and  graphic design for our clients. ",,
yes,yes,dotcloud,DotCloud,,,no,showtime,http://www.dotcloud.com,,,
yes,yes,etrade,E*TRADE,,,no,reception,http://www.etrade.com,,,
yes,yes,engineyard,Engine Yard,,,no,showtime,http://www.engineyard.com/,,,
yes,yes,eventbrite,Eventbrite,,,no,registration,http://eventbrite.com/,,,
yes,yes,fastsoft,FastSoft,,,no,showtime,http://www.fastsoft.com,,,
yes,yes,gale,Gale Technologies ,,,no,showtime,http://www.galetechnologies.com,,,
yes,yes,gist,Gist,,,no,primetime,http://www.gist.com,,,
yes,yes,gogrid,GoGrid,,,no,primetime,http://www.gogrid.com,,,
yes,yes,hp,HP,,,no,primetime,http://www.hp.com,,,
yes,yes,ibm,IBM,,,no,primetime,http://ibm.com/,,,
yes,yes,ida,IDA Ireland,,,no,showtime,http://www.idaireland.com/,,,
yes,yes,idrive,IDrive - Pro Softnet Corp.,,,no,showtime,http://www.IDrive.com,,,
yes,yes,informationweek,InformationWeek,9,,no,mediapartner,http://www.informationweek.com," is the industry’s foremost technology media brand focused on the business value of technology.  Our magazines and events help CIOs and IT executives define and frame their business technology objectives, while our vast portfolio of online resources deliver breaking news, blogs, and proprietary research and analysis on IT trends, whitepaper library, and interactive tools, all in a 24/7 environment.",,
yes,yes,insidehpc,insideHPC.com,10,,no,mediapartner,http://www.insideHPC.com," is one of the most popular news sites focused on high performance computing, serving up hundreds of thousands of page views each month to a highly targeted, dedicated following of supercomputing professionals. With up to a dozen news updates per day, insideHPC tracks the leading edge of technology. For more information, visit www.insideHPC.com",,
yes,yes,intel2,Intel,,,no,headline,http://www.intel.com,,,
yes,yes,joyent,Joyent,,,no,showtime,http://www.joyent.com/,,,
yes,yes,layer7tech,Layer 7 Technologies,,,no,showtime,http://www.layer7tech.com,,,
yes,yes,lexisnexis,LexisNexis,,,no,reception,http://www.lexisnexis.com,,,
yes,yes,livestream,Livestream,,,no,streaming,http://livestream.com/,,,
yes,yes,magnify,Magnify Communications,,,no,management,http://www.magnifycom.com/,,,
yes,yes,mayfield,Mayfield Fund,,,no,showtime,http://www.mayfield.com/,,,
yes,yes,mediatemple,Media Temple,,,no,showtime,http://mediatemple.net/,,,
yes,yes,metanga,Metanga,,,no,showtime,http://www.metanga.com/,,,
yes ,yes,microsoft,Microsoft,,,no,primetime,http://www.microsoft.com,,,
yes,yes,vlab,MIT/Stanford Venture Lab (VLAB),11,,no,mediapartner,http://www.vlab.org/,"is a non-profit organization promoting the growth and success of high-tech entrepreneurial ventures by connecting ideas, technology and people. We provide a forum for entrepreneurs, industry experts, venture capitalists, private investors and technologists to exchange insights about how to effectively grow high-tech ventures amidst dynamic challenges. For more information, visit www.vlab.org",,
yes,yes,mohrdavidow,Mohr Davidow,,,no,primetime,http://www.mdv.com,,,
yes,yes,nasdaqomx,NASDAQ OMX,,,no,showtime,http://www.nasdaqomx.com/,,,
yes,yes,nasuni,Nasuni,,,no,showtime,http://www.nasuni.com,,,
yes,yes,netapp,NetApp,,,no,primetime,http://www.netapp.com,,,
yes,yes,newrelic,New Relic,,,no,showtime,http://www.newrelic.com/,,,
yes,yes,nimbus,Nimbus Data Systems,,,no,primetime,http://www.nimbusdata.com/,,,
yes,yes,nvp,Norwest Venture Partners,,,no,showtime,http://www.nvp.com/,,,
yes,yes,oasis,OASIS,12,,no,mediapartner,http://www.oasis-open.org/home/index.php,"is a not-for-profit consortium that drives the development, convergence and adoption of open standards for the global information society. The consortium produces more Web services standards than any other organization along with standards for security, e-business, and standardization efforts in the public sector and for application-specific markets. Founded in 1993, OASIS has more than 5,000 participants representing over 600 organizations and individual members in 100 countries. For more information, visit www.oasis.org",,
yes,yes,parisoma,pariSoma,13,,no,mediapartner,http://www.pariSoma.com,"is a collaborative place for coworking and events in the SoMa district of San Francisco. We host events for entrepreneurs, startups and independent professionals while providing an innovative coworking space through which we seek to promote the growth of collective intelligence and innovation. For more information, visit www.pariSoma.com",,
yes,yes,pentaho,Pentaho,,,no,showtime,http://www.pentaho.com,,,
yes,yes,piston,Piston,,,no,showtime,http://piston.cc,,,
yes,yes,platform,Platform Computing,,,no,showtime,http://www.platform.com,,,
yes,yes,plugnplay,PlugandPlayTechCenter.com ,14,,no,mediapartner,http://www.PlugandPlayTechCenter.com,",located in the heart of Silicon Valley, is a community of 300 technology startup companies in the areas of Web 2.0, software (SaaS), systems, semiconductor and telecomm verticals. Since its inception in January 2006 the center has helped the startups raise in excess of $750 million in venture funding. We are committed to cultivating the next generation of revolutionary start-ups in Silicon Valley that will impact people globally.",,
yes,yes,programmableweb,ProgrammableWeb,15,,no,mediapartner,http://www.programmableweb.com/," is a crucial online resource for application developers and businesses – a centralized source of tools and information, including API news, ratings, success stories and an easy-to-browse database of APIs and mashups. The API Directory includes over 3000 open web APIs, searchable by category, industry and company — the most comprehensive resource of its kind.",,
yes,yes,rackspace,Rackspace Hosting,,,no,primetime,http://www.rackspace.com,,,
yes,yes,redhat,Red Hat,,,no,primetime,http://www.redhat.com,,,
yes,yes,riverbed,Riverbed,,,no,showtime,http://www.riverbed.com,,,
yes,yes,scality,Scality,,,no,showtime,http://www.scality.com/,,,
yes,yes,seamicro,SeaMicro,,,no,primetime,http://www.seamicro.com,,,
yes,yes,scc,SearchCloudComputing.com,16,,no,mediapartner,http://www.searchcloudcomputing.com,"is the Web's most comprehensive resource for the latest cloud computing news, analysis and case studies. Get the latest cloud computing trends and discover how to capitalize on exciting growth opportunities, including fully automated hybrid cloud environments with enterprise grade security, enhanced enterprise agility, improved flexibility and much more! For more information, visit www.SearchCloudComputing.com",,
yes,yes,sequoia,Sequoia Capital,,,no,showtime,http://www.sequoiacap.com/,,,
yes,yes,softlayer,SoftLayer,,,no,primetime,http://www.softlayer.com/,,,
yes,yes,solidfire,SolidFire,,,no,showtime,http://www.solidfire.com,,,
yes,yes,splunk,Splunk,,,no,showtime,http://www.splunk.com,,,
yes,yes,startupdigest,StartupDigest,17,,no,mediapartner,http://thestartupdigest.com,"is the best way to find out and stay informed about the best startup events in your favorite cities. Join over 65,000 subscribers at http://thestartupdigest.com.",,
yes,yes,snia,Storage Networking Industry Association  (SNIA),18,,no,mediapartner,http://www.snia.org,"is an industry-leading trade association chartered to advance IT technologies, standards, and education programs for  IT professionals. Some 400 member companies span the global storage market, connecting the IT industry with end-to-end storage and information management solutions. As a not-for-profit association, the SNIA enables our members to develop robust solutions for storing and managing the volumes of information generated by today’s businesses. Since 1997,  we have worked to bring recognition of storage issues to the IT world, making storage less complicated for the end user. As a result, the SNIA has adopted the role of industry catalyst for the devel­opment of storage solution architectures, specifications (including our latest CDMI specification for ""cloud storage"") and technologies, global standards, and storage education. For more information, visit www.snia.org",,
yes,yes,supermicro,Supermicro,,,no,showtime,http://www.supermicro.com,,,
yes,yes,svb,SVB,,,no,showtime,http://www.svb.com,,,
yes,yes,techamerica,TechAmerica,20,,no,mediapartner,http://www.techamerica.org,"is the leading voice for the U.S. technology industry and the foundation of the global innovation economy.  Representing nearly 1,200 member companies, the association is the industry’s largest advocacy organization and is dedicated to helping members’ top and bottom lines. It is also the technology industry’s only grassroots-to-global advocacy network, with offices and partnerships in state capitals across the country, Washington DC, Europe (Brussels), Asia (Beijing), and around the world.",,
yes,yes,techcentralsf,TechCentralSF,21,,no,mediapartner,http://www.techcentralsf.com/,"- San Francisco’s exclusive online directory resource and collaborative community for High Tech, Biotech, and Cleantech with over 1,000 start-up companies and established innovators making breakthroughs across San Francisco. TechCentralSF is a B2B exchange to support entrepreneurs, startups & the SF tech ecosystem. Collaborate and find extraordinary business opportunities for “All Things Tech in SF”!",,
yes,yes,terremark,Terremark,,,no,primetime,http://www.terremark.com/,,,
yes,yes,tec,The Entrepreneurs Club ,19,,no,mediapartner,http://www.tecglobal.org/,"(formerly CoolTech Club) is a strong international multi-ethnic network of several thousand high-tech entrepreneurs, executives and other professionals started in 2003. Our members speak English, Russian, Hebrew and many European languages. We are headquartered in the Silicon Valley and hold regular meetings in Palo Alto, San Francisco, New York, Tel Aviv, and Moscow.",,
yes,yes,tie,TiE,22,,no,mediapartner,http://www.tiesv.org/,"is a non-profit network of entrepreneurs and professionals founded in Silicon Valley. TiE’s focus is on generating and nurturing our next generation of entrepreneurs through mentoring, networking, and education. There are currently more than 12,000 members and over 2,500 charter members in 53 chapters across 12 countries. In addition to its flagship event, TiEcon - the largest conference for entrepreneurs, TiE offers a wide range of programs including Special Interest Groups and TiE Institute. For more information, visit www.sv.tie.org",,
yes,yes,tier3,Tier 3,,,no,showtime,http://www.tier3.com,,,
yes,yes,tilera,Tilera Corporation,,,no,primetime,http://www.tilera.com/,,,
yes,yes,ubergizmo,Ubergizmo,23,,no,mediapartner,http://www.ubergizmo.com/,"Launched in 2004, Ubergizmo has quickly become one of the top consumer electronics websites in the US. Ubergizmo is a Webby Award Honoree, has been ranked as aTop100 Blog by PCMagazine, ranks Top100  in Nielsen's Blogpulse and Technorati, and was featured in the Hot Site on USA Today.",,
yes,yes,vctaskforce,VC Taskforce,24,,no,mediapartner,http://www.vctaskforce.com/,"is the premier ""go-to"" organization for investors. We address the crucial issues and concerns in the venture community and produce workshops, roundtable meetings and panel events that provide tactical and strategic insights and information for both investors and portfolio companies. For more information, visit www.vctaskforce.com",,
yes,yes,violinmemory,Violin Memory,,,no,showtime,http://www.violin-memory.com,,,
yes,yes,virtustream,Virtustream,,,no,primetime,http://www.virtustream.com,,,
yes,yes,wsgr,Wilson Sonsini Goodrich & Rosati,,,no,showtime,http://www.wsgr.com,,,
yes,yes,women2,Women 2.0 ,25,,no,mediapartner,http://www.women2.org,"- Our mission is to increase the number of female founders of technology startups. Women 2.0 supports entrepreneurs with a network, resources and knowledge to take your startup from an idea to launch. Women 2.0 is headquartered in San Francisco. Visit our website at www.women2.org and join our mailing list for updates on events and more.",,
yes,yes,wpvip,WordPress.com VIP,,,no,showtime,http://vip.wordpress.com,,,
yes,yes,xeround,Xeround,,,no,showtime,http://www.xeround.com,,,
yes,yes,xsigo,Xsigo Systems,,,no,showtime,http://www.xsigo.com,,,
yes,yes,zenoss,Zenoss,,,no,showtime,http://www.zenoss.com,,,
yes,yes,zerto,Zerto,,,no,showtime,http://www.zerto.com,,,
yes,yes,zeus,Zeus,,,no,primetime,http://www.zeus.com/,,,
