IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Aditya,Agarwal,VP Engineering,Dropbox,"VP Engineering, Dropbox",,,speaker,y,"Aditya Agarwal is VP of Engineering at Dropbox. He oversees the different engineering teams including new product development, infrastructure, platform and operations. Aditya came to Dropbox via the acquisition of Cove, a company he co-founded that was focused on improving group collaboration and communication. Prior to Cove, Aditya Agarwal was the Director of Product Engineering at Facebook where he oversaw the development of core products such as News Feed, Search, Photos, Profile and Applications. Aditya was one of the first engineers at Facebook and played an important role in helping to design and build core parts of the Facebook engineering infrastructure. He also wrote the initial Facebook search engine and co-authored Thrift, a popular open-source RPC framework. 
",,,,,www.facebook.com/aditya,http://www.linkedin.com/pub/aditya-agarwal/1/84/155
y,y,y,y,m,Guido,Appenzeller,Co-Founder and CEO ,Big Switch Networks,"Co-Founder and CEO, Big Switch Networks",,,speaker,y,"Guido is the Co-Founder and CEO of Big Switch Networks. Before co-founding Big Switch Networks, he was on the faculty at Stanford University and head of the Clean Slate Lab where he led the research team that developed the OpenFlow v1.0 standard and the reference switch and controller implementations. He was named a Technology Pioneer by the World Economic Forum and holds a PhD in Computer Science from Stanford University and a BA in Physics from Universitat Karlsruhe.",,,,"@appenz
",,http://www.linkedin.com/in/appenz
y,y,y,y,m,Frank,Artale,Managing Director,Ignition Partners,"Managing Director, Ignition Partners",,,speaker,y,"Frank Artale joined Ignition as a Partner in 2011. He was most recently Group VP, Business Development at Citrix Systems. He has over 26 years of experience in the software industry. Frank joined Citrix from XenSource where he was responsible for strategic marketing and business development. Prior to XenSource, Artale was a founder and CEO of Consera Software (acquired by HP in 2004). Before founding Consera, Frank was VP of the Windows Solutions Group for VERITAS Software. He has also held positions at the Microsoft Corporation (Windows 2000 Group), IBM/Merrill Lynch joint venture (IMNET), and FD Consulting. His investments include AppFog, Apprenda, BlueStacks, Bromium, Cloudera, Couchbase, ScaleXtreme, ServiceMesh and Skytap. He is also an advisor to Cloudera and Couchbase.",,,,"@frankartale 
",,http://www.linkedin.com/pub/frank-artale/0/b94/982
y,y,y,y,m,Ken ,Barnes,SVP and Global Head of Platform Services,NYSE Technologies,"SVP and Global Head of Platform Services, NYSE Technologies",,,speaker,y,"Ken Barnes is Senior Vice President and Global Head of Platform Services for NYSE Technologies. He is responsible for general management of the Platform Services product line, including cloud computing, transactions and market data integration and services, as well as the company’s application ecosystem development strategy. Most recently, Mr Barnes oversaw the company’s SFTI and colocation business in the US, and launched the US Liquidity Center in Mahwah, NJ. Prior to NYSE Technologies, Mr. Barnes was head of Business & Planning at Wombat, where he helped the company quintuple revenue in two years and launched the company’s high performance middleware products, positioning it for acquisition by NYSE in 2008.",,,,@kenbarnz,,http://www.linkedin.com/in/kenjbarnes
y,y,y,y,m,Damian,Black,CEO,SQLstream,"CEO, SQLstream",,,speaker,y,"Damian started his career at HP in their European research labs, eventually running a European-wide middleware solutions business. At HP he led the team that pioneered IP Mediation - a real-time technology for analytics and billing in Telecomm, becoming market leader. He moved to XACCT as VP Product Management, acquired by Amdocs to power its real-time data mediation. Damian was also VP Sales and Business Development for Followap, a Sequoia funded company, market leader in mobile Instant Messaging and Presence until acquired by NeuStar, powering Vodafone's IM service, continuing Damian's career in real-time middleware. Damian is the author of ten patents and founder of SQLstream, a parallel engine executing continuous SQL queries against streaming big data in a cloud-based architecture.",,,,@sqlstream,,http://www.linkedin.com/pub/damian-black/0/6/118
y,y,y,y,m,Adam,Bosworth,CTO,Keas,"CTO, Keas",,,speaker,y,"Adam Bosworth is a technology leader and innovator who was instrumental in building numerous technology products, including Google Health, Microsoft Access, Microsoft Internet Explorer and BEA WebLogic Integration and Workshop. Adam founded Keas in 2008 to help people improve their lives by helping them to be healthier, and to help employers have a healthier, happier and more productive workforce. Adam received a bachelor’s degree in history from Harvard University.",,,,@adambosworth,http://www.facebook.com/adambosworth,http://www.linkedin.com/pub/adam-bosworth/0/8a9/b1b
,y,,y,m,Haseeb,Budhani,Chief Products Officer,Infineta Systems,"Chief Products Officer, Infineta Systems",,,speaker,y,,,,,,,
y,y,y,y,m,Tate ,Cantrell,CTO,Verne Global,"CTO, Verne Global",,,speaker,y,"Tate Cantrell is the Chief Technology Officer of Verne Global. Tate's primary responsibilities include product design and development and data center operations. Prior to Verne Global, Mr. Cantrell was Vice President, Data Center Technologies, at Dupont Fabros Technology. He was responsible for development and execution of operational strategies critical to the start-up of the Dupont Fabros Development Wholesale Data Center business model, the first of its kind in the industry. Cantrell also provided technical support for marketing and key business strategy expansion opportunities, and directed and managed strategy for all IT systems. Cantrell has been involved in data centers and other high tech facilities for more than 15 years, starting as a research programmer for computational modeling on biomedical applications.",y,"As CTO of Verne Global, Cantrell is responsible for product design and development and data center operations.",,@verneglobal,,
y,y,y,y,m,Lucas,Carlson,Founder and CEO,AppFog,"Founder and CEO, AppFog",,,speaker,y,"Lucas Carlson is the CEO of AppFog, which he founded in September 2010. Before AppFog, Lucas led the development of MOG, a web 2.0, music-based, popular social networking application, from the ground up with Ruby on Rails and MySQL. At MOG, he wrote the majority of the code base, created an architecture that could scale as the community grew, and hired, led and cultivated a technical team. MOG.com is currently one of the five most popular Ruby on Rails sites on the web. He has authored over a dozen Ruby libraries, including the Ruby Cookbook, and contributed to various others including Rails and RedCloth. Lucas participates in industry groups and speaking engagements on a regular basis around the country.",y,"Before AppFog, Lucas led development on MOG (one of the 5 most popular Ruby on Rails sites on the web), a web 2.0, music-based, social networking app. ",,@appfog,,http://www.linkedin.com/in/lucascarlson
y,y,y,y,m,Martin,Casado,Co-Founder and CTO,Nicira,"Co-Founder and CTO, Nicira",,,speaker,y,"Martin Casado is the co-founder and CTO of Nicira, the network virtualization company. Martin received his PhD from Stanford University in 2007 where his dissertation work led to the technology on which Nicira is based. He received his Masters from Stanford University in 2005. While at Stanford, Martin co-founded Illuminics Systems, an IP analytics company, which was acquired by Quova Inc. in 2006. Prior to attending Stanford, Martin held a research position at Lawrence Livermore National Laboratory where he worked on network security in the information operations assurance center (IOAC).",,,,,,http://www.linkedin.com/in/martincasado
