IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,Najam,Ahmad,"Director, Technical Operations, Infrastructure",Facebook,"Director, Technical Operations, Infrastructure, Facebook",,,Speaker,y,"A director of engineering at Facebook, Najam Ahmad oversees all aspects of the development and operation of a global network infrastructure that serves more than a billion people around the world. Prior to joining Facebook, Najam was the general manager of global networking services at Microsoft. In that role, he was responsible for the overall architecture, implementation, and operations of Microsoft's global online network. Najam's other experience includes management and engineering roles at MCI/UUNET and Netrix Corporation. Najam holds an MS in telecommunication protocols and computer science from The George Washington University and a BE in Electrical Engineering from the NED University of Engineering and Technology.",,,,,https://www.facebook.com/najam9,http://www.linkedin.com/pub/najam-ahmad/0/92/7a8,
y,y,y,y,f,Narges,Bani Asadi,Founder and CEO,Bina Technologies,"Founder and CEO, Bina Technologies",,,Speaker,y,"Narges Bani Asadi founded Bina to bring the results of many years of multidisciplinary research on systems biology and high performance computing at Stanford University and UC Berkeley to the world of genomics. Narges has extensive experience in informatics and high performance computing. She holds multiple patents, and has several publications including the award-winning “ParaLearn” paper at the 2010 International SuperComputing Conference. She holds a Masters and a PhD in Electrical Engineering from Stanford University. When not changing the world through her mastery of high performance computing, Narges loves spending time in nature, hiking, as well as enjoying Persian poetry and music.",,,,@nargesba       ,https://www.facebook.com/profile.php?id=216798&fref=ts,http://www.linkedin.com/pub/narges-bani-asadi/4/5b9/1a4,
y,y,y,y,m,Aneel ,Bhusri,"Chairman, Co-Founder and Co-CEO",Workday,"Chairman, Co-Founder and Co-CEO, Workday",7,,Speaker,y,"Aneel Bhusri is chairman, co-founder, and co-CEO at Workday. Aneel has been a leader, product visionary, and innovator in the enterprise IT industry for more than 20 years. Before co-founding Workday in 2005, Aneel was senior vice president and vice chairman of the board at PeopleSoft, responsible for product strategy, business development, and marketing. He served as an investing partner at Greylock Partners and as chairman of the board at Data Domain. In addition to his role at Workday, Aneel currently serves on the boards of several private companies, including Cloudera, Okta, Tidemark, and Pure Storage. Aneel received an MBA from Stanford University and holds a Bachelor of Science degree in electrical engineering and a Bachelor of Arts degree in economics, both from Brown University.",y,,,@aneelb,,,
y,y,y,y,m,Damian,Black,CEO,SQLstream,"CEO, SQLstream",,,Speaker,y,"Damian started his career at HP in their European research labs, eventually running a European-wide middleware solutions business. At HP he led the team that pioneered IP Mediation - a real-time technology for analytics and billing in Telecomm, becoming market leader. He moved to XACTT as VP Product Management, acquired by Amdocs to power its real-time data mediation. Damian was also VP Sales and Business Development for Followap, a Sequoia funded company, market leader in mobile Instant Messaging and Presence until acquired by NeuStar, powering Vodafone's IM service, continuing Damian's career in real-time middleware. Damian is the author of ten patents and founder of SQLstream, a parallel engine executing continuous SQL queries against streaming big data in a cloud-based architecture.",,,,@damianblack,,http://www.linkedin.com/pub/damian-black/0/6/118,
y,y,y,y,m,Gleb,Budman,Co-Founder and CEO,Backblaze Online Backup,"Co-Founder and CEO, Backblaze Online Backup",,,Speaker,y,"Gleb Budman is co-founder and CEO of online backup company, Backblaze, which he has grown to back up over 40 petabytes of data on its custom-designed cloud storage system, restore billions of files for its customers, and achieve profitability. Previously, Gleb led product strategy, management, and marketing at Kendara and MailFrontier from pre-launch through their acquisition by Excite@Home and SonicWALL, respectively, and continued running the business lines at the acquiring companies. Gleb completed the Technical Leadership Program at General Electric, and holds a B.S. in engineering and an M.B.A. from the University of California at Berkeley.",y,,,@GlebBudman,https://www.facebook.com/glebbudman,http://www.linkedin.com/in/glebbudman,
y,y,y,y,m,David,Card,VP Research,GigaOM Research,"VP Research, GigaOM Research",,,Speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,,@davidcard,,,http://www.linkedin.com/profile/view?id=2831692
y,y,y,y,m,Lew ,Cirne,Founder and CEO,New Relic,"Founder and CEO, New Relic",,,Speaker,y,"Lew Cirne is a seasoned entrepreneur, technologist, and enterprise software pioneer who founded Wily Technology in 1998. He invented Wily's flagship performance management solution, Introscope, and played a key role in Wily’s 2006 acquisition by CA, Inc. Lew holds seven patents, including four related to Wily’s core technology. Earlier in his career he held senior engineering positions at Apple and Hummingbird Communications. He holds an AB in Computer Science from Dartmouth College.",y,,,@sweetlew,https://www.facebook.com/newrelic,http://www.linkedin.com/in/lewcirne/,
y,y,y,y,m,Adrian,Cockcroft ,Cloud Architect,Netflix,"Cloud Architect, Netflix",,,Speaker,y,"Adrian Cockcroft is the director of architecture for the Cloud Systems team at Netflix. He is focused on availability, resilience, performance, and measurement of the Netflix cloud platform, and is leading the open source NetflixOSS program. He has presented at many conferences, including the Cassandra Summit, QCon/GOTO, Cloud Connect, Velocity, Gluecon and Structure. Adrian is also well known as the author of several books while a Distinguished Engineer at Sun Microsystems: Sun Performance and Tuning; Resource Management; and Capacity Planning for Web Services. From 2004-2007 he was a founding member of eBay Research Labs. He graduated with a BSc in Applied Physics from The City University, London.",y,,,@adrianco,,www.linkedin.com/in/adriancockcroft/,
y,y,y,y,m,Dave,Connors,"VP, Technical Operations",Dyn,"VP, Technical Operations, Dyn",,,Speaker,y,"Dave joined Dyn in January 2013 as VP, Technical Operations. His primary role: leading the IaaS leader’s technical teams as they continue to scale in both the DNS & Email world. Dave brings plenty of tech, innovation and business experience to Dyn with a heavy focus on leadership that drives profitable growth. He has over 20 years experience with large-scale infrastructure projects, high availability internet applications, business continuity planning and security — all key drivers of success at Dyn. Dave also has been instrumental in evolving agile operations and engineering, commonly referred to as DevOps. Before coming to Dyn, Dave served as the VP of Operations at Constant Contact where he built SaaS operations from the ground up during his 8 1/2 years there. Before that, he was Director of ASP Operations at Revenio. Dave graduated with a BS in Electrical Engineering from Yale.",,,,@daveconnors,,http://www.linkedin.com/pub/dave-connors/2/420/85b,
y,y,y,y,f,Barb,Darrow,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,Speaker,y,"Barb has covered technology and high-tech companies for longer than she’d care to admit. She started out as a reporter for InfoWorld, covering Boston-area software companies; then moved over to CRN where she managed the news staff and covered the business both in terms of technology and how technology is sold. She was also news editor for TechWeb and senior news director at TechTarget before joining GigaOM. Barb enjoys seeing how old-school IT companies are (mis)managing their transition into the cloud computing era. She has won several ASBPE awards for her news coverage. Outside of work, she loves gardening, movies and baseball.",,,,@gigabarb,,,
