Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,,Media Partner URL
,,,,,,,,,,http://event.gigaom.com/structureeurope/sponsors/media-partners/
yes,yes,intel,Intel,,,headline,http://www.intel.com/content/www/us/en/cloud-computing/cloud-computing-future-data-center-design.html,,,
yes,yes,eventbrite,Eventbrite,,,partners,http://eventbrite.com/,,,
yes,yes,livestream,Livestream,,,partners,http://livestream.com/,,,
yes,yes,magnify,Magnify Communications,,,partners,http://www.magnifycom.com/,,,
yes,yes,transcribeme,TranscribeMe,,,partners,http://www.transcribeme.com,,,
yes,yes,snia,SNIA,,,partners,http://www.snia.org/,,,
yes,yes,bdsu,Big Data Startups,,,partners,http://www.bigdata-startups.com,,,
yes,yes,amdseamicro,AMD SeaMicro,,,primetime,http://www.amd.com,,,
yes,yes,aspera,Aspera,,,primetime,http://www.asperasoft.com,,,
yes,yes,basho,Basho,,,primetime,http://www.basho.com,,,
yes,yes,bti,BTI Systems,,,primetime,http://www.btisystems.com,,,
yes,yes,citrix,Citrix,,,primetime,http://www.citrix.com,,,
yes,yes,ddn,DataDirect Networks,,,primetime,http://www.ddn.com,,,
yes,yes,dell2,Dell2,,,primetime,http://www.dell.com,,,
yes,yes,hgst,HGST,,,primetime,http://www.hgst.com,,,
yes,yes,hpcs,HP Cloud Services,,,primetime,https://www.hpcloud.com/,,,
yes,yes,IBM1,IBM,,,primetime,http://ibm.com/jstart,,,
yes,yes,juniper,Juniper,,,primetime,http://www.contrailsystems.com/,,,
yes,yes,kontron,Kontron,,,primetime,http://www.kontron.com,,,
yes,yes,newrelic,New Relic,,,primetime,http://www.newrelic.com,,,
yes,yes,nuage,Nuage Networks,,,primetime,http://www.nuagenetworks.net,,,
yes,yes,openstack,OpenStack,,,primetime,http://www.openstack.org,,,
yes,yes,plexsystems,Plex Systems,,,primetime,http://www.plex.com/,,,
yes,yes,sap,SAP,,,primetime,http://www.sap.com,,,
yes,yes,servicemesh,ServiceMesh,,,primetime,http://www.servicemesh.com/,,,
yes,yes,snaplogic,SnapLogic,,,primetime,http://www.snaplogic.com,,,
yes,yes,soa,SOA,,,primetime,http://www.soa.com,,,
yes,yes,softlayer,SoftLayer,,,primetime,http://www.softlayer.com,,,
yes,yes,terremarkv,Terremark,,,primetime,http://www.terremark.com,,,
yes,yes,virtustream,Virtustream,,,primetime,http://www.virtustream.com,,,
yes,yes,wazure,Windows Azure,,,primetime,http://www.microsoft.com,,,
yes,yes,wso2,WSO2,,,primetime,http://wso2.com/,,,
yes,yes,hpcs2,HP Cloud Services,,,reception,https://www.hpcloud.com/,,,
yes,yes,bti2,BTI Systems,,,reception,http://www.btisystems.com,,,
yes,yes,virtustream,Virtustream,,,reception,http://www.virtustream.com,,,
yes,yes,cloudbees,CloudBees,,,showtime,http://www.cloudbees.com/,,,
yes,yes,cloudsoft,Cloudsoft,,,showtime,http://www.cloudsoftcorp.com/,,,
yes,yes,clustrix,Clustrix,,,showtime,http://www.clustrix.com,,,
yes,yes,coresite,CoreSite,,,showtime,http://www.CoreSite.com,,,
yes,yes,domo,Domo,,,showtime,http://www.domo.com,,,
yes,yes,gridgain,GridGain,,,showtime,http://www.gridgain.com,,,
yes,yes,impetus,Impetus,,,showtime,http://www.impetus.com,,,
yes,yes,lightspeed,Lightspeed,,,showtime,http://www.lsvp.com,,,
yes,yes,lyatiss,Lyatiss,,,showtime,http://www.lyatiss.com,,,
yes,yes,marvell,Marvell,,,showtime,http://www.marvell.com,,,
yes,yes,memsql,MemSQL,,,showtime,http://www.memsql.com,,,
yes,yes,scality,Scality,,,showtime,http://www.scality.com,,,
yes,yes,servicenow,ServiceNow,,,showtime,http://www.servicenow.com,,,
yes,yes,thoughtworks,ThoughtWorks,,,showtime,http://www.thoughtworks.com,,,
yes,yes,vmware,VMware,,,showtime,http://www.vmware.com,,,
yes,yes,yammer,Yammer,,,showtime,https://www.yammer.com/,,,
yes,yes,scale,Scale Computing,,,showtime,http://www.scalecomputing.com/,,,
yes,yes,ansibleworks,Ansibleworks,,,showtime,http://www.ansibleworks.com,,,
yes,yes,cloudxtension,CloudXtension,,,showtime,http://www.cloudxtension.com,,,
yes,yes,cloudscaling,Cloudscaling,,,showtime,http://www.cloudscaling.com,,,
yes,yes,sisense,SiSense,,,showtime,http://www.sisense.com,,,
yes,yes,cliqr,CliQr,,,showtime,http://www.cliqr.com,,,
yes,yes,appscale,AppScale,,,showtime,http://www.appscale.com,,,
yes,yes,sequoia,Sequoia Capital,,,showtime,http://www.sequoiacap.com,,,
yes,yes,altiscale,Altiscale,,,showtime,http://www.altiscale.com,,,
yes,yes,savvis,Savvis,,,primetime,http://www.savvis.com,,,
yes,yes,kony,Kony,,,showtime,http://www.kony.com,,,
yes,yes,glimpse,Glimpse,,,partners,http://glimpseconf.com/,,,
yes,yes,cloudbyte,CloudByte,,,showtime,http://cloudbyte.com,,,
yes,yes,mulesoft,MuleSoft,,,showtime,http://www.mulesoft.com,,,
