IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn
y,y,y,y,m,Raj,Aggarwal ,CEO and Co-Founder,Localytics,"CEO and Co-Founder, Localytics",,,speaker,y,"Raj is CEO of Localytics (http://www.localytics.com). Localytics offers a powerful, real-time analytics platform that helps thousands of leading smartphone & tablet app publishers make more successful and more profitable apps. Raj previously spent 5 years in management consulting, most recently with Bain & Company. His primary focus was the wireless sector and in this capacity he helped build some of the world’s most successful mobile companies. Prior to consulting, Raj completed his MBA with Honors from the Ivey School of Business and London Business School. Before this he managed Pre-Sales Engineering for Requisite Technology, an enterprise software provider in Colorado. Raj’s career began in robotics, where he eventually led the sales and marketing department for a Toronto-based manufacturer.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,@analyticsraj,,http://www.linkedin.com/in/aggarwalraj
y,y,y,y,m,Dave,Asprey ,VP Cloud Security,Trend Micro,"VP Cloud Security, Trend Micro",,,speaker,y,"As Vice President of Cloud Security at Trend Micro, Asprey shapes the company’s cloud strategy by expanding a Cloud Security Alliance partner ecosystem, participating in cloud security organizations, and cultivating Trend Micro partnerships. Prior to Trend Micro, Asprey was an Entrepreneur in Residence at Trinity Ventures, focused on opportunities with companies in the cloud and virtualization markets. Previously, he served as Vice President of Technology and Business and Corporate Development at Blue Coat Systems. Other professional roles have included positions in NetScaler, Citrix, Speedera Networks (now Akamai); Exodus Communications (now Savvis); and the University of California at Santa Cruz.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,@daveasprey,http://www.Facebook.com/trendmicro,http://www.linkedin.com/in/asprey
y,y,y,y,m,Jim,Benedetto,CTO,Gravity,"CTO, Gravity",,,speaker,y,"Jim Benedetto is the co-founder and CTO of Gravity, a stealth startup based in Los Angeles. He was formerly the SVP of Technology of MySpace, where he led technical operations and R&D. He was employee 12 at MySpace and the first technical architect. Jim was responsible for the initial architectural designs that allowed the site to scale from 100 thousand to over 125 million active users. Jim grew up in Ventura, CA, and studied business at USC. He's had a lifelong passion for CS teaching himself to program at age 5.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,@jimbenedetto,,http://www.linkedin.com/pub/jim-benedetto/3/563/561
y,y,y,y,f,Ashlie,Beringer,Partner,"Gibson, Dunn & Crutcher LLP","Partner, Gibson, Dunn & Crutcher LLP",,,speaker,y,"Ashlie Beringer is a partner in the Palo Alto office of Gibson Dunn and a leading expert in the defense of high stakes technology disputes involving data privacy and security issues. Ashlie led the defense of Facebook in the recently-announced FTC investigation and settlement relating to its privacy practices and has represented dozens of technology companies in regulatory and Congressional investigations involving data privacy and security issues. She has an undefeated record in the defense of nationwide class actions involving data privacy and security claims and has obtained several of the leading decisions dismissing claims in this area. Ashlie’s clients include Facebook, Yelp!, Apple, Specific Media, Flurry, OpenFeint, ValueClick, KISSmetrics, and numerous other online mobile and technology companies.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,,,
y,y,y,y,m,Damian,Black,CEO and Founder,SQLstream,"CEO and Founder, SQLstream",,,speaker,y,"Damian started his career at HP in their European research labs, eventually running a European-wide middleware solutions business. At HP he led the team that pioneered IP Mediation - a real-time technology for analytics and billing in Telecomm, becoming market leader. He moved to XACCT as VP Product Management, acquired by Amdocs to power its real-time data mediation. Damian was also VP Sales and Business Development for Followap, a Sequoia funded company, market leader in mobile Instant Messaging and Presence until acquired by NeuStar, powering Vodafone's IM service, continuing Damian's career in real-time middleware. Damian is the author of ten patents and founder of SQLstream, a parallel engine executing continuous SQL queries against streaming big data in a cloud-based architecture.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,,,http://www.linkedin.com/pub/damian-black/0/6/118
y,y,y,y,m,Justin,Borgman,CEO and Co-Founder,Hadapt,"CEO and Co-Founder, Hadapt",,,speaker,y,"Justin Borgman is Co-Founder and CEO of Hadapt. Prior to Hadapt, he led product development for COVECTRA, an anti-counterfeit technology firm. Before that, Borgman founded an online social media company and spent the first six years of his career as a software developer at MIT Lincoln Laboratory and Raytheon. Borgman has a B.S. in Computer Science from the University of Massachusetts at Amherst, where he was a Commonwealth Scholar, and attended graduate school at the Yale School of Management.",,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Nam cursus. Morbi ut mi. Nullam enim leo, egestas id, condimentum at, laoreet mattis, massa. Sed eleifend nonummy diam. ",,,,http://www.linkedin.com/pub/justin-borgman/1/753/17a
y,y,y,y,m,Currie,Boyle,Distinguished Engineer,IBM,"Distinguished Engineer, IBM",,,speaker,y,"Currie Boyle, IBM Distinguished Engineer (DE), is currently leading IBM's North American services offering for deep question and answer (Watson) type natural language and unstructured information processing systems. For the last three years, he has led IBM's global initiatives for ibm.com electronic support, including an advanced interactive Q&A system. Boyle was elected the America's group vice president of IBM's Global Academy of Technology and has 14 patents issued on CRM innovations. In addition, Currie is an engagement and design leader who has been professionally certified in five different technical specialist roles. During his 25+ years at IBM, he has led client solutions and engagements and has spent several successful years as one of four complex opportunity business managers in IBM Canada.",,,,@Intellasolve,http://www.facebook.com/#!/currie.boyle,http://www.linkedin.com/in/currieboyle
y,y,y,y,m,Mike,Brown,CTO,comScore,"CTO, comScore",,,speaker,y,"Michael Brown was a founding member of comScore, Inc. in 1999. He leads the technology efforts of the company to measure Internet and Digital behaviors. In this position, he helped the company build the world’s largest Decision Support Systems on the Windows platform. This system currently has over one year of data online and captures over 120 billion rows of new data every week to measure the Internet in over 45 countries. He also has been responsible for over seventeen patent applications at comScore. In 1993, Mike cofounded Pragmatic Image Technologies with several associates from IBM. This consulting group focused on the implementation of IBM’s ImagePlus technologies at several different firms.",,,,,,http://www.linkedin.com/pub/mike-brown/0/283/793
y,y,y,y,m,Rich ,Brueckner,President,inside-BigData,"President, inside-BigData",,,speaker,y,"Recently named as one of the Top 20 Big Data Influencers by Forbes Magazine, Rich Brueckner is an avid writer, publisher, and technology pundit focused on high performance computing. He acquired inside-HPC.com in 2010 and has since expanded his online publications to include inside-BigData, inside-Cloud, and inside-Startups. With over 25 years of HPC experience at Cray Research, SGI, and Sun Microsystems, Rich is known to many in the industry as “the guy in the Red Hat.” When he’s not working, Rich keeps busy writing fiction, cartoons, and parody films. You can check out his latest works at http://flex-rex.com. Rich lives and works in Portland, Oregon.",,,,@insideHPC,,http://www.linkedin.com/in/richbrueckner
y,y,y,y,m,David,Card,Research Director,GigaOM Pro,"Research Director, GigaOM Pro",,,speaker,y,"David Card has been following the intersection of technology, media, and consumer behavior 20+ years at GigaOM Pro, Jupiter Research, IDC and Forrester. At Jupiter, Card headed up digital media and marketing research, and acted as VP, research development. At IDC he was lead Microsoft and consumer Internet analyst. Aside from GigaOM, Forrester and Jupiter Forums, Card has spoken at major industry events such as E3, the Newspaper Association of America’s new media conference, the PBS/NPR new media forum, Texas University’s Online Journalism Symposium, Digital Music Forum East, Digital Hollywood, the Inverge conference, and Software Marketing Perspectives. He is frequently quoted in the traditional and online press and has appeared on ABC World News Tonight, ESPN, and NPR.",,,,@davidcard,,http://www.linkedin.com/profile/view?id=2831692
y,y,y,y,f,Elizabeth,Charnock,CEO,Cataphora,"CEO, Cataphora",,,speaker,y,"Elizabeth founded Cataphora and has led it from concept to successful profitability and to a successful pre-IPO divestiture unprecedented in the history of bootstrapped Silicon Valley software startups. To do this, she has drawn on her prior experience as a CEO and her extensive knowledge of information retrieval technology and business. She was CEO and founder of Troba, an industry leading CRM software company which she sold in 2001. Elizabeth has significant experience in engineering management, management consulting, and restart management at such companies as Hewlett-Packard and Sun Microsystems. Elizabeth holds a BS in Theoretical Mathematics from the University of Michigan Honors Program. Elizabeth is the author of ""E-Habits: What You Must Do to Optimize Your Professional Digital Presence.""",,,,,,
y,y,y,y,m,Mark,Cusack,Chief Architect,RainStor,"Chief Architect, RainStor",,,speaker,y,"Mark is a founding developer and Chief Architect at RainStor. He was formerly a team leader at QinetiQ in the UK, where he led several government and industry projects in the areas of grid and pervasive computing. Prior to joining QinetiQ, Mark was a senior scientist at the UK Defence Evaluation and Research Agency, where he researched parallel and distributed simulation techniques. Mark holds a Masters in Computing and a PhD in Computational Physics from Newcastle University. He recently led the engineering effort to port RainStor’s big-data database to run natively on the Hadoop platform. Mark is located at RainStor’s HQ in San Francisco, CA.",,,,@markcusack,,http://www.linkedin.com/profile/view?id=28637043&locale=en_US&trk=tyah
y,y,y,y,f,Rachel ,Delacour,CEO and Co-Founder,We Are Cloud,"CEO and Co-Founder, We Are Cloud",,,speaker,y,"Rachel Delacour is CEO and co-founder of We Are Cloud, a bootstrapped European startup that empowers businesses of any size to profit from the coming age of big data. As a young, female controller she realized that BI was just too hard to use, manage, buy, and get right. Seeing a real business need for BI tools in the age of cloud computing led her to found We Are Cloud in 2009. Prior to We Are Cloud, Rachel held finance positions at Bata, Carrefour and FM Logistics Russia. She holds a Masterʼs finance degree from the Euromed business school in Marseille. She resides in Montpellier, a city recognized as a leading R&D cluster in France, with her husband and son.",y,"Rachel Delacour founded We Are Cloud, a bootstrapped European startup that empowers businesses of any size to profit from the coming age of big data.",,@wearecloud,http://www.facebook.com/rdelacour,http://www.linkedin.com/in/wearecloudrachel
y,y,y,y,m,Zubin,Dowlaty,VP and Head of Innovation and Development,Mu Sigma,"VP and Head of Innovation and Development, Mu Sigma",,,speaker,y,"Zubin Dowlaty is currently focusing his efforts at Mu Sigma Inc managing the consumption of innovative analytics technology and statistical techniques into Fortune 500 organizations. In his recent past he served as vice president Emerging Technology and vice president Decision Sciences for InterContinental Hotels Group. Responsibilities included management of the data warehouse, applied business intelligence, advanced analytics, and market research functions worldwide. Prior to IHG, he served as statistical modeling manager at United Parcel Service, primarily applying statistical models to enhance shareholder value at the world’s largest transportation company. He spans 18 years of direct experience in applying quantitative methods to extract value from corporate data assets. Current passions are in high performance computing, data visualization, and intelligent systems research.",,,,@crunchdata,,http://www.linkedin.com/pub/zubin-dowlaty/2/b82/774
y,y,y,y,m,Michael,Driscoll,CEO and Co-Founder,Metamarkets,"CEO and Co-Founder, Metamarkets",,,speaker,y,"Michael has spent the last decade building data platforms across life sciences, retail, and media firms. He worked as a software engineer for the Human Genome Project, later founded the online retailer CustomInk.com. and most recently founded & led the analytics firm Dataspora. Michael holds an A.B. from Harvard College and a Ph.D. in Bioinformatics from Boston University.",,,,@medriscoll,,http://www.linkedin.com/in/medriscoll
y,y,y,y,m,Armando,Escalante ,CTO,HPCC Systems from LexisNexis Risk Solutions,"CTO, HPCC Systems from LexisNexis Risk Solutions",,,speaker,y,"Armando Escalante is Senior Vice President and CTO of LexisNexis® Risk Solutions, and head of HPCC Systems, an open source Big Data analytics processing platform. Mr. Escalante is responsible for technology development, R&D, information systems, security and operations, and general management of HPCC Systems. Prior, Mr. Escalante served as Vice President of Engineering and Operations for Diveo Broadband Networks, where he led world-class data centers located in the U.S. and Latin America. Prior, he was worked for Vignette Corporation, an eBusiness software leader, Unisys Corporation, EPSON America and Bell Labs. He has a degree in Electronics Engineering from Universidad Simon Bolivar, a Master of Science in Computer Science from Stevens Institute of Technology and an MBA from West Coast University.",y,"Armando Escalante is responsible for technology development, R&D, information systems, security and operations, and general management of HPCC Systems.",,,,
y,y,y,y,f,Cameran,Evans,Data Scientist,Socialcast by VMware,"Data Scientist, Socialcast by VMware",,,speaker,y,"Combining advanced analytics with business acumen, Cameran leads the Socialcast by VMware Data Science team. Cameran is responsible for leading all data efforts on the Socialcast product, using big data to inform and create new products as well as mining customers’ community data to help them optimize their investment. A veteran of the business intelligence community, Cameran was previously with Disney Parks and Resorts where she drove significant revenue growth through pricing and product optimization. She holds a degree in Economics/Mathematics from UC Santa Barbara and graduated at the top of her MBA class at UC Irvine.",y,"At Socialcast, Cameran leads all data efforts, using big data to inform, create new products, and help customers optimize their investment. ",,@cameranevans,,http://www.linkedin.com/profile/view?id=12484776
y,y,y,y,f,Katie,Fehrenbacher,Senior Writer,GigaOM,"Senior Writer, GigaOM",,,speaker,y,"Katie Fehrenbacher has been covering cutting-edge technology, startups and entrepreneurs in Silicon Valley for more than 7 years. She is the founding Editor of Earth2Tech, which she launched in July 2007. Prior to starting Earth2Tech she was a Staff Writer for GigaOM where she covered wireless and broadband technology. She has been a reporter at Red Herring, an editor at Engadget and began her career as a reporter in the Silicon Valley bureau of the largest Japanese daily newspaper, the Yomiuri Shimbun.",,,,,,
y,y,y,y,m,Garth,Gibson,Co-Founder and CTO,Panasas,"Co-Founder and CTO, Panasas",,,speaker,y,"Dr. Garth Gibson received his Ph.D. in Computer Science from the University of California at Berkeley in 1991. While at Berkeley, he co-wrote the seminal “Berkeley RAID paper” which is the foundation of data reliability in the storage industry. He joined the faculty at Carnegie Mellon University in 1991 and founded the Parallel Data Laboratory, one of the country’s premier academic research labs for high performance compute. Gibson was the original proponent of Parallel NFS (pNFS) the newest parallel protocol in the Linux distribution. He has received several awards including InfoWorld’s CTO 25 Award for driving the development and adoption of pNFS and most recently received an award from the Special Interest Group on Operating Systems for the RAID paper.",,,,,http://www.facebook.com/profile.php?id=790859763,http://www.linkedin.com/pub/garth-gibson/3/b23/267
y,y,y,y,m,George,Gilbert,"Principal, Tech-Alpha",GigaOM Pro,"Principal, TechAlpha Partners and GigaOM Pro Analyst",,,speaker,y,"George is co-founder of TechAlpha Partnersk, a management consulting and research firm that advises clients on the technology and business implications of the shift to data-driven services delivered by cloud computing. Previously, George was the lead enterprise software analyst for Credit Suisse First Boston, one of the leading investment banks to the technology sector. During 7 years as an analyst, he advised institutional investors on Microsoft, Oracle, BEA, Veritas, SAP, PeopleSoft, JDEdwards, i2 Technologies and Siebel, among others. George advised numerous companies in the capital raising process including Actuate, Baan, CommerceOne, E.piphany, i2 Technologies, JDEdwards, Retek, and Selectica.",,,,@ggilbert41,,http://www.linkedin.com/pub/george-gilbert/2/550/466
y,y,y,y,m,Jonathan,Gosier,Founder,metaLayer.com,"Founder, metaLayer.com",,,speaker,y,"Jonathan Gosier is a designer, software developer, data scientist and the founder of metaLayer.com which aims to make the world's information easier to understand, visualize and share. From 2009 to 2011 he served as Director of SwiftRiver at Ushahidi working on an open-source platform for drawing insight from social media during crisis events. The SwiftRiver project was awarded the 2011 Knight News Challenge award. In addition to being a TED Fellow, Jon has been invited to present at Strata, Tech@State, the Economist's Ideas Economy, Google Zeitgeist, Personal Democracy Forum and many other events. Links to his essays, articles about his work, presentation slides and videos can be found at his blog GosDot.com",,,,@jongos,https://www.facebook.com/jongos,http://www.linkedin.com/in/jongos
y,y,y,y,m,Sean,Gourley,Co-Founder and CTO,Quid,"Co-Founder and CTO, Quid",,,speaker,y,"Sean Gourley, Quid co-founder and CTO, did research into the mathematics of war for his PhD thesis at Balliol College, Oxford. His findings appeared as the featured article in ""Nature"" (December 2009) and were the subject of a popular TED talk (2009). His work on statistical analysis, probability, and algorithm development applied to complex systems and large datasets inspired the creation of Quid. Sean is a Rhodes Scholar PhD in Physics (Complexity) from the University of Oxford; his is undergraduate degree in Physics is from the University of Canterbury, Christchurch, New Zealand.",,,,@QuidLabs,,
y,y,y,y,m,Alexander,Gray,CTO,Skytree,"CTO, Skytree",,,speaker,y,"Dr. Gray obtained degrees in Applied Mathematics and Computer Science from Berkeley and a PhD in Computer Science from Carnegie Mellon, and is an Associate Professor at Georgia Tech. His lab works to scale up all of the major practical methods of machine learning (ML) to massive datasets. He began working on this problem at NASA in 1993 (long before the current fashionable talk of “big data”). His large-scale algorithms helped enable the Top Scientific Breakthrough of 2003, and have won a number of research awards. He is a member of the National Academy of Sciences Committee on the Analysis of Massive Data and frequently gives invited tutorial lectures on massive-scale ML at top research conferences and agencies.",,,,@skytreeHQ,http://www.facebook.com/profile.php?id=564461219,http://www.linkedin.com/pub/alexander-gray/4/4b6/b55
