IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,
y,y,y,y,m,Michael,Abbott,Partner,Kleiner Perkins Caufield & Byers,"Partner, Kleiner Perkins Caufield & Byers",,,speaker,y,"Abbott joined Kleiner Perkins Caufield & Byers as a partner in 2011. Formerly the vice president of engineering at Twitter, Abbott led the team to rebuild and solidify Twitter’s infrastructure, scaling Twitter’s architecture to support 250 million daily tweets. Previously Abbott led the software development team at Palm that created HP/Palm’s next-generation webOS platform. Earlier Abbott was the general manager at Microsoft for .NET online services, which became Azure; he was also co-founder of Passenger Inc and Composite Software. Abbott has advised and invested in Cloudera, Hearsay Labs, Jawbone and Saynow.",,,,@mabb0tt,,www.linkedin.com/in/michaelabbott,
y,y,y,y,m,Eric,Berlow,Founder,Vibrant Data Labs,"Founder, Vibrant Data Labs",,,speaker,y,"Eric Berlow, PhD, is an ecologist and complexity scientist. He founded Vibrant Data Labs to develop ecological approaches for simplifying complex problems facing human well-being. His current work focuses on blending collective human input and network analysis to map the landscape of big problems. A TED Fellow, Eric is internationally recognized for his research on ecological complexity published in Science, Nature, and the Proceedings of the National Academy of Science. Eric was founding director of the University of California’s first research center inside Yosemite National Park, where his ongoing research focuses on data-driven stewardship of natural ecosystems.",y,"As Founder of Vibrant Data Labs, Eric shares how he solves complex problems by augmenting algorithms with human input.",,"@ericberlow
",,,
y,y,y,y,m,Damian,Black,CEO,SQLstream,"CEO, SQLstream",,,speaker,y,"Damian started his career at HP in their European research labs, eventually running a European-wide middleware solutions business. At HP he led the team that pioneered IP Mediation - a real-time technology for analytics and billing in Telecomm, becoming market leader. He moved to XACTT as VP Product Management, acquired by Amdocs to power its real-time data mediation. Damian was also VP Sales and Business Development for Followap, a Sequoia funded company, market leader in mobile Instant Messaging and Presence until acquired by NeuStar, powering Vodafone's IM service, continuing Damian's career in real-time middleware. Damian is the author of ten patents and founder of SQLstream, a parallel engine executing continuous SQL queries against streaming big data in a cloud-based architecture.",,,,@damianblack,,http://www.linkedin.com/pub/damian-black/0/6/118,
y,y,y,y,m,Ron,Bodkin,Founder and CEO,Think Big Analytics,"Founder and CEO, Think Big Analytics",,,speaker,y,"Ron founded Think Big to help companies realize measurable value from Big Data. Previously, Ron was VP Engineering at Quantcast where he led the data science and engineering teams that pioneered the use of Hadoop and NoSQL for batch and real-time decision making. Prior to that, Ron was Founder of New Aspects and also Co-Founder and CTO of B2B applications provider C-Bridge, which he led to a staff of 900 service consultants and a successful IPO. Ron graduated with honors from McGill University with a B.S. in Math and Computer Science at McGill. He also earned his Master’s Degree in Computer Science from MIT, where he left his PhD program after winning the Entrepreneurship Award with the idea he presented for what would become C-Bridge.",,,,"@ronbodkin
",,http://www.linkedin.com/pub/ron-bodkin/0/14/361,
y,y,y,y,m,Justin,Borgman,CEO,Hadapt,"CEO, Hadapt",4,,speaker,y,"Justin is Co-Founder and CEO of Hadapt. Prior to Hadapt, Justin led product development for COVECTRA, an anti-counterfeit technology firm. Before that, Justin founded an online social media company and spent the first six years of his career as a software developer at MIT Lincoln Laboratory and Raytheon. Justin has a B.S. in Computer Science from the University of Massachusetts at Amherst, where he was a Commonwealth Scholar, and attended graduate school at the Yale School of Management.
",y,"The Co-Founder and CEO of Hadapt joins us to dissect the future of BI and Hadoop. We'll look at the innovations in apps, engines and use cases that will shape the evolution of the industry and its new products.",,@JustinBorgman,http://www.facebook.com/hadapt,http://www.linkedin.com/in/justinborgman,
y,y,y,y,m,Currie,Boyle,Distinguished Engineer,IBM,"Distinguished Enigeer, IBM",,,speaker,y,"Currie Boyle is an IBM Distinguished Engineer who leads the North American natural language Services practice. Currie exploits unstructured content analytics systems to enable natural language interactive systems which do drive new business value. For the last six years Currie has led a multi-million dollar natural language projects to invent and transform information knowledge “findability”. Currie leads avant-garde client engagements to define new models for web or call center intelligently guided selling or guided support. Currie has been with IBM for more than 25 years and 19 patent / filing / issued / published disclosures. He has deep practical experience with extensive intelligent interactive question and answers systems, included auto-machine guided interactive query refinement. As well he works with next generation user interface approaches.",,,,@Intellasolve,www.facebook.com/currie.boyle,www.linkedin.com/in/currieboyle,
y,y,y,y,m,Rami,Branitzky,CEO,Numenta,"CEO, Numenta",,,speaker,y,"Rami Branitzky, CEO of Numenta, brings over 15 years of experience in managing and growing software businesses. He previously held multiple leadership roles at SAP AG. Most recently Rami served as Senior Vice President, Sustainability Business, defining and driving all sustainability-related activities of SAP AG. Previously, Rami held posts as Managing Director of SAP Labs North America, and was Senior Vice President in the Global Partner Group. He joined SAP following the acquisition of TopTier Software, where he was instrumental in driving the company's product and go-to-market strategy. Rami started his career at Cheyenne Software, now a division of Computer Associates. He holds a BA from Hofstra University and an MBA in Information Systems and Finance from the Stern School of Business, New York University.",,,,@RamiBranitzky,,www.linkedin.com/pub/rami‐branitzky/26/477/829,
y,y,y,y,m,Scott,Brave,Founder and CTO,Baynote,"Founder and CTO, Baynote",3,,speaker,y,"Scott is a founder and CTO of Baynote, Inc. Prior to Baynote, he was a postdoctoral scholar at Stanford University and served as lab manager for the CHIMe (Communication between Humans and Interactive Media) Lab. Scott is an inventor of six patents and co-author of over 25 publications in the areas of human-computer interaction and artificial intelligence. Scott is also an Editor of the “International Journal of Human-Computer Studies” (Amsterdam: Elsevier) and co-author of “Wired for speech: How voice activates and advances the human-computer relationship” (Cambridge, MA: MIT Press). Scott received his Ph.D. in Human-Computer Interaction, and B.S. in Computer Systems Engineering from Stanford University, and his Master’s from the MIT Media Lab.",y,What does collaboration between humans and machines really look like? Baynote founder and CTO shares how the new systems will impact the workplace.,,@Baynote,,,
y,y,y,y,m,Andrew,Brust,"Founder and CEO, Blue Badge Insights and Analyst",GigaOM Research,"Founder and CEO, Blue Badge Insights and Analyst, GigaOM Research",,,speaker,y,"Andrew J. Brust has worked in the software industry for 25 years as a developer, consultant, entrepreneur and CTO, specializing in application development, databases and business intelligence technology. He has been a developer magazine columnist and conference speaker since the mid-90s, and a technology book writer and blogger since 2005. Andrew is also Founder and CEO of Blue Badge Insights, an analysis, strategy and advisory firm serving Microsoft customers and partners.
 ",,,,@andrewbrust,,,
y,y,y,y,f,Tamara,Budec,VP Critical Systems and Engineering,Goldman Sachs & Co,"VP Critical Systems and Engineering, Goldman Sachs & Co",,,speaker,y,"Tamara Budec is a Vice President Critical Systems and Engineering Americas with Goldman Sachs Services Division based in Jersey City. Ms Budec is responsible for risk management and engineering operation of the firm’s business critical environments. Ms Budec joined Goldman Sachs in 2007. Prior to Goldman Sachs, Ms Budec was Director Critical Facilities at CB Richard Ellis Global Corporate Services responsible for large scale data center construction and management of data center engineering operations. Prior to CBRE, Ms Budec was a Senior Project Manager for Jones Lang LaSalle (JLL), Project and Development Services on Goldman Sachs account. Ms Budec has received Bachelor of Science (Dipl. Eng.) degree from Zagreb University, Croatia and Masters from Cornell University.",,,,@GoldmanSachs,,,
