Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,,Media Partner URL
,,,,,,,,,,http://event.gigaom.com/structuredata/sponsors/media-partners/
yes,yes,alteryx,Alteryx,,,primetime,http://www.alteryx.com,,,
yes,yes,aspera2,Aspera,,,showtime,http://www.asperasoft.com,,,
yes,yes,basho,Basho,,,primetime,http://www.basho.com,,,
yes,yes,basho,Basho,2,,reception,http://www.basho.com,,,
yes,yes,chartio,Chartio,,,showtime,http://www.chartio.com,,,
yes,yes,clearstory,ClearStory,,,showtime,http://www.clearstorydata.com,,,
yes,yes,cleversafe,Cleversafe,,,showtime,http://www.cleversafe.com,,,
yes,yes,cloudera,Cloudera,,,primetime,http://www.cloudera.com,,,
yes,yes,comcast2,Comcast Technology & Product ,,,showtime,http://corporate.comcast.com/,,,
yes,yes,continuuity ,Continuuity ,,,showtime,http://www.continuuity.com,,,
yes,yes,eventbrite,Eventbrite,,,partners,http://eventbrite.com/,,,
yes,yes,hadapt,Hadapt,,,primetime,http://www.hadapt.com,,,
yes,yes,hortonworks,Hortonworks,,,showtime,http://www.hortonworks.com,,,
yes,yes,hpvertica,HP Vertica,,,primetime,http://www.hp.com,,,
yes,yes,IBM1,IBM,,,primetime,http://www.ibm.com/bigdata,,,
yes,yes,IBM2,IBM,1,,reception,http://www.ibm.com/bigdata,,,
yes,yes,juniper,Juniper,,,primetime,http://www.contrailsystems.com/,,,
yes,yes,livestream,Livestream,,,partners,http://livestream.com/,,,
yes,yes,lucidworks,LucidWorks,,,showtime,http://www.lucidworks.com,,,
yes,yes,magnify,Magnify Communications,,,partners,http://www.magnifycom.com/,,,
yes,yes,mapr,MapR,,,primetime,http://www.maprtech.com,,,
yes,yes,marklogic,MarkLogic,,,showtime,http://www.marklogic.com,,,
yes,yes,microsoft,Microsoft,,,primetime,http://www.microsoft.com,,,
yes,yes,musigma,Mu Sigma,,,primetime,http://www.mu-sigma.com,,,
yes,yes,oracle,Oracle,,,primetime,http://www.oracle.com,,,
yes,yes,oversightsystems,Oversight Systems,,,showtime,http://www.oversightsystems.com,,,
yes,yes,panasas,Panasas,,,primetime,http://www.panasas.com,,,
yes,yes,panzura,Panzura,,,primetime,http://www.panzura.com,,,
yes,yes,platfora,Platfora,,,primetime,http://www.platfora.com/,,,
yes,yes,purediscovery,Pure Discovery,,,showtime,http://www.purediscovery.com,,,
yes,yes,quantum,Quantum,,,primetime,http://www.quantum.com/,,,
yes,yes,qubole,Qubole,,,showtime,http://www.qubole.com/,,,
yes,yes,rainstor,RainStor,,,showtime,http://www.rainstor.com,,,
yes,yes,recommind,Recommind,,,primetime,http://www.recommind.com/,,,
yes,yes,revelytixspry,Revelytix - Spry,,,showtime,http://www.revelytix.com,,,
yes,yes,skytree2,Skytree,,,showtime,http://www.skytree.net,,,
yes,yes,snaplogic,SnapLogic,,,primetime,http://www.snaplogic.com,,,
yes,yes,softlayer,SoftLayer,,,primetime,http://www.softlayer.com,,,
yes,yes,splunk,Splunk,,,primetime,http://www.splunk.com,,,
yes,yes,sqlstream,SQLstream,,,showtime,http://www.sqlstream.com,,,
yes,yes,stackiq,StackIQ,,,showtime,http://www.stackiq.com/,,,
yes,yes,tableausoftware,Tableau Software,,,showtime,http://www.tableausoftware.com,,,
yes,yes,teradata,Terdata,,,primetime,http://www.teradata.com,,,
yes,yes,wandisco,WANdisco,,,primetime,http://www.wandisco.com,,,
