Date,Time,Title,Subtitle,Description,Speaker,Speaker Title,Speaker Company,Panelist,Panelist Title,Panelist Company
9/18/2013,,,,,,,,,,
,7:30 AM,REGISTRATION & BREAKFAST,,,,,,,,
,8:25 AM,OPENING REMARKS,,,Chris Albrecht,Creative Director,GigaOM,Barb Darrow,Senior Writer,GigaOM
,,,,,,,,Derrick Harris,Senior Writer,GigaOM
,,,,,,,,Om Malik,Founder and Senior Writer,GigaOM
,8:30 AM,The dominant data-management platform?,,"Hadoop has fundamentally changed the economics of storing and analyzing massive data sets. We used to ask whether we could afford to store information. Today we ask whether we can afford to throw it away. This is not a technology argument; it is economic. Hadoop is part of the reason. Pivotal’s Dave Menninger looks at why Hadoop is destined to be the centerpiece of large-scale data management activities that serve end users in the context of who they are, where they are and what they are doing in the moment.",Mike Ferguson,CEO,Intelligent Business Strategies,David Menninger,Head of Business Development and Strategy   , Pivotal an EMC Subsidiary   
,8:45 AM,"Google's infrastructure DNA, packaged up for you",,"Google has built one of most impressive compute and internet infrastructures on the planet. It now wants you to build your business on it to share in the power and flexibility it now affords. Barak Regev, the head of the Cloud Platform in the EMEA, will talk in detail about how business leaders are starting to transform the way they approach IT.",,,,Barak Regev,Head of EMEA Cloud Platform,Google Enterprise
,9:05 AM,CERN's grand collision experiment: cloud technology meets work culture,,"As part of a large-scale adoption of cloud computing to support the increasing computing needs of the Large Hadron Collider, the infrastructure of CERN IT is undergoing major changes in both technology and culture. This session will describe the steps taken, the challenges encountered and our outlook for the future.",,,,Tim Bell,Infrastructure Manager,CERN
,9:20 AM,What does it take to run 19% of the web’s content?,,"WordPress, Matt Mullenweg’s creation, runs nearly 19 percent of the world’s websites, with customers including the New York Times, CNN, FiveThirtyEight, Reuters and GigaOM (and Katy Perry). That takes a lot of horsepower. How does Automattic, the company behind WordPress, combine a distributed work force, open-source software and the cloud to build this blogging empire?",Om Malik,Founder and Senior Writer,GigaOM,Matt Mullenweg,"Co-Founder, WordPress and Founder",Automattic
,9:40 AM,BMW accelerates cloud adoption with ODCA,,"With cloud computing representing the most fundamental change in data center computing in decades, the spotlight today falls on organizations that are successfully making the transition into a cloud base environment. BMW is one of these success stories. Mario Mueller, the VP of IT Infrastructure for BMW and the ODCA's chairman, will provide an overview of BMW's plans for cloud computing and the influence of ODCA requirements on the company's cloud strategy.",,,,Mario Mueller,"VP, IT Infrastructure, BMW  and Chairman",ODCA
,9:55 AM,"Cloud, data and where the world is headed",,The ready availability and massive rentable infrastructure along with powerful engines to parse structured and unstructured data will open up whole new application areas. What will they be? ,Derrick Harris,Senior Writer,GigaOM,Michael Abbott,Partner,Kleiner Perkins Caufield & Byers
,,,,,,,,Jonathan Heiliger,General Partner,North Bridge Venture Partners
,10:15 AM,BREAK,,(Optional Workshops),,,,,,
,,"10:30 AM - EMC Sponsor Workshop - Sidney Suite, Level 1",Creating cloud services: addressing market and vertical needs for competitive advantage,"Join this interactive workshop to understand how EMC is creating leading-edge cloud-based services with it service providers. Gain insight into how EMC’s technology leadership and expertise enable businesses to differentiate and create competitive advantage with its service provider ecosystem, meeting the needs of SMBs to enterprise organizations and vertical markets.",,,,Ian Massingham,"CTO, EMEA Service Providers",EMC
,,"10:30 AM - Aspera Sponsor Workshop - Beaumont Suite, Level 1",Infrastructure-agnostic transport technologies for universal big data storage and workflows,"With the right tools, file storage today can be in the cloud or on-premise, with seamless and secure access and publishing regardless of location. This session will explore how infrastructure-agnostic transport technologies are transforming the way all kinds of organizations access and use big data for ever-greater efficiencies and innovation.",,,,Jay Migliaccio ,"Director, Cloud Platforms and Services",Aspera
,,"10:30 AM - Softlayer Sponsor Workshop - Harpley Suite, Level 1",Building a mainstream private cloud: what you need to know,"Private clouds are a great way to provide real-time service delivery of IT resources with a single-tenant, customized, secure environment. The challenge of scaling and managing physical resources still exists. The solution may be to leverage an IaaS provider to build an off-premise cloud to add scalability to your current private cloud.",,,,Jonathan Wisler,"General Manager, EMEA",Softlayer
,11:15 AM,Amazon in sight,,"“We won’t be able to overcome Amazon in Europe within a couple of years, but we’ve got big plans,"" says UpCloud general manager Antti Vilpponen. Hear how four young companies are moving forward and making plans to disrupt the future of IaaS in Europe.",David Meyer,Senior Writer,GigaOM,Richard Davies,CEO,ElasticHosts
,,,,,,,,Andreas Gauger,CMO,ProfitBricks
,,,,,,,,Bernino Lind,COO,CloudSigma 
,,,,,,,,Antti Vilpponen,GM,UpCloud
,11:40 AM,"Lessons from beyond the edge: streaming 114,000 years of video every month ",,"Netflix viewers access 114,155 years of video each month. That's 1 billion hours of video feeding the eyeballs of 30 million customers globally. The platform must be reliable and energy efficient and offer huge capacity, high performance and low TCO. David Fullagar, the director of Content Delivery Architecture at Netflix, and Steve Campbell, the CTO at HGST, will share best practices in server design and storage systems from delivering their Open Connect system. The audience is listening.",Jo Maitland,Research Director,GigaOM Research,Brendan Collins,VP of Product Marketing,"HGST, a Western Digital Company"
,,,,,,,,David Fullagar,Director of Content Delivery Architecture,Netflix
,12:00 PM,Who does what when everyone is a cloud provider?,,"Despite challenges in Hewlett-Packard's core server and PC businesses, the company remains an undisputed IT giant with millions of customers worldwide. Now its growing cloud business puts it in the position of competing with longtime partners Microsoft, Rackspace and others. Margaret Dawson, the VP of marketing for HP Cloud Services, will discuss how HP sees the cloud landscape shaking out and what it means for the buyers out there deciding on their company's future strategy.",Paul Miller,Founder,Cloud of Data,Margaret Dawson,VP of Product Marketing and Cloud Evangelist,Hewlett Packard
,12:20 PM,Addictive metrics: the secret to driving your business with analytics,,"The more visibility you have into your company’s data, the more you can do with it. Whether monitoring the performance of your web or mobile app, server utilization or even sales transactions, businesses are finding that once they start analyzing their production environment, they don’t want to stop — the business insights and efficiencies learned are too great. With more and more data flooding in, though, businesses have to make sure they are analyzing the right data and connecting the right dots. New Relic’s Lew Cirne will speak to how modern software builders can leverage this machine data, connect it to business metrics and build a better business.",Barb Darrow,Senior Writer,GigaOM,Lew Cirne,Founder and CEO,New Relic
,12:35 PM,"Massive, ongoing changes in how the internet is constructed",,"At the heart of the internet, new economics and engineering forces are dramatically reshaping the way providers plan, build and pay for data centers and backbone infrastructure. In the largest study of its kind, we explore the impact of these changes on applications and traffic using anonymous data from a large cross section of providers in the U.S. and Europe (representing one-fifth of all U.S. consumer traffic).",,,,Craig Labovitz,Co-Founder,DeepField
,12:45 PM,LUNCH,,,,,,,,
,12:45 PM,"GigaOM Research Roundtable - Prescot Suite, Level 1","<a href=""http://structureeurope2013roundtable1.eventbrite.com/"">The Internet of Things and the cloud</a>","Everyone is talking about the internet of things, but how are we going to get from here to there, and how will the cloud specifically disrupt this space? In this lunchtime roundtable, we'll discuss companies to watch and trends that could impact the IoT market. <a href=""http://structureeurope2013roundtable1.eventbrite.com/"">RSVP here.</a>",,,,Jon Collins,Analyst,Inter Orbis and GigaOM Research
,,"1:00 PM - EMC Service Providers Sponsor Workshop - Sidney Suite, Level 1",Achieving Business Agility and Efficiency with EMC Service Providers,"Join EMC and its global service provider to discover how they are evolving their cloud services to address customer needs to drive agility, managing data growth and cost efficiency.",,,,Tom Brand,Business Development Manager - Cloud and Hosting,Vodafone
,,,,,,,,Steve Chambers,CTO,Canopy Cloud
,1:45 PM,The data guru's panel: give and take,,"There is no substitute for experience, and one of the greatest ways to learn is from those who have had to do it. On this panel we assemble an esteemed group of peer-recognized data science professionals who are here to bring the audience the latest information and practices that are being innovated in the data science space. Listen, ask questions and take away what you need.",Derrick Harris,Senior Writer,GigaOM,Andrew Fogg,Founder and Chief Data Officer,Import•io
,,,,,,,,John Foreman,Chief Data Scientist,MailChimp.com
,,,,,,,,Sam Hamilton,"VP, Data Technology",PayPal
,2:10 PM,Do you really want all of your things on the internet?,,"The explosion of sensors and onboard computers — in cars, fitness devices, appliances and our own bodies — means we're generating more personal data than ever. How will this make our lives better? What are the ramifications of this both for users and for the infrastructure that has to handle this data deluge? Is there a huge opportunity for European technology entrepreneurs?",Alexandra Deschamps-Sonsino,Founder,Good Night Lamp,Alicia Asin,CEO and Co-Founder,Libelium
,,,,,,,,Michael Simon,Chairman and CEO,LogMeIn
,2:30 PM,"Cloud: If not mobile, then what?",,"We are coming into a networked society where things and services are talking not just to us but also to one another. The benefits of such connectivity are obvious for consumers and business, but the network is also experiencing transformation faster than ever. Mobility, broadband and the cloud make up the foundation of the networked society, where united they are powerful but divided they are weak. We’ll speak to the CTO of the world’s largest mobile network maker, Ericsson, about this transformation and how the future network and cloud hybrid will affect you, your business and your services.",David Meyer,Senior Writer,GigaOM,Ulf Ewaldsson,CTO,Ericsson
,2:50 PM,Stellar nursery: Are the new cloud stars being born in Europe?,,"Conventional wisdom holds that cloud adoption is coming a bit slower in Europe than elsewhere. National telcos and traditional hosting companies making a big play and small startups are being born at a rate previously unseen, fed by released funds and business regulations that allow them to flourish. This panel will hash out the European cloud situation now and how adoption is expected to roll out over the next few years, given the EC's strong backing of a big cloud push for European member states.",Om Malik,Founder and Senior Writer,GigaOM,Marco Boerries,Founder and CEO,NumberFour AG
