IMPORTANT: Structure 2011 Speaker Information Request,Publish,Photo Ready?,List on front page?,Gender,First Name,Last Name,Title,Company,Tagline,Order (front page),Order (speaker page),Type (default: speaker),Bio Ready?,Biography,Featured,Short Desc,timestamp,P Twitter,P Facebook,P LinkedIn,,,,,,Clare'sNotes
y,y,y,y,m,Michael,Abbott,Partner,Kleiner Perkins Caufield & Byers,"Partner, Kleiner Perkins Caufield & Byers",,,speaker,y,"Mike joined Kleiner Perkins Caufield & Byers as a partner in 2011. He focuses on investments in the firm’s digital practice, helping entrepreneurs rapidly scale teams and ventures. Mike serves as an expert resource on enterprise infrastructure, cloud computing and “big data.” Mike led the building of innovative, high-performance applications and services at Twitter, Palm and Microsoft before he joined KPCB. Mike is also an expert in “big data” businesses, having founded Composite Software. He was also co-founder of Passenger Inc. Mike has advised and invested in numerous software companies throughout his career, including Cloudera, Hearsay Labs, Jawbone and Saynow. Mike holds a bachelor’s degree from California Polytechnic State University and has completed coursework toward a Ph.D. at the University of Washington.",,,,@mabb0tt,,   http://www.linkedin.com/in/michaelabbott,,,,,,y
y,y,y,y,m,George,Anadiotis,"Founder and CEO, Linked Data Orchestration and Analyst",GigaOM Research,"Founder and CEO, Linked Data Orchestration and Analyst, GigaOM Research",,,speaker,y,"George Anadiotis has been in ICT since 1992, having worn many hats and juggled many balls. Whether as a ninja programmer, a lead architect, a team manager or an entrepreneur, he has provided services to the likes of KLM and Vodafone, built and managed projects and teams of all sizes and shapes and gotten himself involved in some award-winning research along the way.The common thread that spans his activities is integration and modeling - be it on the application or the data level. He enjoys applying and evangelizing cutting edge concepts and technology, was among the pioneers in big scale application integration and is among the pioneers in big scale data integration.",,,,,,http://www.linkedin.com/profile/view?id=13500235,,,,,,y
y,y,y,y,f,Alicia,Asin,CEO and Co-Founder,Libelium,"CEO and Co-Founder, Libelium",,,Speaker,y,"Alicia Asín is the CEO and co-founder of Libelium, the Zaragoza, Spain based wireless sensor hardware provider, creators of Waspmote, the modular, open source sensor platform for the Internet of Things. Alicia is a computer engineer focused on how IoT can change our world, starting with Smart Cities. She is a frequent speaker at international conferences on issues related to Smart Cities, wireless sensor networks and IoT. Alicia holds a master’s degree from the Polytechnic Center, University of Zaragoza, and is a graduate of the Cambridge Judge Business School and ESADE.",y,,,@aliciaasin,,www.linkedin.com/in/aliciaasin/,,,,,,y
y,y,y,y,m,Joe,Baguley,"CTO, EMEA",VMware,"CTO, EMEA, VMware",,,Speaker,y,"Joe Baguley is VMware’s Chief Technology Officer in EMEA. He helps develop and communicate VMware’s strategy with customers and partners, using his wealth of experience to help organisations reduce costs and better support users and business needs. As part of VMware’s Office of the CTO, Joe assists VMware’s customers in understanding how to use cloud technologies to deliver real business impact as well as working with them to inform VMware’s R&D processes. Joe is a recognised leader within the European cloud community and considered one of the top 50 most influential leaders in UK IT, according to Computer Weekly UKtech50. He's on the Industry Expert Group at SIENA and is a founding committee member of the Data Centre Specialist Group at the British Computer Society.",y,,,@JoeBaguley,,http://www.linkedin.com/pub/joe-baguley/0/753/446,,,,,,y
y,y,y,y,m,Nigel,Beighton,VP of Technology,Rackspace,"VP of Technology, Rackspace",,,Speaker,y,"An obsession with taking things apart has always served Nigel well so the exciting world of technology and all its nuts, bolts and volts was a logical career choice for him. Joining Rackspace in early 2011 Nigel is showing the benefit of his own unique style of CTO leadership where he is brought experience from the likes of Associated Northcliffe Digital, lastminute.com, Operandi-Group and CityReach International. He has also served on non-executive boards for Photobox, Digital UK and Inview Interactive. Nigel leads our Product Management function that works on the development our OpenStack community and is also our technical evangelist and our loud voice in the market. Rackspace have a world-class customer offering and it’s his job to ensure that everyone knows that.",y,,,@Racker_Beighton,,http://www.linkedin.com/in/nigelbeighton,,,,,,y
y,y,y,y,m,Dan,Belcher,Co-Founder,Stackdriver,"Co-Founder, Stackdriver",,,speaker,y,"Dan has spent his career helping companies remove IT complexity and focus on their own products, services, and customers. This principal is at the core of Stackdriver, which he co-founded in 2012 to help DevOps ""spend more time on dev and less on ops"" by simplifying the task of monitoring and managing distributed systems in the cloud. Prior to Stackdriver, Dan served in a variety of Product Management and Services roles at Sonian, VMware, and Microsoft. Dan holds an MBA from the Kellogg School of Management and is based in Boston, MA, USA.",,,,@belcherdan,,http://www.linkedin.com/in/dbelcher/,,,,,,y
y,y,y,y,m,Tim,Bell,Infrastructure Manager,CERN,"Infrastructure Manager, CERN",6,,Speaker,y,"Tim Bell is responsible for the CERN IT Operating System and Infrastructure Group which supports Windows, Mac and Linux across the site along with virtualisation, printing, E-mail and web services. Prior to working at CERN, Tim worked for Deutsche Bank managing private banking infrastructure in Europe and for IBM as a Unix kernel developer and deploying large scale technical computing solutions. Tim has also an elected individual member of the OpenStack management board since 2012.",y,,,@noggin143,,http://ch.linkedin.com/in/timbell143,,,,,,y
y,y,y,y,m,Ron,Bodkin,CEO,Think Big Analytics,"Founder and CEO, Think Big Analytics",,,Speaker,y,"Ron founded Think Big to help companies realize measurable value from Big Data. Previously, Ron was VP Engineering at Quantcast where he led the data science and engineer teams that pioneered the use of Hadoop and NoSQL for batch and real-time decision making. Prior to that, Ron was Founder of New Aspects, which provided enterprise consulting for Aspect-oriented programming. Ron was also Co-Founder and CTO of B2B applications provider C-Bridge, which he led to a staff of 900 service consultants and a successful IPO. Ron graduated with honors from McGill University with a B.S. in Math and Computer Science. Ron also earned his Master’s Degree in Computer Science from MIT.",,,,@ronbodkin,,http://www.linkedin.com/pub/ron-bodkin/0/14/361,,,,,,y
y,y,y,y,m,Marco,Boerries,Founder and CEO,NumberFour AG,"Founder and CEO, NumberFour AG",,,Speaker,y,"Marco Boerries is a German entrepreneur with a passion for making ideas work. Inspired by a Silicon Valley school exchange back in 1984, he founded his first company Star Division, as a 16-year-old in 1985.The company created the popular office suite StarOffice and later OpenOffice.org. Marco sold Star Division to Sun Microsystems in 1999. Marco started his third company Verdisoft in the summer of 2001 based in Palo Alto,California and Hamburg,Germany.Marco sold Verdisoft to Yahoo in early 2005. Returning back to Germany in 2009 Marco started his fourth company NumberFour in Berlin to re-imagine the way small businesses are run.Together with his team he is working extremely hard to develop and design a business platform to fulfill NumberFour’s Mission “Helping 200 Million+ Run Their Business”.",,,,@t3killer,http://www.facebook.com/marco.boerries,,,,,,,y
y,y,y,y,m,Ditlev,Bredahl,CEO,OnApp,"CEO, OnApp",,,Speaker,y,"Ditlev is one of the best-known CEOs in the hosting industry. He’s an entrepreneur, an angel investor and an outspoken champion of traditional hosts and service providers against the growing monopoly of AWS. Before founding OnApp he led UK2 Group’s hosting businesses, spearheaded the launch of VPS.NET (one of the world’s top 5 public clouds) and eventually exited with a $77m sale to LDC. Ditlev hates the word ‘cloud’, loves the way cloud transforms service delivery for providers and their customers. He hates monopolistic business models, loves disrupting safe and established industries. He loves his work, loves his family and loves gadgetry of all kinds. Ditlev is 40, Danish, and lives with his wife and two children in London, where he also collects ukuleles.",,,,@ditlev,https://www.facebook.com/ditlev,http://www.linkedin.com/profile/view?id=1937348&locale=en_US&trk=tyah,,,,,,y
