Publish?,Logo Ready?,Slug,Name,Order,Tagline,Type,URL,Description,,Media Partner URL
,,,,,,,,,,http://event.gigaom.com/structuredata/sponsors/media-partners/
yes,yes,emc2,EMC,,,headline,http://emc.com,,,
yes,yes,bdsu,Big Data Startups,,,partners,http://www.bigdata-startups.com,,,
yes,yes,cloudexpoeurope,Cloud Expo Europe,,,partners,http://www.cloudexpoeurope.com,,,
yes,yes,eventbrite,Eventbrite,,,partners,http://eventbrite.com/,,,
yes,yes,fieldhouse,Fieldhouse,,,partners,http://www.fieldhouseassociates.com,,,
yes,yes,gcv,Global Corporate Venturing,,,partners,http://www.globalcorporateventuring.com/,,,
yes,yes,guardian,Guardian,,,partners,http://bit.ly/14GLv7a,,,
yes,yes,ignite,Ignite,,,partners,http://www.nimbusninetyignite.com,,,
yes,yes,itproportal,IT ProPortal,,,partners,http://www.itproportal.com/,,,
yes,yes,livestream,Livestream,,,partners,http://livestream.com/,,,
yes,yes,londonpartners,London and Partners,,,partners,http://www.londonandpartners.com/,,,
yes,yes,magnify,Magnify Communications,,,partners,http://www.magnifycom.com/,,,
yes,yes,mgp,Mercury Global Partners,,,partners,http://www.mercuryglobalpartners.com,,,
yes,yes,rockstartaccelerator,Rockstart Accelerator,,,partners,http://rockstart.com/accelerator/,,,
yes,yes,startupscouk,Startups.co.uk ,,,partners,http://www.startups.co.uk,,,
yes,yes,techcity,Tech City News,,,partners,http://www.techcitynews.com,,,
yes,yes,transcribeme,TranscribeMe,,,partners,http://www.transcribeme.com,,,
yes,yes,whitebull,White Bull,,,partners,http://www.whitebull.com,,,
yes,yes,vctaskforce,VCTaskforce,,,partners,http://www.vctaskforce.com/,,,
yes,yes,onug,ONUG,,,partners,http://opennetworkingusergroup.com/,,,
yes,yes,netocratic,Netocratic,,,partners,http://netocratic.com/,,,
yes,yes,arago,Arago,,,primetime,http://www.arago.de,,,
yes,yes,aspera,Aspera,,,primetime,http://www.asperasoft.com,,,
yes,yes,certivox,CertiVox,,,primetime,http://www.certivox.com,,,
yes,yes,ddn,DataDirect Networks,,,primetime,http://www.ddn.com,,,
yes,yes,greenqloud,GreenQloud,,,primetime,http://www.greenqloud.com,,,
yes,yes,hgst,HGST,,,primetime,http://www.hgst.com,,,
yes,yes,nuage,Nuage Networks,,,primetime,http://www.nuagenetworks.net,,,
yes,yes,odca,ODCA,,,primetime,http://www.opendatacenteralliance.org,,,
yes,yes,rackspaceuk,Rackspace,,,primetime,http://www.rackspace.co.uk,,,
yes,yes,softlayer,SoftLayer,,,primetime,http://www.softlayer.com,,,
yes,yes,hp3,HP Cloud Services,,,reception,https://www.hpcloud.com/,,,
yes,yes,odca2,ODCA,,,reception,http://www.opendatacenteralliance.org,,,
yes,yes,acunu,Acunu,,,showtime,http://acunu.com,,,
yes,yes,appdynamics,AppDynamics,,,showtime,http://www.appdynamics.com,,,
yes,yes,cloudprovider,Cloud Provider,,,showtime,http://www.cloudprovider.net/,,,
yes,yes,cloudbees,CloudBees,,,showtime,http://www.cloudbees.com/,,,
yes,yes,cloudcontrol,cloudControl,,,showtime,http://www.cloudcontrol.de,,,
yes,yes,hybridcluster,Hybrid Cluster,,,showtime,http://www.hybridcluster.com,,,
yes,yes,interxion,Interxion,,,showtime,http://www.interxion.com,,,
yes,yes,newrelic2,New Relic,,,showtime,http://www.newrelic.com,,,
yes,yes,bti2,BTI Systems,,,showtime,http://www.btisystems.com,,,
yes,yes,vello,Vello Systems,,,showtime,http://www.vellosystems.com,,,
yes,yes,teda,TEDA,,,partners,http://www.paris-region.com/,,,
yes,yes,ihub,iHUB,,,partners,http://www.ihub.com.ua,,,
yes,yes,talari,Talari,,,showtime,http://www.talari.com,,,
yes,yes,interoute,Interoute,,,showtime,http://www.interoute.com,,,
yes,yes,level39,Level39,,,partners,http://level39.co/level39/introduction,,,
yes,yes,disrupt,TECHCRUNCH DISRUPT EUROPE,,,partners,http://disrupteurope2013-GigaOM.eventbrite.com,,,
